annualized_return,max_drawdown,sharpe,final_nav,core,anti_max,lowrisk_cluster,period
0.07992987756635572,-0.2234613778936666,0.5732181806762234,1.946254264881425,0.0,0.0,1.0,全周期
0.0784392264678242,-0.21761859980119158,0.5675454711868673,1.9231126288649134,0.0,0.05,0.95,全周期
0.076934340418789,-0.21174272576866005,0.5614720277743291,1.8999972196619292,0.0,0.1,0.9,全周期
0.07541528851038959,-0.20583366396867164,0.5549921743915013,1.8769137982588426,0.0,0.15000000000000002,0.85,全周期
0.07388214031905838,-0.20197621522902165,0.5481021250346803,1.8538680408035355,0.0,0.2,0.8,全周期
0.07233496590167987,-0.20042947908416098,0.5408001489880006,1.8308655367212525,0.0,0.25,0.75,全周期
0.07077383579071506,-0.1988862718082336,0.5330867162438746,1.8079117869111387,0.0,0.30000000000000004,0.7,全周期
0.06919882098930885,-0.19734662358767197,0.5249646179912103,1.7850122020240735,0.0,0.35000000000000003,0.65,全周期
0.06760999296637249,-0.1958105645765159,0.5164390573693061,1.7621721008219087,0.0,0.4,0.6,全周期
0.06600742365164658,-0.19427812489545881,0.5075177062250067,1.7393967086184088,0.0,0.45,0.55,全周期
0.06439118543074596,-0.1927493346308945,0.4982107243805743,1.7166911558019657,0.0,0.5,0.5,全周期
0.06276135114017456,-0.19133690978486328,0.4885307389006888,1.6940604764399847,0.0,0.55,0.45,全周期
0.06111799406233276,-0.1905163190739504,0.47849278200395945,1.6715096069651902,0.0,0.6000000000000001,0.4,全周期
0.05946118792049271,-0.18969892993654214,0.46811418754744366,1.6490433849433976,0.0,0.65,0.35,全周期
0.05779100687376282,-0.18888475253681714,0.4574144473600657,1.6266665479228288,0.0,0.7000000000000001,0.3,全周期
0.05610752551202891,-0.1880737970010945,0.4464150300426863,1.6043837323645551,0.0,0.75,0.25,全周期
0.054410818850882725,-0.18726607341763912,0.43513916611649606,1.582199472653892,0.0,0.8,0.2,全周期
0.052700962326521106,-0.18646159183646005,0.4236116045178885,1.5601182001920688,0.0,0.8500000000000001,0.15,全周期
0.05097803179064364,-0.18566036226910132,0.4118583463462156,1.5381442425681153,0.0,0.9,0.1,全周期
0.04924210350531455,-0.18486239468844978,0.3999063624236076,1.5162818228099946,0.0,0.9500000000000001,0.05,全周期
0.04749325413782701,-0.18406769902852804,0.38778330159321195,1.4945350587148098,0.0,1.0,0.0,全周期
0.08225382080654686,-0.21998993456449334,0.5875956002233185,1.9828238628554264,0.05,0.0,0.95,全周期
0.080757882135426,-0.21412408042597342,0.5819894243636626,1.9592147516397946,0.05,0.05,0.9,全周期
0.07924768366370061,-0.20822502635419993,0.5759746987977346,1.935633145063578,0.05,0.1,0.85,全周期
0.07772329471140216,-0.2022926804671079,0.5695454372585784,1.9120849106980657,0.05,0.15000000000000002,0.8,全周期
0.07618478508438753,-0.1963269514883237,0.5626975826805595,1.888575829298091,0.05,0.2,0.75,全周期
0.07463222506946976,-0.19417862996348512,0.5554291767985137,1.865111592889613,0.05,0.25,0.7,全周期
0.07306568542953706,-0.19262282805966502,0.5477405093481427,1.8416978029400752,0.05,0.30000000000000004,0.65,全周期
0.07148523739863921,-0.1910706125500342,0.5396342416313873,1.8183399686114758,0.05,0.35000000000000003,0.6,全周期
0.06989095267706014,-0.18952201383878386,0.5311154995342963,1.7950435050967322,0.05,0.4,0.55,全周期
0.06828290342636634,-0.1882839567422563,0.5221919316487235,1.7718137320393388,0.05,0.45,0.5,全周期
0.06666116226442709,-0.18745211265745954,0.5128737289486863,1.7486558720363714,0.05,0.5,0.45,全周期
0.06502580226043198,-0.1866234686434488,0.5031736034867911,1.7255750492251947,0.05,0.55,0.4,全周期
0.06337689692986315,-0.1857980350009779,0.49310672476883327,1.702576287953219,0.05,0.6000000000000001,0.35,全周期
0.061714520229473546,-0.18497582199312945,0.4826906137835218,1.6796645115312983,0.05,0.65,0.3,全周期
0.06003874655222696,-0.18415683984510056,0.4719449960451278,1.6568445410699613,0.05,0.7000000000000001,0.25,全周期
0.05834965072222542,-0.18334109874401094,0.460891616377908,1.6341210943984943,0.05,0.75,0.2,全周期
0.056647307989625695,-0.18252860883869537,0.4495540194581513,1.6114987850666183,0.05,0.8,0.15,全周期
0.05493179402552162,-0.18171938023948897,0.4379573012619206,1.58898212142798,0.05,0.8500000000000001,0.1,全周期
0.05320318491682552,-0.1809134230180396,0.42612783748255867,1.5665755058054358,0.05,0.9,0.05,全周期
0.05146155716112322,-0.18061497204187293,0.4140929956344344,1.5442832337372154,0.05,0.9500000000000001,-0.0,全周期
0.08454912405671089,-0.21651015408116991,0.6012804422337884,2.019538053593285,0.1,0.0,0.9,全周期
0.08304792996499022,-0.2106211860805136,0.5957347343285689,1.9954585623052883,0.1,0.05,0.85,全周期
0.08153245161101808,-0.20469891413989405,0.5897738263704997,1.9714078847541006,0.1,0.1,0.8,全周期
0.08000275854223005,-0.19874324632413953,0.5833915034704589,1.9473919954341126,0.1,0.15000000000000002,0.75,全周期
0.07845892079239314,-0.19275409130768295,0.5765835120095425,1.92341678002494,0.1,0.2,0.7,全周期
0.07690100887672902,-0.1878949827345966,0.5693477318865804,1.8994880334512294,0.1,0.25,0.65,全周期
0.07532909378701502,-0.18632651290251068,0.5616843278487363,1.875611458026771,0.1,0.30000000000000004,0.6,全周期
0.07374324698665835,-0.1852479549095004,0.5535958745991547,1.851792661683122,0.1,0.35000000000000003,0.55,全周期
0.07214354040575088,-0.1844048064935918,0.5450874507182909,1.8280371562831825,0.1,0.4,0.5,全周期
0.07053004643610317,-0.18356485631688124,0.536166697021685,1.8043503560197574,0.1,0.45,0.45,全周期
0.06890283792625351,-0.1827281148170068,0.5268438358008913,1.7807375758992519,0.1,0.5,0.4,全周期
0.067261988176466,-0.18189459239411565,0.5171316484340014,1.7572040303105863,0.1,0.55,0.35,全周期
0.06560757093369407,-0.18106429941066982,0.5070454100691426,1.7337548316790259,0.1,0.6000000000000001,0.3,全周期
0.06393966038653476,-0.18023724619122627,0.49660278142489656,1.7103949892050778,0.1,0.65,0.25,全周期
0.062258331160165215,-0.17941344302223694,0.4858236591502494,1.6871294076881125,0.1,0.7000000000000001,0.2,全周期
0.06056365831124744,-0.17859290015183416,0.4747299875705129,1.6639628864342835,0.1,0.75,0.15,全周期
0.05885571732282946,-0.1790701399524428,0.46334553593972794,1.6409001182486787,0.1,0.8,0.1,全周期
0.05713458409922367,-0.18029183074193933,0.4516956464534877,1.6179456885110717,0.1,0.8500000000000001,0.05,全周期
0.055400334960860054,-0.18204532606643153,0.4398069591876736,1.5951040743347127,0.1,0.9,0.0,全周期
0.08681557692824815,-0.21302205793844853,0.6142215704943268,2.056379494433172,0.15000000000000002,0.0,0.85,全周期
0.08530916002306488,-0.20710993849685777,0.608729571675559,2.0318269192359937,0.15000000000000002,0.05,0.8,全周期
0.08378843478467557,-0.2011644110968901,0.6028169620770168,2.007304498077573,0.15000000000000002,0.1,0.75,全周期
0.08225347098640468,-0.19518538375183858,0.5964773845208056,1.9828183126603127,0.15000000000000002,0.15000000000000002,0.7,全周期
0.08070433888840212,-0.18917276508851855,0.5897064674711902,1.9583743538541105,0.15000000000000002,0.2,0.65,全周期
0.07914110923275652,-0.1831264643566708,0.5825019981391635,1.9339785197284987,0.15000000000000002,0.25,0.6,全周期
0.0775638532385794,-0.1813746964213081,0.5748640742222553,1.9096366136707077,0.15000000000000002,0.30000000000000004,0.55,全周期
0.07597264259706304,-0.18052338948308733,0.5667952289651561,1.8853543425900143,0.15000000000000002,0.35000000000000003,0.5,全周期
0.0743675494665259,-0.1796752891958836,0.5583005245888953,1.8611373152087807,0.15000000000000002,0.4,0.45,全周期
0.0727486464674234,-0.17883040609722134,0.5493876097420631,1.8369910404400753,0.15000000000000002,0.45,0.4,全周期
0.07111600667735618,-0.17798875068712017,0.5400667374698596,1.8129209258523742,0.15000000000000002,0.5,0.35,全周期
0.06946970362603566,-0.17827690960207887,0.5303507412521234,1.7889322762207793,0.15000000000000002,0.55,0.3,全周期
0.06780981129024899,-0.1794527762276461,0.5202549678901376,1.7650302921652659,0.15000000000000002,0.6000000000000001,0.25,全周期
0.06613640408878774,-0.18063062521906392,0.5097971673693613,1.7412200688753023,0.15000000000000002,0.65,0.2,全周期
0.06444955687737575,-0.18181044193307772,0.49899734122525946,1.7175065949211112,0.15000000000000002,0.7000000000000001,0.15,全周期
0.0627493449435621,-0.18299221173214297,0.4878775523190529,1.693894751150748,0.15000000000000002,0.75,0.1,全周期
0.061035844001596784,-0.18417591998465332,0.4764617002150562,1.670389309672934,0.15000000000000002,0.8,0.05,全周期
0.059309130187304326,-0.18536155206517424,0.4647752674712691,1.6469949329253177,0.15000000000000002,0.8500000000000001,-0.0,全周期
0.0890529710047201,-0.20952566791733496,0.6263760957260307,2.0933304104015877,0.2,0.0,0.8,全周期
