final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,period,strategy,review_days,recovery
2.0011117850601243,1.0011117850601243,0.12283310397532787,-0.2516806318812437,0.737952141946035,0.15142577106959854,0.8191133016999308,8.362089303365348,设计期2018-2023,M0_40日二元,40,binary
1.026676229476281,0.02667622947628101,0.02676905275777397,-0.23390799919377514,0.2328201703030952,0.05368686484971863,0.8925619834710736,8.606800849613343,验证期2024,M0_40日二元,40,binary
1.3323128558256985,0.33231285582569847,0.1887841484888415,-0.222431197175885,0.991604677447234,0.2202311127224188,0.8118062106580602,8.683799106865566,验证期2025-2026-08,M0_40日二元,40,binary
2.687557690468868,1.6875576904688678,0.1209350289480331,-0.2688912234382762,0.7065673784138543,0.1497335823982,0.8261684031741185,8.436024999835539,全周期,M0_40日二元,40,binary
1.757031782915629,0.757031782915629,0.09870359752923186,-0.25374050552770055,0.6122072587135797,0.12958551807996033,0.8101516749577385,9.21959649239443,设计期2018-2023,M1_20日二元,20,binary
0.9522670322689821,-0.04773296773101787,-0.04789289653247586,-0.23390799919377503,-0.12534837929048923,-0.021644224879503016,0.8388429752066107,9.046236836080576,验证期2024,M1_20日二元,20,binary
1.287179349575055,0.287179349575055,0.1643457449794632,-0.23237321860399407,0.8916107306989207,0.20290626686696656,0.8405150490848876,10.837765804598638,验证期2025-2026-08,M1_20日二元,20,binary
2.114580148393192,1.114580148393192,0.09032387893061755,-0.2771679441277176,0.5659707569973579,0.12188816085955789,0.8192761918147643,9.492182679350845,全周期,M1_20日二元,20,binary
1.738787876090803,0.7387878760908031,0.09679001904891948,-0.27861871281661066,0.6081167974426568,0.13147170956086685,0.7982864180236275,10.355830765470557,设计期2018-2023,M2_10日二元,10,binary
1.1686114615868184,0.1686114615868184,0.16923693339734514,-0.15759587652400986,0.8038054101573666,0.21144819285449934,0.8571255165289244,11.799757469093397,验证期2024,M2_10日二元,10,binary
1.323131413679442,0.3231314136794421,0.18383966082789338,-0.22141016140918413,0.975124835215533,0.2256225706139119,0.8594966600974311,11.53906040552613,验证期2025-2026-08,M2_10日二元,10,binary
2.6409864886250887,1.6409864886250887,0.1186746401187706,-0.27861871281661066,0.7020606403554973,0.1553423677171848,0.8167958325783491,10.729049702365772,全周期,M2_10日二元,10,binary
1.6038504285736679,0.6038504285736679,0.08209237156378979,-0.28609460549422727,0.5299191524249085,0.12042786551945794,0.8069339217399024,11.581627473854075,设计期2018-2023,M3_5日二元,5,binary
1.170989994109513,0.170989994109513,0.17162491972268978,-0.13456298653838128,0.8220286423582543,0.21483896582955953,0.8306043388429741,12.052497424450543,验证期2024,M3_5日二元,5,binary
1.2190995683928811,0.21909956839288114,0.12682836733134062,-0.25016161415861893,0.6958792171986385,0.1751892721259254,0.8582134433551075,13.984061195324518,验证期2025-2026-08,M3_5日二元,5,binary
2.2485739355489627,1.2485739355489627,0.0980870433292389,-0.28609460549422727,0.6000797921110783,0.13866949000480444,0.8194904812783759,12.0741288119461,全周期,M3_5日二元,5,binary
1.8072002187965137,0.8072002187965137,0.10388165238783253,-0.25374078781265363,0.6521039705893247,0.1331205365343846,0.7777766414676867,8.695520658125764,设计期2018-2023,M4_20日快速恢复,20,staged_fast
0.9434689484036651,-0.05653105159633487,-0.05671957046779641,-0.23390799919377514,-0.17969397305501655,-0.032469654002079684,0.7892561983471068,8.44417639652014,验证期2024,M4_20日快速恢复,20,staged_fast
1.3089701248097725,0.3089701248097725,0.17618656343303352,-0.20893274512583648,0.9875693356814419,0.21177751363886488,0.7823110746941919,9.917480038205213,验证期2025-2026-08,M4_20日快速恢复,20,staged_fast
2.1913428776144435,1.1913428776144435,0.09482272525176394,-0.26796943013589103,0.6017844165446804,0.12445770418465063,0.7799676164225399,8.88421650041313,全周期,M4_20日快速恢复,20,staged_fast
1.582571746040861,0.582571746040861,0.07968135956339606,-0.28512573319084744,0.5261757606047212,0.11259491103396346,0.7719624865709681,9.990272772837926,设计期2018-2023,M5_10日快速恢复,10,staged_fast
1.0990896808946198,0.09908968089461978,0.09944634758832827,-0.1260386451071167,0.5855525676830828,0.1340180982973862,0.8077195247933875,10.302132125686809,验证期2024,M5_10日快速恢复,10,staged_fast
1.2723031609482878,0.27230316094828777,0.15621643965495635,-0.2262861092774625,0.8576953909604793,0.19713704895075645,0.8223799515334631,11.571460576659094,验证期2025-2026-08,M5_10日快速恢复,10,staged_fast
2.1738701462045067,1.1738701462045067,0.09381109505155494,-0.28512573319084744,0.596163218891013,0.1282384612157783,0.7857452846821532,10.310151045653479,全周期,M5_10日快速恢复,10,staged_fast
1.593504691924972,0.593504691924972,0.08092348285838113,-0.28301358293955226,0.5280953371112845,0.11742750900423538,0.7907336796547191,11.049989059739463,设计期2018-2023,M6_5日快速恢复,5,staged_fast
1.1752946432583107,0.17529464325831068,0.17594672061658123,-0.12726119939872438,0.8653089978807862,0.21490964289062475,0.7996255165289246,10.848376545329664,验证期2024,M6_5日快速恢复,5,staged_fast
1.2305081193598997,0.23050811935989968,0.13317235204380462,-0.23790625871882576,0.7397933154333389,0.17703950360237553,0.8251683239273904,12.640493271757908,验证期2025-2026-08,M6_5日快速恢复,5,staged_fast
2.2632656547940915,1.2632656547940915,0.09891316043365728,-0.28301358293955226,0.6121200283752293,0.1369105271666895,0.7983592677448448,11.310551393877804,全周期,M6_5日快速恢复,5,staged_fast
1.587064304672734,0.587064304672734,0.08019263449066694,-0.27637321447047924,0.5395893670878122,0.11223512963259008,0.7384816604735092,9.726055736676779,设计期2018-2023,M7_10日缓慢恢复,10,staged_slow
1.0526676923395382,0.052667692339538164,0.05285325439288546,-0.10983968650251186,0.38663213535183055,0.08351330826956271,0.7519344008264455,9.553319453983509,验证期2024,M7_10日缓慢恢复,10,staged_slow
1.2512065534033074,0.25120655340330744,0.14462284878457043,-0.21993776076119653,0.8230233737956268,0.18345614085607487,0.7732265769637146,11.100931062231993,验证期2025-2026-08,M7_10日缓慢恢复,10,staged_slow
2.053341961329407,1.0533419613294068,0.08663007495762454,-0.27637321447047924,0.5758282289494814,0.11961952783378837,0.7466918243702567,9.95114018370999,全周期,M7_10日缓慢恢复,10,staged_slow
1.6337639094054492,0.6337639094054492,0.08543709569010383,-0.28288040800595426,0.5544179108233371,0.11893701862219053,0.7808849299477698,10.112189782440119,设计期2018-2023,M8_10日迟滞恢复,10,hysteresis
1.1222702953430053,0.12227029534300526,0.12271495075697225,-0.13672728368295217,0.6688799519121229,0.15975786680806525,0.8242484504132221,10.801340573489002,验证期2024,M8_10日迟滞恢复,10,hysteresis
1.2902536751930775,0.29025367519307754,0.16602109092065254,-0.22450623137930958,0.9010986636531545,0.20723986330995237,0.8354206805243898,11.557794373771422,验证期2025-2026-08,M8_10日迟滞恢复,10,hysteresis
2.323851247063555,1.3238512470635548,0.10227055042365074,-0.28288040800595426,0.6340756539350703,0.1374406045034633,0.7963330172146668,10.449279296064502,全周期,M8_10日迟滞恢复,10,hysteresis
