,annualized_return,annualized_return,annualized_return,annualized_return,max_drawdown,max_drawdown,max_drawdown,max_drawdown,sharpe,sharpe,sharpe,sharpe
period,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08,全周期,设计期2018-2023,验证期2024,验证期2025-2026-08
strategy,,,,,,,,,,,,
M0_40日二元,0.1209350289480331,0.12283310397532787,0.02676905275777397,0.1887841484888415,-0.2688912234382762,-0.2516806318812437,-0.23390799919377514,-0.222431197175885,0.7065673784138543,0.737952141946035,0.2328201703030952,0.991604677447234
M1_20日二元,0.09032387893061755,0.09870359752923186,-0.04789289653247586,0.1643457449794632,-0.2771679441277176,-0.25374050552770055,-0.23390799919377503,-0.23237321860399407,0.5659707569973579,0.6122072587135797,-0.12534837929048923,0.8916107306989207
M2_10日二元,0.1186746401187706,0.09679001904891948,0.16923693339734514,0.18383966082789338,-0.27861871281661066,-0.27861871281661066,-0.15759587652400986,-0.22141016140918413,0.7020606403554973,0.6081167974426568,0.8038054101573666,0.975124835215533
M3_5日二元,0.0980870433292389,0.08209237156378979,0.17162491972268978,0.12682836733134062,-0.28609460549422727,-0.28609460549422727,-0.13456298653838128,-0.25016161415861893,0.6000797921110783,0.5299191524249085,0.8220286423582543,0.6958792171986385
M4_20日快速恢复,0.09482272525176394,0.10388165238783253,-0.05671957046779641,0.17618656343303352,-0.26796943013589103,-0.25374078781265363,-0.23390799919377514,-0.20893274512583648,0.6017844165446804,0.6521039705893247,-0.17969397305501655,0.9875693356814419
M5_10日快速恢复,0.09381109505155494,0.07968135956339606,0.09944634758832827,0.15621643965495635,-0.28512573319084744,-0.28512573319084744,-0.1260386451071167,-0.2262861092774625,0.596163218891013,0.5261757606047212,0.5855525676830828,0.8576953909604793
M6_5日快速恢复,0.09891316043365728,0.08092348285838113,0.17594672061658123,0.13317235204380462,-0.28301358293955226,-0.28301358293955226,-0.12726119939872438,-0.23790625871882576,0.6121200283752293,0.5280953371112845,0.8653089978807862,0.7397933154333389
M7_10日缓慢恢复,0.08663007495762454,0.08019263449066694,0.05285325439288546,0.14462284878457043,-0.27637321447047924,-0.27637321447047924,-0.10983968650251186,-0.21993776076119653,0.5758282289494814,0.5395893670878122,0.38663213535183055,0.8230233737956268
M8_10日迟滞恢复,0.10227055042365074,0.08543709569010383,0.12271495075697225,0.16602109092065254,-0.28288040800595426,-0.28288040800595426,-0.13672728368295217,-0.22450623137930958,0.6340756539350703,0.5544179108233371,0.6688799519121229,0.9010986636531545
