variant,year,start_equity,end_equity,return,max_drawdown
baseline1,2020,1000000.0,2077373.7828610258,1.077373782861026,-0.09578994492553239
baseline1,2021,2076079.6928610257,5677814.513995259,1.7348731041103327,-0.09189603602110175
baseline1,2022,5583754.633995259,6677285.181793412,0.19584143994087277,-0.2950359705633703
baseline1,2023,6816036.651793413,10739543.039346226,0.5756287103474529,-0.133149436937951
baseline1,2024,10579446.144563584,17188447.076868188,0.624701977967036,-0.267956951444978
baseline1,2025,17057373.32309888,31647716.47075602,0.8553686943052998,-0.08678722674621431
baseline1,2026,32636713.28738956,22568383.90294156,-0.30849703816034335,-0.3776470258877703
stop_risk_filter,2020,1000000.0,1963587.7568595747,0.9635877568595748,-0.052987216677588544
stop_risk_filter,2021,1962354.0568595747,3747345.019971399,0.909617179872428,-0.07598040687967444
stop_risk_filter,2022,3688805.6999713993,5349381.01575009,0.4501661108882926,-0.24587408965792823
stop_risk_filter,2023,5390602.51575009,7801184.199255606,0.4471822354666952,-0.07963955787562593
stop_risk_filter,2024,7703224.388873974,15395199.016314968,0.9985396035653293,-0.2293060760554969
stop_risk_filter,2025,15291022.241809553,29040182.10660638,0.8991655134215368,-0.039904294115042704
stop_risk_filter,2026,30017683.5535439,23054674.80197227,-0.23196356038437793,-0.31732704882019
low_vol_filter,2020,1000000.0,1354774.4268000755,0.3547744268000754,-0.10639692044237115
low_vol_filter,2021,1353930.7568000755,2410296.8482186156,0.7802216517447247,-0.088951610961857
low_vol_filter,2022,2373932.2482186155,2376548.9871803625,0.0011022803888824928,-0.322186213013794
low_vol_filter,2023,2395032.467180363,3223464.53685284,0.3458959663489565,-0.13116604255888598
low_vol_filter,2024,3177447.278177104,3939407.9502802566,0.2398027741754658,-0.2723399400727148
low_vol_filter,2025,3913796.5947829643,5051155.639354036,0.2906024922417163,-0.0636118670928415
low_vol_filter,2026,5209271.2259891415,4643250.646204003,-0.1086563849778549,-0.169022344059217
volatility_sizing,2020,1000000.0,1664636.012142428,0.664636012142428,-0.08820041799782541
volatility_sizing,2021,1663645.162142428,3670127.977356188,1.206076187923288,-0.06754106597480203
volatility_sizing,2022,3625716.337356188,4200244.074355355,0.15845909705614303,-0.2956038025763372
volatility_sizing,2023,4266399.224355355,6313376.234439817,0.4797903108548771,-0.1262904747454059
volatility_sizing,2024,6223996.511761984,9660538.86155735,0.5521440031820481,-0.25542803060663044
volatility_sizing,2025,9591671.060192663,16435368.37048643,0.7135041712070871,-0.06256271895493681
volatility_sizing,2026,16976764.218925256,12780097.145352764,-0.24720064550900445,-0.31991015253818456
correlation_dedup,2020,1000000.0,1792188.429676036,0.792188429676036,-0.08086689985255424
correlation_dedup,2021,1791072.0296760357,4942655.316209729,1.7596072264629932,-0.0919038868656552
