initial_cash,start_year,end,variant,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
10000000.0,2020,2026-07-31,baseline1,223902975.952097,21.3902975952097,0.6043205994885812,-0.39335522908948806,880,0.4420454545454545
10000000.0,2020,2026-07-31,baseline2,221334618.5352494,21.133461853524942,0.6015085307574297,-0.31732691061652485,679,0.4889543446244477
10000000.0,2021,2026-07-31,baseline1,105487876.66598,9.548787666597999,0.5266476238859863,-0.39335416394729494,797,0.42659974905897113
10000000.0,2021,2026-07-31,baseline2,114166432.53548698,10.416643253548697,0.5484763546594642,-0.31732728931287424,633,0.4707740916271722
10000000.0,2022,2026-07-31,baseline1,38211645.52436994,2.821164552436994,0.34094147230047156,-0.3933545153818905,674,0.3961424332344214
10000000.0,2022,2026-07-31,baseline2,60294398.20114039,5.029439820114039,0.4816943838447887,-0.31732689223209165,544,0.4430147058823529
10000000.0,2023,2026-07-31,baseline1,31003605.179282285,2.1003605179282285,0.37258399716282087,-0.39335156923693626,512,0.400390625
10000000.0,2023,2026-07-31,baseline2,41814208.95448475,3.1814208954484755,0.49244821639399605,-0.3173275948068496,409,0.4474327628361858
10000000.0,2024,2026-07-31,baseline1,21393492.181664735,1.1393492181664735,0.34338078932709015,-0.3776453097827518,387,0.3798449612403101
10000000.0,2024,2026-07-31,baseline2,29914990.81849283,1.991499081849283,0.5300890116317283,-0.3173276220946206,317,0.42902208201892744
10000000.0,2025,2026-07-31,baseline1,13081960.611751677,0.30819606117516773,0.1860762652868928,-0.3776423156490102,203,0.3891625615763547
10000000.0,2025,2026-07-31,baseline2,14793748.704662569,0.4793748704662568,0.2824388151185644,-0.31732770033200797,161,0.40993788819875776
10000000.0,2026,2026-07-31,baseline1,6426094.552558226,-0.3573905447441774,-0.5417272120733987,-0.4063399481895852,102,0.20588235294117646
10000000.0,2026,2026-07-31,baseline2,7540415.612230066,-0.24595843877699342,-0.39233409864977076,-0.31732828621947085,90,0.23333333333333334
