symbol,entry_date,exit_date,reason,return
688408.SH,2022-01-25,2022-02-10,STOP,-0.1197082153747516
688699.SH,2022-01-25,2022-02-24,TIME,0.06740970292152278
688088.SH,2022-02-28,2022-03-02,STOP,-0.0746821413472848
688017.SH,2022-02-28,2022-03-07,STOP,-0.08730259689594667
688559.SH,2022-02-28,2022-03-09,STOP,-0.11641985135268354
688039.SH,2022-03-01,2022-03-10,STOP,-0.07714148704094569
688696.SH,2022-03-09,2022-03-15,STOP,-0.10396159572505499
688800.SH,2022-03-08,2022-03-25,TRAIL,0.24070116794878071
688033.SH,2022-03-09,2022-03-25,STOP,-0.07628023674109102
688661.SH,2022-03-09,2022-03-28,STOP,-0.0988859045503218
688408.SH,2022-03-18,2022-03-28,STOP,-0.09225899889539915
688533.SH,2022-03-08,2022-03-30,TRAIL,0.19183090638812508
688499.SH,2022-03-11,2022-03-30,TRAIL,0.032023760084473656
688667.SH,2022-03-09,2022-04-08,TRAIL,0.06140170206859271
688598.SH,2022-03-09,2022-04-08,TIME,0.02719304485078092
688133.SH,2022-03-10,2022-04-11,STOP,-0.08436971369674222
688366.SH,2022-03-18,2022-04-12,STOP,-0.10744261982854839
688088.SH,2022-04-07,2022-04-12,STOP,-0.1053886252737702
688800.SH,2022-04-11,2022-04-12,STOP,-0.11415255293854337
688667.SH,2022-04-11,2022-04-12,STOP,-0.10461406997097689
688169.SH,2022-03-14,2022-04-13,TIME,0.005708684490187667
688533.SH,2022-04-11,2022-04-13,STOP,-0.07913793866983494
688767.SH,2022-04-11,2022-04-25,STOP,-0.15082609370640968
688058.SH,2022-05-17,2022-06-02,TRAIL,0.025572721008229757
689009.SH,2022-05-13,2022-06-06,TPALL,0.36296352923535896
688002.SH,2022-05-13,2022-06-10,TRAIL,0.07899661582906195
688158.SH,2022-05-13,2022-06-13,TRAIL,0.0968344604531748
688699.SH,2022-05-13,2022-06-13,TIME,0.08423456334034549
688608.SH,2022-05-13,2022-06-13,TIME,0.25477732332211284
688256.SH,2022-05-13,2022-06-13,TIME,0.20605688552720403
688162.SH,2022-05-13,2022-06-13,TIME,0.2317893989788855
688089.SH,2022-05-16,2022-06-15,TIME,0.02426811362025522
688208.SH,2022-05-17,2022-06-15,TRAIL,0.19177579961453414
688276.SH,2022-06-10,2022-06-30,TPALL,0.3902127847483062
688793.SH,2022-06-15,2022-07-08,STOP,-0.08952254887529934
