initial_cash,start_year,end,variant,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
100000.0,2020,2026-07-31,baseline1,1955395.660029275,18.55395660029275,0.5716149487313433,-0.4063040814091705,809,0.43139678615574784
100000.0,2020,2026-07-31,baseline2,1917294.208883177,18.17294208883177,0.5669193973877087,-0.30773132565773553,627,0.4768740031897927
100000.0,2021,2026-07-31,baseline1,871737.838036185,7.7173783803618505,0.47525546290786624,-0.40623801247266644,696,0.41522988505747127
100000.0,2021,2026-07-31,baseline2,940764.4466341631,8.407644466341631,0.49558181436641235,-0.31137725563210195,535,0.45981308411214955
100000.0,2022,2026-07-31,baseline1,306590.8092204253,2.065908092204253,0.27785142383728534,-0.4142729717236161,555,0.390990990990991
100000.0,2022,2026-07-31,baseline2,606332.6233051622,5.0633262330516215,0.48351278609253345,-0.30761966694242904,462,0.45021645021645024
100000.0,2023,2026-07-31,baseline1,307049.6232484823,2.070496232484823,0.36887060719451203,-0.4140453640185563,467,0.4068522483940043
100000.0,2023,2026-07-31,baseline2,414445.41536645754,3.144454153664576,0.4887435122099977,-0.3125258459822289,365,0.4575342465753425
100000.0,2024,2026-07-31,baseline1,235138.8038581452,1.3513880385814518,0.39357345186148396,-0.3621824121207686,358,0.3854748603351955
100000.0,2024,2026-07-31,baseline2,304254.291728109,2.04254291728109,0.5401703789686239,-0.306575830991366,298,0.42953020134228187
100000.0,2025,2026-07-31,baseline1,136075.15646346365,0.3607515646346364,0.21612620648476288,-0.3079309916131998,174,0.3850574712643678
100000.0,2025,2026-07-31,baseline2,151344.07989962367,0.5134407989962366,0.301119469867545,-0.2962255584261013,134,0.4253731343283582
100000.0,2026,2026-07-31,baseline1,74176.6108102964,-0.25823389189703594,-0.4096806254397951,-0.29015770067318825,71,0.23943661971830985
100000.0,2026,2026-07-31,baseline2,79574.53564425299,-0.20425464355747014,-0.3317843522534306,-0.24582524316648546,61,0.2459016393442623
