final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,strategy,period
0.867508410049636,-0.13249158995036403,-0.023457578184154948,-0.33559012624938656,-0.008322581989253963,0.07333660674372888,0.9104836130028586,31.433587487961283,R5_10日,设计期2018-2023
1.0004028427436658,0.00040284274366575445,0.0004042264117720684,-0.29680997901024253,0.1432609881779483,0.10290136938404837,0.9998410386108775,32.445412808998185,R5_10日,验证期2024
1.1206450907829106,0.12064509078291064,0.07106430538938158,-0.27941003772262474,0.4491884276971338,0.20485819421684992,0.9998858802276035,39.14103422020068,R5_10日,验证期2025-2026-08
0.9629518703990015,-0.03704812960099846,-0.004349936793713205,-0.43285235780665754,0.09075837890260856,0.09939955651210775,0.937911591446585,32.96707329626565,R5_10日,全周期
1.2185595586703724,0.21855955867037236,0.033563665222773986,-0.2865864155092688,0.2681391637807701,0.08775912553173626,0.903872266671365,16.995083656139904,R5_20日,设计期2018-2023
1.081078291788069,0.08107829178806902,0.08136775271980379,-0.2783880684685891,0.42833120950719417,0.13894725245414863,1.0000000000000022,17.254763082302702,R5_20日,验证期2024
1.2814651320515107,0.2814651320515107,0.16122756728037557,-0.24867627955718508,0.8501735842148679,0.23731958941023068,1.0000000000000013,21.103254000953932,R5_20日,验证期2025-2026-08
1.655371248803658,0.655371248803658,0.05992985585570487,-0.3879524495764254,0.3855042954783746,0.11814389923059498,0.9333691210942817,17.779814619827455,R5_20日,全周期
1.0637268710062895,0.06372687100628949,0.010371039326453113,-0.2989823282500973,0.15776581991530142,0.06329382590170352,0.9038336216200371,16.977619387887486,R10_20日,设计期2018-2023
1.0149139256471928,0.01491392564719285,0.014965522389504882,-0.2750682987148195,0.19624615587662533,0.07212623824042752,1.0000000000000009,18.221148223851785,R10_20日,验证期2024
1.3607513240724276,0.3607513240724276,0.2040139213551777,-0.2662735412962861,0.958317590040896,0.2828267824842652,1.0000000000000018,21.081894200692098,R10_20日,验证期2025-2026-08
1.4345313136395894,0.4345313136395894,0.04254838198279054,-0.40876197522041946,0.3047415147557725,0.10012227933048035,0.9333423343008538,17.874859133863865,R10_20日,全周期
1.4348056930624844,0.4348056930624844,0.062150240528899836,-0.32292142534279633,0.4069560010424328,0.09176407741316916,0.8900667605414668,9.143229462843376,R10_40日,设计期2018-2023
1.0601860234074372,0.06018602340743717,0.06039882608626512,-0.25482261988231414,0.35313557734478507,0.09229874610331024,1.0000000000000013,9.855255211835106,R10_40日,验证期2024
1.4560328123148922,0.45603281231489223,0.25414275943237286,-0.25441119598150375,1.1546911965049662,0.2946273599159852,1.0000000000000013,10.562258606055288,R10_40日,验证期2025-2026-08
2.1679719099468517,1.1679719099468517,0.09346797694440467,-0.32292142534279633,0.52952716610844,0.12509347112116687,0.9237998430584767,9.47969789681187,R10_40日,全周期
1.0097651813198445,0.009765181319844496,0.0016242853202816931,-0.2884384638096894,0.10862824596247567,0.056407212252400196,0.8792038435140711,17.70652798288895,R5确认20日,设计期2018-2023
0.8821879641228498,-0.11781203587715017,-0.11819170133947754,-0.26270991137263755,-0.39286748281314404,-0.06927004759783051,0.9016901653155631,17.95664728950838,R5确认20日,验证期2024
1.2328268857570845,0.23282688575708455,0.13445889305310632,-0.24824554812352906,0.7667235280240202,0.21119676003797294,0.9927201050051565,21.76089982375613,R5确认20日,验证期2025-2026-08
1.076911671363417,0.07691167136341703,0.008593166514777373,-0.3573335745454923,0.1466507394297438,0.06623062506883004,0.9035562427799457,18.478501930178755,R5确认20日,全周期
