final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,period,strategy
0.7671038095153457,-0.23289619048465426,-0.04331374218872419,-0.4248400239191883,-0.23308860797434652,-0.0059536178221553104,0.643102264927934,12.737911726617526,设计期2018-2023,S1_same_month
1.0756364609755513,0.07563646097555132,0.07590581952371189,-0.22566247985814725,0.42031587814241406,0.14625240711158205,0.998966942148759,21.056010887260847,验证期2024,S1_same_month
1.105260400088087,0.10526040008808701,0.06217753120635061,-0.19732587300258375,0.4459886262535904,0.12632235998669983,0.9987593052109169,19.49405976348961,验证期2025-2026-08,S1_same_month
0.8936237883813815,-0.10637621161861854,-0.012903637145328939,-0.5078668243682519,0.006729202800871543,0.03254111860883069,0.7522597526165552,14.965412938902993,全周期,S1_same_month
1.0845658704129837,0.08456587041298369,0.013650127803638945,-0.30769512550582134,0.16990572585241354,0.05306262219836766,0.6431001669283579,12.683867316243107,设计期2018-2023,S2_season_lowrisk
1.0821262059494312,0.08212620594943121,0.08241954878219215,-0.22160524226348655,0.439147056837458,0.1522012003036457,0.9989669421487587,20.771085164835117,验证期2024,S2_season_lowrisk
1.1702697152682817,0.17026971526828172,0.09940449158056719,-0.2190164229215419,0.6433339700786115,0.16372029086522066,0.999379652605458,18.904103423979564,验证期2025-2026-08,S2_season_lowrisk
1.3585627110725893,0.3585627110725893,0.03601844028219281,-0.3298271945090181,0.30221023686179893,0.08311570957001657,0.7523772327376864,14.782225575578652,全周期,S2_season_lowrisk
1.1308008416954196,0.1308008416954196,0.020742024266967807,-0.2608809464474472,0.21465370779470277,0.0607879251822403,0.643102264927934,12.795715508551446,设计期2018-2023,S3_season_reversal
0.9832014638941283,-0.016798536105871675,-0.016855734455525573,-0.2205164156359336,0.04862365898226163,0.03625712264434422,1.000000000000001,17.49899433714303,验证期2024,S3_season_reversal
1.3203301590544703,0.32033015905447026,0.18232838799782392,-0.22161660619468848,0.960553773579501,0.26002307191707263,0.9998378962948719,21.160537119110895,验证期2025-2026-08,S3_season_reversal
1.4351327620010839,0.43513276200108386,0.04259884753728227,-0.33138743552965055,0.3331460723916263,0.09043078214459799,0.7525854767872662,14.91531749924226,全周期,S3_season_reversal
