final_nav,annualized_return,max_drawdown,sharpe,average_exposure,total_cost,overlay,period
1.4071934847611287,0.05870877266580976,-0.2820901713830576,0.4066689439302838,1.0,0.1587744701859995,O0_R8原版,design_2018_2023
1.146079263899726,0.14661601118037892,-0.20424744393184668,0.6321622497227929,1.0,0.03108417834363415,O0_R8原版,validation_2024
1.3864695935079456,0.2176783916014513,-0.20707163121531424,1.2344282842779124,1.0,0.04881327754951956,O0_R8原版,history_2025_202608
2.236036148033009,0.09737825763579666,-0.28923867885930976,0.5788789078504452,1.0,0.23867192607915322,O0_R8原版,full
1.0524608751037468,0.00857595134144118,-0.2933613113492044,0.13326529979798546,0.6257378174330817,0.28724606836308825,O1_策略60日趋势,design_2018_2023
1.1768962648137977,0.17755473767067964,-0.09375919213357731,0.8953848553298658,0.6731404958677686,0.030288871295660148,O1_策略60日趋势,validation_2024
1.2478864143074475,0.14279122439397507,-0.1359732935900595,1.111292708278013,0.8158808933002482,0.08896429170140246,O1_策略60日趋势,history_2025_202608
1.5456786249473309,0.05157122517255264,-0.2933613113492044,0.4315202054015363,0.6676498572787821,0.40649923136015087,O1_策略60日趋势,full
0.8726024853522486,-0.02250222363576415,-0.2776481954200182,-0.10260582472582078,0.6454358270418669,0.28982710410088547,O2_策略120日趋势,design_2018_2023
1.0428967079714826,0.04304714427026357,-0.12007751444892611,0.3117057445331071,0.6847107438016529,0.03813261696236835,O2_策略120日趋势,validation_2024
1.25922556207335,0.1490387574962455,-0.14988740935113354,1.1248283831293833,0.8714640198511165,0.06376429170140246,O2_策略120日趋势,history_2025_202608
1.1459384017254244,0.015854938449606504,-0.3159222190938693,0.184761147401678,0.693292102759277,0.3917240127646563,O2_策略120日趋势,full
1.0539190552179463,0.00880919228542032,-0.2534159024152106,0.13536613190246005,0.6870281400137268,0.23715670415247103,O3_策略双趋势,design_2018_2023
1.0350700047263384,0.03519253221147145,-0.11681151346843743,0.27577999462926084,0.6621900826446281,0.038636076863706514,O3_策略双趋势,validation_2024
1.2944919555626302,0.16832813317625162,-0.1692491869717837,1.1964703160259578,0.8864764267990074,0.05529338716336585,O3_策略双趋势,history_2025_202608
1.412135386381398,0.040655758905809636,-0.2534159024152106,0.3464814410660217,0.722407231208373,0.3310861681795434,O3_策略双趋势,full
1.0112222526250483,0.0018655233899402823,-0.24195351565882706,0.08966861001256032,0.8662142349183968,0.20083267131788826,O4_组合波动目标,design_2018_2023
0.9435661972196626,-0.05662200717414945,-0.19366952327357867,-0.24120747806289658,0.7062250059776168,0.03685057456015698,O4_组合波动目标,validation_2024
1.205137703928315,0.11903236834612896,-0.19593401298983315,0.8622418999251005,0.8893210318644769,0.05333205665329094,O4_组合波动目标,history_2025_202608
1.14988832913162,0.016258666983697934,-0.2862381497540456,0.18578032882703496,0.8522250083558857,0.29101530253133623,O4_组合波动目标,full
0.9345995821451507,-0.011232483708186303,-0.24169095729619916,-0.011660322374497156,0.7948524365133836,0.23713234695308877,O5_回撤分级,design_2018_2023
0.9954870141719878,-0.004528448575205846,-0.16591005779929746,0.08011561356759456,0.7243801652892562,0.04942728290298705,O5_回撤分级,validation_2024
1.2494176922640265,0.14363622624453054,-0.19114157678789567,0.9979829140019245,0.9166253101736972,0.06696424157902586,O5_回撤分级,history_2025_202608
1.1624354158561168,0.017533038250582278,-0.28819578746291763,0.1949841493958315,0.8100856327307326,0.35352387143510167,O5_回撤分级,full
0.9403637861804929,-0.010216617400633732,-0.2840957254823008,0.011694325860994313,0.8665751544269046,0.2588830265388195,O6_回撤加趋势恢复,design_2018_2023
1.0530172785623255,0.0532041031537982,-0.13373089003030403,0.35468272261960765,0.7557851239669422,0.03691279706463786,O6_回撤加趋势恢复,validation_2024
1.3135023942364703,0.17863947266600477,-0.18791269996578097,1.1666644230594518,0.9337468982630274,0.057089006324640715,O6_回撤加趋势恢复,history_2025_202608
