pool,horizon,samples,positives,positive_unbuyable,positive_rate,positive_unbuyable_rate
pool_a,40,6026182,911513,7302,0.15125879039166093,0.008010856674561964
pool_a,60,5964991,1310297,7598,0.2196645393094474,0.005798685336225299
pool_b,40,1255755,195716,300,0.15585524246369714,0.0015328332890514828
pool_b,60,1231509,276192,334,0.2242711989924556,0.0012093036728073223
pool_c,40,647047,107996,158,0.1669059589179766,0.0014630171487832883
pool_c,60,634253,151944,178,0.23956370722724213,0.0011714842310324857
