final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,period,strategy,top_n,buffer_n,rebalance
1.1871406505474082,0.18714065054740825,0.02906445833136484,-0.18406769902852804,0.2698208991083629,0.04241433669658279,0.9176389842141384,4.29129165567863,设计期2018-2023,P1_anti_max_ivol,80,240,40
1.2301790825312204,0.23017908253122044,0.23105454360927968,-0.11248638339483574,1.1775916934620987,0.2499438027426477,0.9999999999999991,5.068580840455836,验证期2024,P1_anti_max_ivol,80,240,40
1.0456302382234015,0.04563023822340151,0.027258261405893602,-0.14245542381023935,0.28418961155351546,0.04281173172124597,0.9999999999999983,5.002599009900985,验证期2025-2026-08,P1_anti_max_ivol,80,240,40
1.4945350587148098,0.49453505871480985,0.04749325413782701,-0.18406769902852804,0.3877833015932146,0.061776602574641126,0.942911512844909,4.5088818453667665,全周期,P1_anti_max_ivol,80,240,40
1.5985361053494511,0.5985361053494511,0.08149273234984955,-0.2194902867258267,0.5219104649203415,0.11045347858339416,0.8898421413864117,8.787301668106702,设计期2018-2023,P2_resrev_anti_lottery,80,240,40
1.0539797602246526,0.05397976022465256,0.0541700629054549,-0.1993855239924659,0.3501664256621107,0.0812494335624756,1.0000000000000022,8.436187806674738,验证期2024,P2_resrev_anti_lottery,80,240,40
1.424374909376755,0.42437490937675504,0.23763582745727185,-0.1951601466199685,1.2646832820091745,0.27841966042185984,1.0000000000000016,10.77814828197216,验证期2025-2026-08,P2_resrev_anti_lottery,80,240,40
2.3491567364570987,1.3491567364570987,0.10364999197662961,-0.27514935618476977,0.6212109264121317,0.13431090048789796,0.923644148430068,9.111653167453078,全周期,P2_resrev_anti_lottery,80,240,40
0.8831147861061184,-0.11688521389388162,-0.02054531766685752,-0.30122055890024624,0.005394778924691802,0.03240712241819832,0.9162432159961331,17.508934015459573,设计期2018-2023,P3_volume_price_quality,50,200,20
0.9014409108901809,-0.09855908910981914,-0.09888023455395545,-0.3039962797223218,-0.27789809156666806,-0.04296066048319902,0.9997520661157027,20.01791936005172,验证期2024,P3_volume_price_quality,50,200,20
0.7044601297046281,-0.2955398702953719,-0.19034575221188232,-0.355623408666487,-0.9382022725073601,-0.13843833368447256,0.9980075360720523,20.66181173970225,验证期2025-2026-08,P3_volume_price_quality,50,200,20
0.5714356585341197,-0.4285643414658803,-0.06257699876162814,-0.4409924262233441,-0.1974890675334528,-0.009337356659749219,0.9415334932176037,18.368516994349818,全周期,P3_volume_price_quality,50,200,20
1.108719987311042,0.10871998731104204,0.01738582827637236,-0.34357696141122895,0.1897628491754356,0.05365799932586213,0.9173644474948524,11.657733116965149,设计期2018-2023,P4_risk_adjusted_trend,50,200,20
1.080925864666934,0.08092586466693397,0.08121476123809668,-0.11822518475200172,0.48107820768120235,0.11673111445689921,0.9983471074380166,10.75681318681319,验证期2024,P4_risk_adjusted_trend,50,200,20
0.7244431913573576,-0.2755568086426424,-0.1765799746088682,-0.30107124271262975,-1.1223886407389236,-0.13968738737943787,1.0000000000000002,14.583054746651143,验证期2025-2026-08,P4_risk_adjusted_trend,50,200,20
0.8823377670179677,-0.11766223298203227,-0.014351325458190733,-0.4040792587585559,0.01991774329323177,0.022124556316251986,0.9425309229305424,12.092403889748141,全周期,P4_risk_adjusted_trend,50,200,20
1.3882330091730464,0.3882330091730464,0.056312899147558104,-0.25426138116763597,0.39549932630941204,0.08513332998774836,0.8898297376189732,8.950538871832702,设计期2018-2023,P5_max_reversal,80,240,40
0.9950520322354792,-0.004947967764520778,-0.004964917161140003,-0.19374425154571562,0.09013677960015755,0.021221380940579015,1.0000000000000024,8.639563672430645,验证期2024,P5_max_reversal,80,240,40
1.5134348863383995,0.5134348863383995,0.2837139028379492,-0.21124034601237585,1.3990684102137592,0.3263505416317425,0.9987593052109174,10.861706918562756,验证期2025-2026-08,P5_max_reversal,80,240,40
2.0299615109681786,1.0299615109681786,0.08519405133751268,-0.2762358430039846,0.5319870625967134,0.115854499192525,0.9233976820698593,9.263934265606037,全周期,P5_max_reversal,80,240,40
