final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,strategy,period
1.4494223081662334,0.4494223081662334,0.1325690633493417,-0.23549672286070655,0.8306326181579832,0.16612054913732766,0.9284731774415406,9.707322048767514,base,设计期2021-2023
1.0774225363200505,0.07742253632005047,0.07769848227799137,-0.20204866911005115,0.44876669233247124,0.10631066546547951,0.8925619834710744,8.714567522356866,base,验证期2024
1.2630516759088581,0.26305167590885814,0.1511417842820948,-0.21855181261577294,0.9102712901497254,0.18224220976504868,0.8110693484775755,8.865980184176623,base,验证期2025-2026-08
1.9322213328919957,0.9322213328919957,0.12356122322023388,-0.23549672286070655,0.7422337884561848,0.1552781490584183,0.8876537517758477,9.257220474991165,base,全周期2021-2026
1.0146710650136275,0.014671065013627471,0.004896871286966142,-0.28754712986267206,0.11258148201401436,0.03266226682191564,0.8875299621596499,9.063935261417553,ml_only,设计期2021-2023
1.2098644300388266,0.2098644300388266,0.2106562042212563,-0.15799104248640972,1.1147648028522015,0.23757608763537297,0.8951546511563963,7.3166088541663585,ml_only,验证期2024
1.057888558295263,0.05788855829526307,0.034500003178566274,-0.14800242752574544,0.3383788333292104,0.055380905228132216,0.8107441148533385,6.6496873848563025,ml_only,验证期2025-2026-08
1.276514484567347,0.27651448456734706,0.04412733219298692,-0.34319829146934333,0.3606513702412947,0.06961183350571698,0.8663203982185196,8.021104928727937,ml_only,全周期2021-2026
1.2002102103576573,0.2002102103576573,0.06312140035096503,-0.2532439612109374,0.4610662986714629,0.09427946824071998,0.8866876100734477,9.60522426805584,blend25,设计期2021-2023
1.0707328203087583,0.07073282030875827,0.07098414583955459,-0.19876360142410743,0.4298936204498342,0.09826781071403445,0.8925619834710743,8.36731830479104,blend25,验证期2024
1.206753322331727,0.20675332233172705,0.11993632326513115,-0.21635969575264746,0.7794422061244275,0.1505170940049254,0.8081583672663227,8.959165393192142,blend25,验证期2025-2026-08
1.5216496690932657,0.5216496690932657,0.07707807181667858,-0.2556426747419078,0.5198892755141522,0.10719054218498081,0.8646572263350761,9.169514440257233,blend25,全周期2021-2026
1.1696416516510226,0.16964165165102263,0.05396182337315292,-0.2466100090512745,0.4148671770948332,0.08462369924115287,0.8874966556494676,9.535587725486764,blend50,设计期2021-2023
1.114458378379238,0.11445837837923789,0.11487319530465956,-0.17811671236815763,0.6469374849352669,0.14174244808240366,0.893416571609697,7.921884033994445,blend50,验证期2024
1.218654505381193,0.21865450538119302,0.1265804030105553,-0.20339416021336365,0.8454373260651246,0.15591893057039719,0.8087137095703093,8.550822936183753,blend50,验证期2025-2026-08
1.557591541643228,0.557591541643228,0.08153485018736317,-0.2466100090512745,0.5604563405160748,0.11098464767262506,0.8653997842154113,8.934440445886885,blend50,全周期2021-2026
1.0523755094214169,0.05237550942141689,0.017269565519258734,-0.27601954278790763,0.19111323820747747,0.0464086364138343,0.8869177096730427,9.391225394615844,blend75,设计期2021-2023
1.1876593568294374,0.18765935682943735,0.18836100265113287,-0.1492700382111104,1.0113637041971018,0.21472803361118453,0.8934036962739732,7.300933270984431,blend75,验证期2024
1.213799816129947,0.21379981612994703,0.12387329993074836,-0.13872196125829617,0.9050284402991321,0.15002273749024164,0.8080164817175719,7.651925095086093,blend75,验证期2025-2026-08
1.487577765089354,0.487577765089354,0.07277243098092057,-0.27601954278790763,0.5295226492891674,0.10049284307777673,0.8648859413722924,8.485060907020417,blend75,全周期2021-2026
