final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,mode,period
2.0011117850601243,1.0011117850601243,0.12283310397532787,-0.2516806318812437,0.7379521419460368,0.15142577106959854,0.8191133016999308,8.362089303365348,equal,设计期2018-2023
1.0236131810287707,0.023613181028770747,0.02369522347630504,-0.23390799919377514,0.22190240722540885,0.05045407724133466,0.8925619834710736,8.582024699837193,equal,验证期2024
1.3323128558256983,0.33231285582569825,0.18878414848884129,-0.22243119717588444,1.0541158454949222,0.22023111272241902,0.8118062106580602,8.683799106865564,equal,验证期2025-2026-08
2.6795394670260353,1.6795394670260353,0.12054833660813391,-0.2688912234382762,0.704743857489018,0.14932708730578614,0.8261684031741185,8.433173745166387,equal,全周期
1.9678488430651666,0.9678488430651666,0.11969423678503754,-0.23956361168870066,0.7427951891625562,0.14834986025142682,0.8191254728782359,8.403300615261557,inv_vol,设计期2018-2023
1.063673149439753,0.06367314943975311,0.06389864922986477,-0.1896647952869115,0.3993285438506304,0.09158095142620781,0.8925619834710744,8.543271686964207,inv_vol,验证期2024
1.2536701544794824,0.2536701544794824,0.14598069832379745,-0.21931075384132337,0.8945192751768896,0.17669579881355002,0.8115166188631195,8.796687196117022,inv_vol,验证期2025-2026-08
2.5743609289097154,1.5743609289097154,0.11537880460144656,-0.23956361168870066,0.7080044287018464,0.14418245732015578,0.8261213184516778,8.478837110489698,inv_vol,全周期
2.031049589441246,1.031049589441246,0.1256212487190056,-0.235496722860707,0.7648114973150978,0.1548710932305548,0.8189961045911495,8.530439482526033,inv_ivol,设计期2018-2023
1.0774225363200505,0.07742253632005047,0.07769848227799137,-0.20204866911005115,0.44876669233247124,0.10631066546547951,0.8925619834710744,8.714567522356866,inv_ivol,验证期2024
1.2630516759088581,0.26305167590885814,0.1511417842820948,-0.21855181261577294,0.9102712901497254,0.18224220976504868,0.8110693484775755,8.865980184176623,inv_ivol,验证期2025-2026-08
2.707587238563325,1.7075872385633248,0.12189654756725532,-0.235496722860707,0.7298020067285986,0.15128799614977573,0.8259458952548848,8.599733707882823,inv_ivol,全周期
2.035500194365448,1.035500194365448,0.12603281162776492,-0.24033636452386065,0.7681522040438131,0.15684142753137031,0.8186138491275627,8.97463593939828,score_invvol,设计期2018-2023
1.065110295679042,0.06511029567904192,0.06534103979155015,-0.2001362901626783,0.3970550078442834,0.09573064845650014,0.8925619834710743,9.352876596564677,score_invvol,验证期2024
1.2737574195197972,0.27375741951979715,0.1570127992239576,-0.21192908754372342,0.9404179887871758,0.18875148698552335,0.8108432626997016,8.999797312879467,score_invvol,验证期2025-2026-08
2.7054528926858508,1.7054528926858508,0.12179438833015288,-0.24157854243277355,0.7298652921972467,0.1525937114811824,0.8256375894609128,9.005960497065614,score_invvol,全周期
1.8910497215843298,0.8910497215843298,0.11227467559104287,-0.23310338623087878,0.7143479739892684,0.1407869593093345,0.8192147099317064,8.416820353449484,lowbeta_invvol,设计期2018-2023
1.0618681532109038,0.061868153210903776,0.062087075831232186,-0.1784832200237153,0.39701146290583267,0.08952073603797506,0.8925619834710743,8.481877939923603,lowbeta_invvol,验证期2024
1.2163269076098324,0.21632690760983242,0.12528300863322372,-0.21014636437162404,0.8047316311725565,0.15549754587884745,0.8111679531923326,8.81224171680066,lowbeta_invvol,验证期2025-2026-08
2.396691484081059,1.396691484081059,0.10620602634412823,-0.23310338623087878,0.6724357319283115,0.13479085895355358,0.826116326121316,8.48409995684711,lowbeta_invvol,全周期
1.9789264778084297,0.9789264778084297,0.12074445670660472,-0.2574272609486542,0.7143160774480518,0.15146613797958697,0.8189699819437805,8.991282159319887,residual_conviction,设计期2018-2023
1.0374501848562603,0.03745018485626028,0.037581178184799224,-0.23247219308366185,0.2770871245901234,0.06705488863104336,0.8925619834710743,9.314357461172209,residual_conviction,验证期2024
1.3813534429758951,0.38135344297589513,0.2149681879368528,-0.21400896690007587,1.1603778358308583,0.24831333331008998,0.8107224799876148,9.004220704585082,residual_conviction,验证期2025-2026-08
2.768937916323475,1.768937916323475,0.12480303360589828,-0.2811235276523416,0.7119934094763649,0.15571253799058837,0.825861285978638,9.013884902079619,residual_conviction,全周期
