date,symbol,previous_raw_close,preclose,close,qfq_close,pctChg,implied_factor
2018-06-28,000021.SZ,6.65,6.6,6.59,6.14945191,-0.151511,1.0075757575757578
2019-06-27,000021.SZ,8.32,8.22,8.28,7.82046828,0.72992,1.0121654501216544
2021-06-10,000021.SZ,17.92,17.76,18.35,17.5344526,3.3221,1.009009009009009
2022-06-17,000021.SZ,11.34,11.19,11.11,10.75853515,-0.7149,1.0134048257372654
2023-07-26,000021.SZ,19.69,19.56,19.38,18.89164338,-0.9202,1.0066462167689163
2024-06-27,000021.SZ,14.72,14.59,14.63,14.38841481,0.2742,1.0089102124742975
2025-06-11,000021.SZ,17.48,17.29,17.34,17.2410753,0.2892,1.0109890109890112
2026-06-11,000021.SZ,38.56,38.34,39.08,39.08,1.9301,1.0057381324986958
2018-05-23,000022.SZ,24.14,22.82,22.82,22.82,0.0,1.0578439964943032
2019-08-16,000023.SZ,11.89,11.83,12.27,12.26365641,3.7194,1.0050718512256975
2019-05-15,000025.SZ,29.6,20.41,20.66,20.22209064,1.22489,1.4502694757471828
2025-05-28,000025.SZ,18.17,18.07,18.36,18.21625956,1.6049,1.0055340343110128
2026-07-24,000025.SZ,14.05,13.94,14.14,14.14,1.4347,1.007890961262554
2018-07-30,000026.SZ,8.62,8.42,8.47,6.89247944,0.593827,1.02375296912114
2019-08-12,000026.SZ,6.99,6.79,6.9,5.7802749,1.62,1.0294550810014729
2020-07-01,000026.SZ,8.93,8.73,8.78,7.52369614,0.5727,1.0229095074455898
2021-06-01,000026.SZ,14.86,14.45,14.5,12.7777915,0.346,1.0283737024221453
2022-06-10,000026.SZ,10.59,10.29,10.17,9.22335606,-1.1662,1.0291545189504374
2023-06-15,000026.SZ,12.26,12.01,11.95,11.06327415,-0.4996,1.0208159866777686
2024-06-12,000026.SZ,9.51,9.11,9.15,8.84299005,0.4391,1.04390779363337
2025-05-28,000026.SZ,14.17,13.77,14.34,14.26143114,4.1394,1.0290486564996368
2026-06-10,000026.SZ,21.9,21.78,21.26,21.26,-2.3875,1.005509641873278
2018-06-22,000027.SZ,4.94,4.86,4.95,3.51826695,1.851845,1.0164609053497942
2019-06-14,000027.SZ,6.03,5.98,5.92,4.24288768,-1.003343,1.0083612040133778
2020-06-11,000027.SZ,5.5,4.54,4.5,3.907143,-0.8811,1.2114537444933922
2021-06-18,000027.SZ,9.83,9.57,9.6,8.5616928,0.3135,1.0271682340647859
2022-06-17,000027.SZ,6.5,6.33,6.32,5.78781808,-0.158,1.0268562401263823
2023-06-15,000027.SZ,6.43,6.29,6.38,5.97281564,1.4308,1.0222575516693164
2024-06-18,000027.SZ,7.18,7.04,7.13,6.80768835,1.2784,1.0198863636363635
2025-06-13,000027.SZ,6.54,6.39,6.39,6.24435912,0.0,1.023474178403756
2026-06-24,000027.SZ,7.02,6.86,6.75,6.75,-1.6035,1.0233236151603498
2018-06-13,000028.SZ,52.28,51.98,52.2,31.7024694,0.423242,1.005771450557907
2019-06-19,000028.SZ,40.19,39.79,40.26,24.69677232,1.181195,1.0100527770796681
2020-06-18,000028.SZ,48.19,47.59,46.45,28.8531607,-2.3955,1.0126076906913215
2021-06-21,000028.SZ,38.39,37.59,37.42,23.73872412,-0.4522,1.0212822559191272
2022-06-17,000028.SZ,29.68,29.08,29.21,18.91274475,0.447,1.0206327372764787
2023-06-01,000028.SZ,58.5,44.38,42.73,36.46907221,-3.7179,1.3181613339342044
2024-06-25,000028.SZ,32.8,32.12,32.49,28.31649705,1.1519,1.0211706102117062
2025-06-25,000028.SZ,24.98,24.61,24.79,21.93044871,0.7314,1.0150345388053637
2026-06-24,000028.SZ,23.06,20.4,19.9,19.9,-2.451,1.130392156862745
2019-05-21,000029.SZ,11.17,10.97,10.97,10.53133164,0.0,1.0182315405651776
2019-07-26,000029.SZ,10.97,11.17,11.17,10.72333404,0.0,0.9820948970456581
2019-07-29,000029.SZ,11.17,10.97,10.97,10.53133164,0.0,1.0182315405651776
2019-07-30,000029.SZ,10.97,11.17,11.17,10.72333404,0.0,0.9820948970456581
2019-08-05,000029.SZ,11.17,10.97,10.97,10.53133164,0.0,1.0182315405651776
2020-05-21,000029.SZ,10.97,10.81,10.81,10.53132901,0.0,1.0148011100832564
2021-05-31,000029.SZ,7.6,7.51,7.46,7.35478416,-0.6658,1.0119840213049267
2022-07-05,000029.SZ,11.85,11.76,11.8,11.7226038,0.3401,1.0076530612244898
2023-06-28,000029.SZ,11.15,11.09,10.84,10.82716544,-2.2543,1.005410279531109
2018-07-26,000030.SZ,7.55,5.25,5.15,3.77842625,-1.90476,1.438095238095238
2019-06-26,000030.SZ,4.92,4.78,4.76,3.59457588,-0.41841,1.0292887029288702
2020-06-16,000030.SZ,5.93,5.77,5.68,4.40827072,-1.5598,1.0277296360485269
2021-06-17,000030.SZ,6.66,6.37,6.32,5.12827552,-0.7849,1.0455259026687598
2022-06-13,000030.SZ,5.84,5.56,5.43,4.627989,-2.3381,1.050359712230216
2023-06-27,000030.SZ,5.15,4.9,4.91,4.39830435,0.2041,1.0510204081632653
2024-06-26,000030.SZ,5.31,5.06,5.19,4.87882317,2.5692,1.0494071146245059
2025-06-30,000030.SZ,6.05,5.9,5.89,5.67761838,-0.1695,1.0254237288135593
2026-06-26,000030.SZ,4.16,4.01,3.93,3.93,-1.995,1.0374064837905237
2018-07-10,000031.SZ,5.7,5.65,5.75,5.49560275,1.76991,1.008849557522124
2019-05-16,000031.SZ,7.08,6.97,6.99,6.7861716,0.286944,1.0157819225251077
2020-07-17,000031.SZ,5.83,5.66,5.57,5.57,-1.5901,1.030035335689046
2019-06-04,000032.SZ,9.0,8.92,9.0,8.755974,0.89686,1.0089686098654709
2022-06-08,000032.SZ,15.92,15.82,15.55,15.2895686,-1.7067,1.0063211125158027
2024-06-07,000032.SZ,15.28,15.17,15.3,15.1887231,0.857,1.007251153592617
2025-05-30,000032.SZ,19.89,19.77,19.43,19.40577079,-1.7198,1.0060698027314112
2019-04-25,000034.SZ,15.79,15.54,14.69,9.7501937,-5.469758,1.016087516087516
2020-04-30,000034.SZ,22.91,22.7,24.82,16.62619822,9.3392,1.009251101321586
2021-04-30,000034.SZ,17.27,17.08,16.9,11.4467418,-1.0539,1.0111241217798597
2022-05-05,000034.SZ,13.76,13.57,14.21,9.75951326,4.7163,1.0140014738393515
2023-05-10,000034.SZ,26.52,26.08,25.59,17.87187687,-1.8788,1.0168711656441718
2024-05-06,000034.SZ,30.84,30.4,30.7,21.7509807,0.9868,1.0144736842105264
2025-05-12,000034.SZ,41.08,40.82,41.11,29.31200554,0.7104,1.0063694267515924
2026-05-19,000034.SZ,41.57,29.64,30.96,30.96,4.4534,1.4024966261808367
2022-06-16,000035.SZ,5.17,5.08,5.21,5.1065815,2.5591,1.0177165354330708
2025-08-06,000035.SZ,4.35,4.32,4.33,4.29218178,0.2315,1.0069444444444442
2026-08-20,000035.SZ,4.58,4.54,4.57,4.57,0.6608,1.0088105726872247
2018-06-29,000036.SZ,6.55,6.05,5.94,3.59915886,-1.818184,1.0826446280991735
2019-06-28,000036.SZ,7.56,5.35,5.11,4.37525354,-4.485977,1.4130841121495328
2020-07-09,000036.SZ,5.19,4.79,4.7,4.3602558,-1.8789,1.0835073068893528
2021-07-14,000036.SZ,4.77,4.54,4.5,4.3862085,-0.8811,1.0506607929515417
2022-07-15,000036.SZ,3.97,3.9,3.86,3.82992288,-1.0256,1.017948717948718
2023-06-08,000036.SZ,3.85,3.82,3.89,3.89,1.8325,1.0078534031413613
2018-05-21,000038.SZ,18.5,18.1,18.1,18.1,0.0,1.022099447513812
2018-07-20,000039.SZ,12.31,12.04,12.29,5.61632107,2.076412,1.0224252491694352
2019-06-28,000039.SZ,13.43,10.73,10.68,6.10868232,-0.465976,1.2516309412861135
2020-06-24,000039.SZ,7.42,7.3,7.39,4.29637603,1.2329,1.0164383561643835
2021-07-20,000039.SZ,16.95,16.67,16.76,9.90753992,0.5399,1.0167966406718654
2022-08-18,000039.SZ,13.85,8.77,8.49,7.92591591,-3.1927,1.5792474344355758
2023-08-18,000039.SZ,7.35,7.17,7.17,6.86166132,0.0,1.0251046025104602
2025-07-11,000039.SZ,8.09,7.92,7.94,7.78267684,0.2525,1.0214646464646464
2026-08-10,000039.SZ,8.58,8.41,8.89,8.89,5.7075,1.0202140309155767
2019-07-18,000040.SZ,6.4,6.33,6.21,6.21,-1.895733,1.0110584518167458
2018-06-22,000042.SZ,14.43,14.23,14.49,14.03252172,1.827127,1.0140548137737175
2019-06-13,000042.SZ,10.0,9.9,10.0,9.7821,1.010105,1.0101010101010102
2020-07-09,000042.SZ,10.75,10.63,10.8,10.6839324,1.5992,1.011288805268109
2021-07-05,000042.SZ,8.44,8.39,8.39,8.34930011,0.0,1.00595947556615
2018-06-06,000043.SZ,7.96,7.86,8.0,7.777776,1.781169,1.0127226463104326
2019-06-06,000043.SZ,10.8,10.5,9.96,9.96,-5.142857,1.0285714285714287
2022-06-01,000045.SZ,7.39,7.34,7.37,7.20059318,0.4087,1.0068119891008174
2023-06-06,000045.SZ,11.57,11.51,10.95,10.75407165,-4.8653,1.0052128583840139
2024-06-13,000045.SZ,8.41,8.35,8.34,8.2496361,-0.1198,1.007185628742515
2025-05-28,000045.SZ,11.0,10.93,10.88,10.83104,-0.4575,1.0064043915827996
2018-07-17,000046.SZ,6.02,5.87,5.88,5.600553,0.170362,1.0255536626916524
2019-07-05,000046.SZ,5.83,5.68,5.55,5.42584095,-2.288726,1.0264084507042255
2020-07-17,000046.SZ,4.47,4.37,4.21,4.21,-3.6613,1.022883295194508
2019-11-08,000048.SZ,24.96,24.23,23.59,14.06572622,-2.6414,1.0301279405695418
2020-07-20,000048.SZ,26.1,25.35,25.6,15.7158144,0.9862,1.029585798816568
2021-05-10,000048.SZ,29.45,21.5,21.0,17.658879,-2.3256,1.369767441860465
2022-04-21,000048.SZ,25.33,24.03,22.93,20.32494563,-4.5776,1.0540990428630876
2023-05-10,000048.SZ,21.05,20.05,20.19,18.788814,0.6983,1.0498753117206983
2024-09-24,000048.SZ,13.22,12.85,13.29,12.72377955,3.4241,1.0287937743190663
2025-04-30,000048.SZ,15.49,15.15,15.01,14.69300381,-0.9241,1.0224422442244225
2025-09-17,000048.SZ,17.52,17.15,17.21,17.21,0.3499,1.0215743440233236
2018-05-09,000049.SZ,33.24,32.99,32.85,18.57913875,-0.424381,1.0075780539557442
2019-06-06,000049.SZ,24.61,24.36,23.5,13.4274065,-3.53038,1.0102627257799672
2020-06-11,000049.SZ,51.29,50.59,49.69,28.78467165,-1.779,1.0138367266258153
2021-05-11,000049.SZ,70.49,47.92,46.57,39.68346125,-2.8172,1.4709933222036726
2022-05-18,000049.SZ,36.3,35.55,35.47,30.86251794,-0.225,1.021097046413502
2023-06-07,000049.SZ,35.54,34.89,34.45,30.5334484,-1.2611,1.0186299799369447
2023-12-08,000049.SZ,31.54,29.24,27.35,26.14739315,-6.4637,1.0786593707250343
2024-05-09,000049.SZ,21.89,21.44,22.18,21.6497871,3.4515,1.0209888059701493
2025-05-28,000049.SZ,21.55,21.22,21.17,20.98529175,-0.2356,1.0155513666352498
2026-05-28,000049.SZ,26.36,26.13,26.29,26.29,0.6123,1.0088021431305014
2019-05-28,000050.SZ,14.03,13.96,13.84,13.58820888,-0.859598,1.0050143266475644
2020-05-28,000050.SZ,13.42,13.34,13.37,13.20548215,0.2249,1.0059970014992503
2022-05-27,000050.SZ,9.22,9.15,9.13,9.13,-0.2186,1.0076502732240438
2018-06-04,000055.SZ,6.36,6.21,6.1,5.5349753,-1.771339,1.0241545893719808
