symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000713.SZ,2018-01-02,2026-09-11,2111,SZ,False,国投丰乐,False
000715.SZ,2018-01-02,2026-09-11,2111,SZ,False,中兴商业,False
000716.SZ,2018-01-02,2026-09-11,2111,SZ,False,黑芝麻,False
000717.SZ,2018-01-02,2026-09-11,2111,SZ,False,中南股份,False
000718.SZ,2018-01-02,2026-09-11,2111,SZ,False,苏宁环球,False
000719.SZ,2018-01-02,2026-09-11,2111,SZ,False,中原传媒,False
000720.SZ,2018-01-02,2026-09-11,2111,SZ,False,新能泰山,False
000721.SZ,2018-01-02,2026-09-11,2111,SZ,False,西安饮食,False
000722.SZ,2018-01-02,2026-09-11,2111,SZ,False,湖南发展,False
000723.SZ,2018-01-02,2026-09-11,2111,SZ,False,美锦能源,False
000725.SZ,2018-01-02,2026-09-11,2111,SZ,False,京东方A,False
000726.SZ,2018-01-02,2026-09-11,2111,SZ,False,鲁泰A,False
000727.SZ,2018-01-02,2026-09-11,2111,SZ,False,冠捷科技,False
000728.SZ,2018-01-02,2026-09-11,2111,SZ,False,国元证券,False
000729.SZ,2018-01-02,2026-09-11,2111,SZ,False,燕京啤酒,False
000731.SZ,2018-01-02,2026-09-11,2111,SZ,False,四川美丰,False
000732.SZ,2018-01-02,2023-08-04,1358,SZ,True,ST泰禾,False
000733.SZ,2018-01-02,2026-09-11,2111,SZ,False,振华科技,False
000735.SZ,2018-01-02,2026-09-11,2111,SZ,False,罗牛山,False
000736.SZ,2018-01-02,2026-09-11,2111,SZ,False,中交发展,False
000737.SZ,2018-01-02,2026-09-11,2111,SZ,False,北方铜业,False
000738.SZ,2018-01-02,2026-09-11,2111,SZ,False,航发控制,False
000739.SZ,2018-01-02,2026-09-11,2111,SZ,False,普洛药业,False
000750.SZ,2018-01-02,2026-09-11,2111,SZ,False,国海证券,False
000751.SZ,2018-01-02,2026-09-11,2111,SZ,False,锌业股份,False
000752.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST西发,False
000753.SZ,2018-01-02,2026-09-11,2111,SZ,False,漳州发展,False
000755.SZ,2018-01-02,2026-09-11,2111,SZ,False,山西高速,False
000756.SZ,2018-01-02,2026-09-11,2111,SZ,False,新华制药,False
000757.SZ,2018-01-02,2026-09-11,2111,SZ,False,浩物股份,False
000758.SZ,2018-01-02,2026-09-11,2111,SZ,False,中色股份,False
000759.SZ,2018-01-02,2026-09-11,2111,SZ,False,中百集团,False
000760.SZ,2018-01-02,2021-07-23,865,SZ,True,斯太退,True
000761.SZ,2018-01-02,2026-09-11,2111,SZ,False,本钢板材,False
000762.SZ,2018-01-02,2026-09-11,2111,SZ,False,西藏矿业,False
000766.SZ,2018-01-02,2026-09-11,2111,SZ,False,通化金马,False
000767.SZ,2018-01-02,2026-09-11,2111,SZ,False,晋控电力,False
000768.SZ,2018-01-02,2026-09-11,2111,SZ,False,中航西飞,False
000776.SZ,2018-01-02,2026-09-11,2111,SZ,False,广发证券,False
000777.SZ,2018-01-02,2026-09-11,2111,SZ,False,中核科技,False
000778.SZ,2018-01-02,2026-09-11,2111,SZ,False,新兴铸管,False
000779.SZ,2018-01-02,2026-09-11,2111,SZ,False,甘咨询,False
000780.SZ,2018-01-02,2022-01-24,988,SZ,True,ST平能,False
000782.SZ,2018-01-02,2026-09-11,2111,SZ,False,恒申新材,False
000783.SZ,2018-01-02,2026-09-11,2111,SZ,False,长江证券,False
000785.SZ,2018-01-02,2026-09-11,2111,SZ,False,居然智家,False
000786.SZ,2018-01-02,2026-09-11,2111,SZ,False,北新建材,False
000788.SZ,2018-01-02,2026-09-11,2111,SZ,False,北大医药,False
000789.SZ,2018-01-02,2026-09-11,2111,SZ,False,万年青,False
000790.SZ,2018-01-02,2026-09-11,2111,SZ,False,华神科技,False
000791.SZ,2018-01-02,2026-09-11,2111,SZ,False,甘肃能源,False
000792.SZ,2018-01-02,2026-09-11,2111,SZ,False,盐湖股份,False
000793.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST华闻,False
000795.SZ,2018-01-02,2026-09-11,2111,SZ,False,英洛华,False
000796.SZ,2018-01-02,2026-09-11,2111,SZ,False,凯撒旅业,False
000797.SZ,2018-01-02,2026-09-11,2111,SZ,False,中国武夷,False
000798.SZ,2018-01-02,2026-09-11,2111,SZ,False,中水渔业,False
000799.SZ,2018-01-02,2026-09-11,2111,SZ,False,酒鬼酒,False
000800.SZ,2018-01-02,2026-09-11,2111,SZ,False,一汽解放,False
000801.SZ,2018-01-02,2026-09-11,2111,SZ,False,四川九洲,False
000802.SZ,2018-01-02,2026-09-11,2111,SZ,False,北京文化,False
000803.SZ,2018-01-02,2026-09-11,2111,SZ,False,山高环能,False
000806.SZ,2018-01-02,2023-07-06,1337,SZ,True,银河退,True
000807.SZ,2018-01-02,2026-09-11,2111,SZ,False,云铝股份,False
000809.SZ,2018-01-02,2026-09-11,2111,SZ,False,和展能源,False
000810.SZ,2018-01-02,2026-09-11,2111,SZ,False,创维数字,False
000811.SZ,2018-01-02,2026-09-11,2111,SZ,False,冰轮环境,False
000812.SZ,2018-01-02,2026-09-11,2111,SZ,False,陕西金叶,False
000813.SZ,2018-01-02,2026-09-11,2111,SZ,False,德展健康,False
000815.SZ,2018-01-02,2026-09-11,2111,SZ,False,美利云,False
000816.SZ,2018-01-02,2026-09-11,2111,SZ,False,智慧农业,False
000818.SZ,2018-01-02,2026-09-11,2111,SZ,False,航锦科技,False
000819.SZ,2018-01-02,2026-09-11,2111,SZ,False,岳阳兴长,False
000820.SZ,2018-01-02,2026-09-11,2111,SZ,False,神雾节能,False
000821.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST京机,False
000822.SZ,2018-01-02,2026-09-11,2111,SZ,False,山东海化,False
000823.SZ,2018-01-02,2026-09-11,2111,SZ,False,超声电子,False
000825.SZ,2018-01-02,2026-09-11,2111,SZ,False,太钢不锈,False
000826.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST启环,False
000828.SZ,2018-01-02,2026-09-11,2111,SZ,False,东莞控股,False
000829.SZ,2018-01-02,2026-09-11,2111,SZ,False,天音控股,False
000830.SZ,2018-01-02,2026-09-11,2111,SZ,False,鲁西化工,False
000831.SZ,2018-01-02,2026-09-11,2111,SZ,False,中国稀土,False
000833.SZ,2018-01-02,2026-09-11,2111,SZ,False,粤桂股份,False
000835.SZ,2018-01-02,2022-05-23,1063,SZ,True,长动退,True
000836.SZ,2018-01-02,2024-08-12,1605,SZ,True,ST富通,False
000837.SZ,2018-01-02,2026-09-11,2111,SZ,False,秦川机床,False
000838.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST发展,False
000839.SZ,2018-01-02,2026-09-11,2111,SZ,False,国安股份,False
000848.SZ,2018-01-02,2026-09-11,2111,SZ,False,承德露露,False
000850.SZ,2018-01-02,2026-09-11,2111,SZ,False,华茂股份,False
000851.SZ,2018-01-02,2025-11-10,1905,SZ,True,*ST高鸿,False
000852.SZ,2018-01-02,2026-09-11,2111,SZ,False,石化机械,False
000856.SZ,2018-01-02,2026-09-11,2111,SZ,False,冀东装备,False
000858.SZ,2018-01-02,2026-09-11,2111,SZ,False,五粮液,False
000859.SZ,2018-01-02,2026-09-11,2111,SZ,False,国风新材,False
000860.SZ,2018-01-02,2026-09-11,2111,SZ,False,顺鑫农业,False
000861.SZ,2018-01-02,2024-09-18,1630,SZ,True,海印股份,False
000862.SZ,2018-01-02,2026-09-11,2111,SZ,False,银星能源,False
000863.SZ,2018-01-02,2026-09-11,2111,SZ,False,三湘印象,False
000868.SZ,2018-01-02,2026-09-11,2111,SZ,False,安凯客车,False
