final_nav,annualized_return,max_drawdown,sharpe,strategy,period
1.5076950430440492,0.07097681189096883,-0.23452856113780185,0.49660027179004285,F0_等权,设计期2018-2023
1.0908273949265912,0.09115310529101439,-0.17861418661031958,0.5103542591214444,F0_等权,验证期2024
1.3124535579259182,0.1780721314534155,-0.15955409509107643,1.1394720546605654,F0_等权,验证期2025-2026-08
2.158507130930446,0.09291565289012804,-0.24961774924087887,0.6071286782788441,F0_等权,全周期
1.4371831391292709,0.06244396860331669,-0.22599894710673585,0.4394330037707433,F1_因子动量60,设计期2018-2023
1.0362579282155562,0.03638467856119254,-0.2109122758078159,0.2764778439775814,F1_因子动量60,验证期2024
1.2224846256492912,0.12871315711299292,-0.23624695273173446,0.7686484775813177,F1_因子动量60,验证期2025-2026-08
1.8206370892604697,0.07164145984134374,-0.29508301046941365,0.478345554717069,F1_因子动量60,全周期
1.541340786257174,0.07493172899587752,-0.2533247716684536,0.5013884226857219,F2_因子动量120,设计期2018-2023
1.0871334207628613,0.08744536058756336,-0.16368480995999968,0.5065070380811644,F2_因子动量120,验证期2024
1.1663599509456692,0.09718921331718788,-0.23624695273173446,0.6123452372392736,F2_因子动量120,验证期2025-2026-08
1.954402982370045,0.0804510404275387,-0.2533247716684536,0.5224446986246903,F2_因子动量120,全周期
1.5638293674686852,0.07753525533431183,-0.25332477166845335,0.5099216295841865,F3_风险调整动量,设计期2018-2023
1.1461049339451148,0.1466417814428136,-0.19556969346129216,0.6851431877932319,F3_风险调整动量,验证期2024
1.300251980778624,0.17145870900698013,-0.19613852211863592,0.9851904907940552,F3_风险调整动量,验证期2025-2026-08
2.330457948388237,0.10263196873868363,-0.2743076584783738,0.6194948172208923,F3_风险调整动量,全周期
1.5600242492176872,0.07709693433527987,-0.253324771668453,0.5133056245405554,F4_双周期动量,设计期2018-2023
1.1137206139509113,0.11413262263740331,-0.16430321427284678,0.6200459366009199,F4_双周期动量,验证期2024
1.137755395889215,0.08089112443199564,-0.23624695273173513,0.5300833213724601,F4_双周期动量,验证期2025-2026-08
1.976771682529113,0.08187184586361385,-0.253324771668453,0.5301410988472548,F4_双周期动量,全周期
1.6557356578834401,0.08786148243625891,-0.24124618249022534,0.5719838694376345,F5_核心锚定,设计期2018-2023
1.0694501278253818,0.06969674904352496,-0.19441967260542126,0.41542966306438955,F5_核心锚定,验证期2024
1.255339092701245,0.14689995562974212,-0.19985347813757026,0.8979752490616427,F5_核心锚定,验证期2025-2026-08
2.2228624627690423,0.0966297259841069,-0.25616316190405586,0.6060103718929568,F5_核心锚定,全周期
