date,equity,cash,positions
2026-01-05,10000000.0,10000000.0,0
2026-01-06,10000000.0,10000000.0,0
2026-01-07,10000000.0,10000000.0,0
2026-01-08,10000000.0,10000000.0,0
2026-01-09,10000000.0,10000000.0,0
2026-01-12,10000212.608838772,8999714.648838772,1
2026-01-13,9977545.568838771,8999714.648838772,1
2026-01-14,10052718.643176444,8001964.983176445,2
2026-01-15,9989419.003176445,8001964.983176445,2
2026-01-16,9951516.883176444,8001964.983176445,2
2026-01-19,10005921.363176445,8001964.983176445,2
2026-01-20,10003201.003176445,8001964.983176445,2
2026-01-21,10252318.763480738,6998873.683480739,3
2026-01-22,10365819.611929499,7650636.131929498,3
2026-01-23,10399345.931929499,7650636.131929498,3
2026-01-26,10356159.985794645,6611937.025794646,4
2026-01-27,10269801.325794645,6611937.025794646,4
2026-01-28,10145021.725794647,6611937.025794646,4
2026-01-29,10070501.331994442,7571246.811994443,3
2026-01-30,10048458.281994443,7571246.811994443,3
2026-02-02,9952310.211994443,7571246.811994443,3
2026-02-03,10006135.194055174,7496014.684055173,3
2026-02-04,9958885.384016877,6496888.024016877,4
2026-02-05,9881563.789756477,5504179.539756477,5
2026-02-06,9835949.941661496,6416791.101661496,4
2026-02-09,9956241.651661497,6416791.101661496,4
2026-02-10,9869808.411661496,6416791.101661496,4
2026-02-11,9793740.201661495,6416791.101661496,4
2026-02-12,9777119.115404457,7334713.965404456,3
2026-02-13,9763570.501391586,8776580.801391587,1
2026-02-24,9771085.651391586,8776580.801391587,1
2026-02-25,9776095.751391586,8776580.801391587,1
2026-02-26,9778416.755371798,7016320.645371798,3
2026-02-27,9771440.119853262,6038824.429853262,4
2026-03-02,9716898.399853263,6038824.429853262,4
2026-03-03,9503106.469853263,6038824.429853262,4
2026-03-04,9450917.706684958,7195290.716684958,3
2026-03-05,9485750.536684958,7195290.716684958,3
2026-03-06,9546299.183082616,6484407.823082616,4
2026-03-09,9348136.967989312,6362477.287989313,4
2026-03-10,9435232.301184116,7008624.281184115,3
2026-03-11,9350915.953494702,6159518.5934947,4
2026-03-12,9231381.7334947,6159518.5934947,4
2026-03-13,9281177.05033658,6109415.21033658,4
2026-03-16,9288205.34358144,5413964.99358144,5
2026-03-17,9135655.10358144,5413964.99358144,5
2026-03-18,9192130.977273308,5819482.997273307,5
2026-03-19,9124509.477273308,5819482.997273307,5
2026-03-20,9087654.247273307,5819482.997273307,5
2026-03-23,8981401.277273308,5819482.997273307,5
2026-03-24,9098857.739714775,1519540.1597147756,11
2026-03-25,9202480.989714775,1519540.1597147756,11
2026-03-26,9067684.249714777,1519540.1597147756,11
2026-03-27,9212177.355243156,2173696.8652431555,10
2026-03-30,9306149.615243156,2173696.8652431555,10
2026-03-31,9116491.4189258,1569960.4889257979,11
2026-04-01,9436667.928925797,1569960.4889257979,11
2026-04-02,9255530.133894933,627856.9438949313,12
2026-04-03,9127757.18851711,1774523.7585171107,10
2026-04-07,9221785.45851711,1774523.7585171107,10
