start,end,final_nav,total_return,annualized_return,max_drawdown,sharpe,average_exposure,turnover,strategy,period
2018-01-02,2018-12-28,0.7798374199333,-0.22016258006669998,-0.2229854880096176,-0.22214091668380254,-1.7193573122178973,0.34156378600823045,3.6175850647395364,Q3平衡80只40日,2018
2019-01-02,2019-12-31,1.2705307178400211,0.27053071784002114,0.27241771159742445,-0.1851241271865831,1.2135662990893548,1.0,9.855870221435417,Q3平衡80只40日,2019
2020-01-02,2020-12-31,1.2488955023834585,0.24889550238345848,0.2498490907306401,-0.13794423922877463,1.0723162186315647,1.0,9.8883601542204,Q3平衡80只40日,2020
2021-01-04,2021-12-31,1.3822387475685969,0.3822387475685969,0.3875164059658953,-0.1191655343174911,2.1437295375470966,0.9998844822831586,10.009145246754688,Q3平衡80只40日,2021
2022-01-04,2022-12-30,0.9440351359730234,-0.055964864026976646,-0.05675740906503113,-0.2516805327989149,-0.12800414677486407,1.0,10.151420557937332,Q3平衡80只40日,2022
2023-01-03,2023-12-29,1.0895741123513165,0.08957411235131651,0.09093808679034376,-0.09871234611372703,0.7561718240696189,1.0,10.100000000000001,Q3平衡80只40日,2023
2024-01-02,2024-12-31,0.954355803454336,-0.045644196545663984,-0.04579729648637698,-0.2339079991937747,-0.05596564511134413,1.0,9.137654320987654,Q3平衡80只40日,2024
2025-01-02,2025-12-31,1.446817196612549,0.44681719661254893,0.4501334204891554,-0.11047691195083287,2.1212331251636805,1.0,10.271111013113025,Q3平衡80只40日,2025
2026-01-05,2026-08-31,1.0452054890979599,0.04520548909795985,0.0702078378537252,-0.22696967876249108,0.4100639367793691,1.0,6.87909533936667,Q3平衡80只40日,2026
2018-01-02,2023-12-29,1.7593139227807217,0.7593139227807217,0.09894180194653002,-0.25168053279891467,0.5962329261250832,0.8901660461186052,53.62238124508737,Q3平衡80只40日,阶段1_2018-2023
2024-01-02,2024-12-31,0.954355803454336,-0.045644196545663984,-0.04579729648637698,-0.2339079991937747,-0.05596564511134413,1.0,9.137654320987654,Q3平衡80只40日,阶段2_2024
2025-01-02,2026-08-31,1.5122212756207585,0.5122212756207585,0.28309336151788456,-0.22696967876249108,1.3341485398506674,1.0,17.150206352479692,Q3平衡80只40日,2025-2026-08
2018-01-02,2026-08-31,2.539036840184709,1.5390368401847092,0.11360066723969964,-0.2812339531423482,0.6425950851966522,0.9238686627948657,79.91024191855473,Q3平衡80只40日,全周期
2018-01-02,2018-12-28,0.7812125882033609,-0.21878741179663908,-0.22159529785893983,-0.22080687079203598,-1.705233212166038,0.3366255144032922,3.5308910891089114,Q3分散100只40日,2018
2019-01-02,2019-12-31,1.2547476520474956,0.2547476520474956,0.2565138454064879,-0.19799578210555813,1.1363645154524085,1.0,9.329259209851413,Q3分散100只40日,2019
2020-01-02,2020-12-31,1.2451989450875827,0.24519894508758266,0.24613702591560305,-0.14564852918646154,1.0538429610756845,1.0,9.553121881716852,Q3分散100只40日,2020
2021-01-04,2021-12-31,1.3803775395475388,0.38037753954753883,0.3856261110854169,-0.1110279935790871,2.1380081408443674,0.9998842749916911,9.708911765297682,Q3分散100只40日,2021
2022-01-04,2022-12-30,0.9451494705841693,-0.054850529415830684,-0.05562776318110341,-0.24874913926149655,-0.11932973723333476,1.0,9.982925293151023,Q3分散100只40日,2022
2023-01-03,2023-12-29,1.0844344185395693,0.08443441853956934,0.08571709106266812,-0.10004633822439724,0.7248737100248521,1.0,9.760000000000002,Q3分散100只40日,2023
2024-01-02,2024-12-31,0.9583791780038938,-0.04162082199610617,-0.041760723880393535,-0.23074342998611186,-0.04676217011989338,1.0,8.730891089108912,Q3分散100只40日,2024
2025-01-02,2025-12-31,1.412299140711351,0.412299140711351,0.41532439562817736,-0.11172288726870083,2.0029156510427657,0.9983539094650207,10.117124561941303,Q3分散100只40日,2025
2026-01-05,2026-08-31,1.0286895227902153,0.028689522790215305,0.04436497100519898,-0.23158599116521128,0.305225978540267,1.0,6.791442750273321,Q3分散100只40日,2026
2018-01-02,2023-12-29,1.726895433792419,0.7268954337924189,0.09553361322141996,-0.2487491392614969,0.5768476346722012,0.8893424013884563,51.865109239125886,Q3分散100只40日,阶段1_2018-2023
