strategy,removed_best_days,final_nav,annualized_return
Q3平衡80只40日,0,2.539036840184709,0.11360066723969964
Q3平衡80只40日,5,1.9365987366114035,0.07930984019460663
Q3平衡80只40日,10,1.571021708562569,0.053547928843992176
Q3平衡80只40日,20,1.1128091236872897,0.012419416369318315
Q3分散100只40日,0,2.4044426459521913,0.106618561876481
Q3分散100只40日,5,1.8342086817087173,0.0725608937678579
Q3分散100只40日,10,1.497054901367003,0.0476970455902217
Q3分散100只40日,20,1.0625791889027483,0.007033906259408473
Q3进攻50只60日,0,2.8119110936100404,0.12680515088000788
Q3进攻50只60日,5,2.1801662315607877,0.09417644977858664
Q3进攻50只60日,10,1.7922732886962145,0.06970015816959263
Q3进攻50只60日,20,1.2710352977714714,0.0280818331892847
Q3平衡进攻各半,0,2.689945119943289,0.12104996960321857
Q3平衡进攻各半,5,2.0735890377432105,0.08786200888526086
Q3平衡进攻各半,10,1.6962176796884396,0.06291753799665667
Q3平衡进攻各半,20,1.2141360715969147,0.022658994073687433
