factor,year,rank_ic,ic_positive_share,top_decile_future20,bottom_decile_future20,top_minus_bottom
ret5,2018,-0.03472362627821526,0.3790322580645161,-0.04234113461525784,-0.031188475098134678,-0.011152659517123163
ret5,2019,-0.03390425830826785,0.38524590163934425,-0.003124267218848947,0.009013428278144867,-0.012137695496993815
ret5,2020,-0.006863529839595683,0.49382716049382713,0.007128697218428798,0.004017380634920196,0.003111316583508602
ret5,2021,-0.00585235072263186,0.5020576131687243,0.00891618038834314,0.007434492418286834,0.0014816879700563059
ret5,2022,-0.04136008303314687,0.384297520661157,-0.01711931477394189,-0.0018758839045195505,-0.015243430869422338
ret5,2023,-0.025540544894980925,0.4214876033057851,-0.017836501271609843,-0.010415922829536373,-0.0074205784420734704
ret5,2024,-0.04320473914688035,0.39669421487603307,-0.009737260296338538,0.0066677153043568265,-0.016404975600695364
ret5,2025,-0.03890810505516634,0.3950617283950617,0.021995868254109152,0.02864166153706591,-0.006645793282956759
ret5,2026,-0.03401737096672234,0.4357142857142857,-0.02051485299360974,-0.014552396598466159,-0.005962456395143581
ret20,2018,-0.07376469589484573,0.31451612903225806,-0.04611448889237376,-0.02329077171282822,-0.022823717179545542
ret20,2019,-0.06194992235415184,0.29508196721311475,-0.0006528807159460691,0.012392031446007604,-0.013044912161953673
ret20,2020,-0.02373223987792699,0.345679012345679,0.0100633296193612,0.004708651422115127,0.0053546781972460735
ret20,2021,-0.03719428722105238,0.3868312757201646,0.008502110005833318,0.011051221092514192,-0.002549111086680874
ret20,2022,-0.0964263895668014,0.2644628099173554,-0.019178917828778282,0.008771954425624994,-0.027950872254403278
ret20,2023,-0.028170028885603493,0.44214876033057854,-0.016143570335342597,-0.012107809476839078,-0.004035760858503519
ret20,2024,-0.06704454257976476,0.384297520661157,-0.011468679791809135,0.00869425296183322,-0.020162932753642355
ret20,2025,-0.08142446762869955,0.2962962962962963,0.022559280430939573,0.03166326150775087,-0.009103981076811294
ret20,2026,-0.0671674926797497,0.4785714285714286,-0.019078555403339637,-0.009782344213831829,-0.009296211189507807
ret60,2018,-0.03733671956424819,0.4596774193548387,-0.04499540686418316,-0.02832084372404087,-0.016674563140142287
ret60,2019,-0.030826414198865938,0.3524590163934426,0.009136505684391817,0.008790091603546341,0.0003464140808454759
ret60,2020,0.0017851362823359828,0.48148148148148145,0.015003064637094393,-0.00163939023700677,0.016642454874101164
ret60,2021,-0.07250593615334013,0.3045267489711934,0.0009982027456071339,0.017998075513294357,-0.016999872767687222
ret60,2022,-0.07532057939540544,0.3140495867768595,-0.01698873401597451,0.005368673119201248,-0.022357407135175755
ret60,2023,-0.04516859269334326,0.4090909090909091,-0.020699487359114466,-0.014089429349312059,-0.006610058009802407
ret60,2024,-0.06138855551343422,0.3925619834710744,-0.003514782937664211,0.011486011007573724,-0.015000793945237935
ret60,2025,-0.06095330371556361,0.31275720164609055,0.025440077925214456,0.02947720890439022,-0.004037130979175765
ret60,2026,-0.09381340555850126,0.4928571428571429,-0.01953957899348836,-0.00637626813972003,-0.01316331085376833
ret120,2018,-0.05436648159272448,0.5203252032520326,-0.04471547568611858,-0.02204527986543344,-0.022670195820685142
ret120,2019,-0.015163241784050024,0.3975409836065574,0.010551177867224426,0.006141116978623814,0.004410060888600612
ret120,2020,0.03854330384143324,0.5967078189300411,0.021813244032147773,-0.009176125595701128,0.0309893696278489
ret120,2021,-0.03133285777630215,0.48559670781893005,0.007251630620208538,0.011244061325048058,-0.003992430704839519
ret120,2022,-0.11850223224529753,0.23553719008264462,-0.02186007632386679,0.015548013032471823,-0.03740808935633862
ret120,2023,-0.012797623829276572,0.49173553719008267,-0.01724038419500516,-0.019061516409733657,0.0018211322147284985
ret120,2024,-0.08292188007262241,0.32231404958677684,-0.010739733004628887,0.01596619105311518,-0.026705924057744065
ret120,2025,-0.039521775031445765,0.3786008230452675,0.02725624466114379,0.02400608232084626,0.0032501623402975306
ret120,2026,-0.07779286700178355,0.4357142857142857,-0.012029991849459815,-0.012726138835885241,0.0006961469864254256
mom_skip5,2018,-0.02571220192506338,0.5,-0.04363271503686912,-0.03034841598197786,-0.013284299054891261
mom_skip5,2019,-0.015903000918169884,0.45491803278688525,0.010333704220082408,0.005373467468806997,0.004960236751275411
mom_skip5,2020,0.010016407312241075,0.5267489711934157,0.016263736309753685,-0.0016148318657590352,0.01787856817551272
mom_skip5,2021,-0.07110374776138083,0.2880658436213992,0.0018305813284198028,0.017485367725393882,-0.01565478639697408
mom_skip5,2022,-0.05924458849703753,0.371900826446281,-0.012232976625970025,0.002797314785747518,-0.015030291411717543
mom_skip5,2023,-0.03566665610317474,0.43388429752066116,-0.019184231309051746,-0.01592000523564852,-0.0032642260734032265
mom_skip5,2024,-0.04586762267031733,0.44214876033057854,-0.0017251419753402837,0.007135020387795126,-0.008860162363135408
mom_skip5,2025,-0.045387632591950965,0.3292181069958848,0.02759583866771393,0.027889597460949586,-0.00029375879323565585
mom_skip5,2026,-0.07749083544829335,0.4928571428571429,-0.017352694941362316,-0.009273605434347664,-0.008079089507014652
mom_skip20,2018,-0.030641063618515447,0.4959349593495935,-0.0422987123373875,-0.026947630248677083,-0.01535108208871042
mom_skip20,2019,0.012648833707833523,0.5122950819672131,0.011792588084617944,0.0006906686307315812,0.011101919453886363
mom_skip20,2020,0.05284264327732395,0.6337448559670782,0.021091920076924488,-0.009351618671648989,0.030443538748573477
mom_skip20,2021,-0.014405948961892354,0.4773662551440329,0.007452710436568042,0.006563170587767656,0.0008895398488003858
mom_skip20,2022,-0.07331665815728859,0.33884297520661155,-0.016964046759199845,0.007544683752134932,-0.02450873051133478
mom_skip20,2023,-0.00011586134935283585,0.5082644628099173,-0.016419827429201388,-0.019905021819856757,0.0034851943906553697
mom_skip20,2024,-0.039058379722065883,0.4132231404958678,-0.004185682948881031,0.007432669759587586,-0.011618352708468616
mom_skip20,2025,-0.008569887055885456,0.4403292181069959,0.027809775200627752,0.022289040478929413,0.005520734721698339
mom_skip20,2026,-0.04047800103975264,0.4357142857142857,-0.00939269141385849,-0.01901206386961171,0.009619372455753221
vol20,2018,-0.1048309964765576,0.1935483870967742,-0.03239975012053807,-0.01601031203765854,-0.01638943808287953
vol20,2019,-0.09056915404264966,0.25,-0.007080478565263896,0.009490497811007694,-0.01657097637627159
vol20,2020,-0.0768538274820849,0.2757201646090535,-0.0038827030807014407,0.007781553458740512,-0.011664256539441952
vol20,2021,-0.08740865873289808,0.25925925925925924,-0.0005569158649540927,0.014060107343089469,-0.014617023208043561
vol20,2022,-0.06646322248766136,0.34297520661157027,-0.007900585733387444,-0.005278265142411957,-0.0026223205909754873
vol20,2023,-0.09617587141495644,0.23553719008264462,-0.015461924326389362,-0.0015686989697943192,-0.013893225356595042
vol20,2024,-0.08898240947667263,0.3925619834710744,-0.005095818340615349,0.013038436165336295,-0.018134254505951644
vol20,2025,-0.032369162574943135,0.48559670781893005,0.020687884395806717,0.013337045045726583,0.007350839350080135
vol20,2026,-0.09833649612776006,0.30714285714285716,-0.02021549030712572,-0.004005932345224817,-0.016209557961900902
vol60,2018,-0.14370477294337633,0.16129032258064516,-0.038709525138559395,-0.010176518825893955,-0.028533006312665442
vol60,2019,-0.08908763714387163,0.2581967213114754,-0.005159211354365971,0.008554244811449419,-0.01371345616581539
vol60,2020,-0.07983565706341006,0.2674897119341564,-0.006168968933692007,0.008660262894500222,-0.014829231828192228
vol60,2021,-0.06768968860251107,0.35802469135802467,0.004044485766177264,0.0124214724265007,-0.008376986660323438
vol60,2022,-0.07714670576445519,0.35537190082644626,-0.01089469726636829,-0.004524385257871471,-0.006370312008496819
vol60,2023,-0.11088818618692181,0.25206611570247933,-0.017369167141339657,0.00016063019351180409,-0.017529797334851462
vol60,2024,-0.08912241083338304,0.41735537190082644,0.0005606669254333079,0.016412528752906268,-0.01585186182747296
vol60,2025,-0.013314096273805334,0.4444444444444444,0.02154372823262452,0.012291205859270096,0.009252522373354423
vol60,2026,-0.09565920665180626,0.29285714285714287,-0.02036127247060358,-0.0019251353935013412,-0.01843613707710224
position60,2018,-0.02842000770437159,0.46774193548387094,-0.03611848245341107,-0.033820505445502566,-0.002297977007908507
position60,2019,-0.03472964961929749,0.38934426229508196,0.003966278754144146,0.004975023828748829,-0.0010087450746046837
position60,2020,0.017479040718294942,0.551440329218107,0.013723013220335525,-0.00479670302589587,0.018519716246231395
position60,2021,-0.06042118810931158,0.3292181069958848,0.006619860484086877,0.014969696140195943,-0.008349835656109066
position60,2022,-0.0725925962510287,0.3181818181818182,-0.015423447492902741,-0.0037547536219141317,-0.011668693870988608
position60,2023,-0.03208598045249466,0.4462809917355372,-0.011430117383150593,-0.012023499901680937,0.0005933825185303436
position60,2024,-0.049993812997395554,0.359504132231405,-0.00367296725510946,0.006402674197497358,-0.010075641452606818
position60,2025,-0.062327283174793364,0.3004115226337449,0.023169650644449594,0.027125367214990592,-0.003955716570540998
position60,2026,-0.09712130106748328,0.45714285714285713,-0.022652839090335625,-0.009839608493338767,-0.012813230596996858
liq_ratio,2018,-0.013451904990251977,0.5080645161290323,-0.031814296451960676,-0.031829752784661096,1.5456332700419795e-05
