baseline,name,cagr_original,cagr_without_best_5_days,cagr_without_best_10_days,top10_winning_trades_pnl,all_winning_trades_pnl,top10_share_of_winning_pnl,net_realized_pnl,completed_fifo_lots
baseline1-2,基准1-2止损过滤,0.5686900082574782,0.437927431960321,0.3651179715060069,528062.8863882897,3931476.1429005126,0.1343166961198199,1464840.9949714886,734
baseline2-2,基准2-2升温防守,0.27602954764859056,0.19462444444227067,0.15033213422688352,113754.11744855969,609930.3,0.1865034700662677,342501.2549506185,283
