symbol,name,buy_date,sell_date,quantity,buy_unit_cost,sell_unit_net,pnl,return
688626.SH,翔宇医疗,2025-12-02,2026-01-05,3681,49.0926840532464,69.86885085574572,76477.06999999999,0.42320291104811636
688281.SH,华秦科技,2025-12-12,2026-01-12,2739,66.07165388828038,92.69334063526834,72916.80000000003,0.4029214523977589
688375.SH,国博电子,2025-12-11,2026-01-05,2592,69.76012345679013,94.68674768518518,64609.80999999998,0.3573190956841521
688192.SH,迪哲医药,2026-06-15,2026-07-15,2681,38.73891831406191,62.45338306602015,63578.48000000004,0.6121612524051834
688183.SH,生益电子,2025-04-08,2025-05-07,5684,21.589554890921885,29.69176988036594,46052.990000000005,0.3752840218512761
688686.SH,奥普特,2026-04-08,2026-05-08,2322,91.76062015503877,111.52105081826012,45883.71999999999,0.2153476145849289
688336.SH,三生国健,2026-03-18,2026-04-03,1622,62.20277657935285,88.50718865598027,42665.75638828968,0.42288163845982907
688041.SH,海光信息,2024-09-06,2024-10-08,828,75.37300724637682,123.53131642512078,39875.08,0.6389331000330882
688226.SH,威腾电气,2025-11-26,2025-12-26,5439,33.095966170251884,40.3066537966538,39218.93000000001,0.21787209925550366
688369.SH,致远互联,2025-06-25,2025-07-25,6670,24.42606596701649,29.94094602698651,36784.25000000002,0.22577848055503424
688220.SH,翱捷科技,2024-09-23,2024-10-08,1982,29.367411705348133,47.25367305751766,35450.57,0.6090513366185499
688622.SH,*ST禾信,2026-03-19,2026-04-07,1433,70.16104326587578,94.68674808094907,35145.335000000036,0.34956300068305657
688335.SH,复洁科技,2025-12-17,2026-01-06,4536,20.416862874779543,28.156847442680778,35108.57,0.37909764175681704
688229.SH,博睿数据,2026-04-08,2026-05-08,1266,84.17320426708811,111.6904897314376,34836.88339786645,0.3269126523570969
688047.SH,龙芯中科,2026-01-14,2026-01-22,731,151.12688569472965,197.34711354309164,33786.98655715261,0.3058372283388744
688499.SH,利元亨,2024-10-14,2024-11-12,4136,21.559485009671178,29.61203578336557,33305.350000000006,0.3735038554994319
688622.SH,*ST禾信,2026-03-19,2026-03-24,1433,70.16104326587578,93.35116538729937,33231.445000000014,0.3305270423865345
688593.SH,新相微,2026-06-15,2026-07-01,3124,28.274899167733675,38.77173175416133,32792.10499999999,0.371242087342482
688009.SH,中国通号,2024-09-20,2024-10-08,12115,4.871181180354932,7.525103590590178,32152.270000000008,0.5448211248923145
688066.SH,*ST航图,2025-11-07,2025-12-08,7096,24.746802423900792,29.08378241262683,30775.209999999974,0.17525415665570288
