symbol,name,buy_date,sell_date,quantity,buy_unit_cost,sell_unit_net,pnl,return
688281.SH,华秦科技,2025-12-12,2026-01-12,685,66.0716496350365,92.69334306569343,18235.86,0.402921579492999
688375.SH,国博电子,2025-12-11,2026-01-05,583,69.76012006861062,94.68675814751288,14532.230000000016,0.35731931158355756
688192.SH,迪哲医药,2026-06-22,2026-07-15,577,38.08741767764298,62.453396880415944,14059.17,0.6397382833616363
688041.SH,海光信息,2024-09-27,2024-10-08,286,82.18863636363636,123.53132867132867,11824.009999999998,0.5030220008125601
688700.SH,东威科技,2024-09-20,2024-10-08,919,18.131621327529924,29.612034820457023,10550.500000000004,0.6331708171897432
688369.SH,致远互联,2025-06-25,2025-07-25,1741,24.42606547960942,29.940941987363583,9601.399999999998,0.22577833963304128
688686.SH,奥普特,2026-04-08,2026-05-08,468,91.76061965811965,111.521047008547,9247.88,0.21534757964855133
688593.SH,新相微,2026-06-15,2026-07-01,850,28.274897119341563,38.77172941176471,8922.307448559675,0.3712421038392655
688819.SH,天能股份,2024-09-06,2024-10-08,635,26.781464566929134,40.127259842519685,8474.58,0.49832208549455115
688002.SH,睿创微纳,2024-09-02,2024-09-30,883,25.35821064552662,34.76498301245753,8306.179999999993,0.37095568368071485
688676.SH,金盘科技,2024-09-03,2024-10-08,673,29.66809806835067,41.78176820208024,8152.499999999998,0.4083062589931299
688167.SH,炬光科技,2024-09-04,2024-10-08,284,43.13366197183098,68.87211267605633,7309.719999999999,0.5967137851878701
688091.SH,上海谊众,2025-02-10,2025-03-12,1063,36.08282220131703,42.85820319849483,7202.23,0.18777303392112432
688652.SH,京仪装备,2024-10-14,2024-11-12,381,44.94317585301837,63.79892388451444,7184.040000000003,0.4195464088510721
688399.SH,硕世生物,2026-04-15,2026-05-12,467,52.32009646302251,67.67610278372591,7171.254951768488,0.29350110872896296
688513.SH,苑东生物,2026-06-30,2026-07-06,515,44.6023786407767,58.23733980582524,7022.005,0.30570031421111454
688568.SH,中科星图,2024-09-19,2024-10-08,425,28.33830588235294,44.781835294117656,6988.500000000004,0.5802580253043483
688180.SH,君实生物,2024-09-19,2024-10-08,494,24.398805668016195,38.02421052631579,6730.950000000001,0.5584455667090629
688768.SH,容知日新,2026-04-30,2026-05-25,577,42.24696707105719,53.82192374350087,6678.750000000001,0.2739831394991077
688226.SH,威腾电气,2025-07-01,2025-07-17,749,26.160046728971963,34.97429906542056,6601.874999999999,0.3369356495333362
