rebalance,weight_baseline1_2,weight_baseline2_2,final_multiple,cagr,max_drawdown,volatility,sharpe,calmar,worst_calendar_year,losing_years,max_underwater_trading_days
每日,0.3,0.7,7.080874429381904,0.3624118091493005,-0.15081280977581835,0.16750969721070358,1.9291555641425595,2.403057205074435,-0.0651614128732565,1,151
每月,0.3,0.7,7.180425422502675,0.3654203149737201,-0.14892075825848783,0.16725216521930694,1.9450810975823534,2.4537903194089647,-0.0645206786625524,1,151
每日,0.4,0.6,8.095367357638093,0.3915399606121359,-0.17345347186220073,0.17747243615825653,1.9497250540191158,2.257319824207341,-0.08048413616583505,1,146
每月,0.4,0.6,8.22391575177774,0.395007973550189,-0.17131377965437744,0.17715541587081418,1.9669736152268875,2.305757157113168,-0.07974626830559128,1,147
每日,0.5,0.5,9.23537798958157,0.42080928206258017,-0.1955845939555395,0.18872284355701674,1.9546793540009786,2.151546159909911,-0.09575034882360267,1,144
每月,0.5,0.5,9.386343975325603,0.4244537221626721,-0.19337921118545764,0.18836544562956753,1.9716557198171816,2.1949294319729415,-0.09497608706458782,1,144
每日,0.6,0.4,10.513391869171205,0.45020355280173785,-0.21721512600177806,0.2010448629349204,1.9486339067005665,2.0726160331857026,-0.11095474940556982,1,92
每月,0.6,0.4,10.676433844668084,0.45373381937258195,-0.2151203545139383,0.20067299704019545,1.9640108684349455,2.109209146655544,-0.11020621289206378,1,92
每日,0.7,0.30000000000000004,11.942703056496205,0.4797060967146738,-0.23835392335496108,0.214253684432195,1.935243393995726,2.0125789832302723,-0.1260921605881502,1,87
每月,0.7,0.30000000000000004,12.102854974482064,0.48282359419026166,-0.23654048113855386,0.21390125912295505,1.9479356158752796,2.041188010890395,-0.12543275866615577,1,87
