date,equity,cash,holdings
2020-01-02,10089487.500069404,1509460.500069404,20
2020-01-03,10035146.500069404,1509460.500069404,20
2020-01-06,10117256.500069404,1509460.500069404,20
2020-01-07,10229003.500069404,1509460.500069404,20
2020-01-08,10090154.500069404,1509460.500069404,20
2020-01-09,10134391.500069404,1509460.500069404,20
2020-01-10,10090920.500069404,1509460.500069404,20
2020-01-13,10219936.500069404,1509460.500069404,20
2020-01-14,10259819.500069404,1509460.500069404,20
2020-01-15,10193695.500069404,1509460.500069404,20
2020-01-16,10079618.500069404,1509460.500069404,20
2020-01-17,10159737.500069404,1509460.500069404,20
2020-01-20,10165237.500069404,1509460.500069404,20
2020-01-21,9977369.500069404,1509460.500069404,20
2020-01-22,10029243.500069404,1509460.500069404,20
2020-01-23,9737104.500069404,1509460.500069404,20
2020-02-03,9002674.913084805,265.9130848044297,23
2020-02-04,9191181.913084805,265.9130848044297,23
2020-02-05,9364706.913084805,265.9130848044297,23
2020-02-06,9482157.913084805,265.9130848044297,23
2020-02-07,9492556.913084805,265.9130848044297,23
2020-02-10,9660655.913084805,265.9130848044297,23
2020-02-11,9621547.913084805,265.9130848044297,23
2020-02-12,9725496.913084805,265.9130848044297,23
2020-02-13,9605315.913084805,265.9130848044297,23
2020-02-14,9565459.913084805,265.9130848044297,23
2020-02-17,9797437.913084805,265.9130848044297,23
2020-02-18,9851110.913084805,265.9130848044297,23
2020-02-19,9820433.913084805,265.9130848044297,23
2020-02-20,9946768.913084805,265.9130848044297,23
2020-02-21,9946811.913084805,265.9130848044297,23
2020-02-24,9858887.913084805,265.9130848044297,23
2020-02-25,9747110.913084805,265.9130848044297,23
2020-02-26,9735584.913084805,265.9130848044297,23
2020-02-27,9724849.913084805,265.9130848044297,23
2020-02-28,9351525.913084805,265.9130848044297,23
2020-03-02,9607946.826867007,938203.8268670057,24
2020-03-03,9627095.826867007,938203.8268670057,24
2020-03-04,9767442.826867007,938203.8268670057,24
2020-03-05,9894706.826867007,938203.8268670057,24
2020-03-06,10036753.826867007,938203.8268670057,24
2020-03-09,9785872.826867007,938203.8268670057,24
2020-03-10,9861139.826867007,938203.8268670057,24
2020-03-11,9739826.826867007,938203.8268670057,24
2020-03-12,9549104.826867007,938203.8268670057,24
2020-03-13,9296291.826867007,938203.8268670057,24
2020-03-16,9115302.826867007,938203.8268670057,24
2020-03-17,9040500.826867007,938203.8268670057,24
2020-03-18,8924760.826867007,938203.8268670057,24
2020-03-19,8879829.826867007,938203.8268670057,24
2020-03-20,8973855.826867007,938203.8268670057,24
2020-03-23,8696727.826867007,938203.8268670057,24
2020-03-24,8860723.826867007,938203.8268670057,24
2020-03-25,9018230.826867007,938203.8268670057,24
2020-03-26,8941173.826867007,938203.8268670057,24
2020-03-27,9004902.826867007,938203.8268670057,24
