variant,period,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate
strategy2,2020,1000000.0,23054674.80197227,22.05467480197227,0.6114699086574138,-0.31732704882019,672,0.49255952380952384
strategy3_candidate,2020,1000000.0,20397610.54673727,19.39761054673727,0.5817420220662259,-0.2895894859526167,705,0.4907801418439716
strategy2,2021,1000000.0,11610731.081891865,10.610731081891865,0.5531709213862048,-0.3173270860075129,621,0.4718196457326892
strategy3_candidate,2021,1000000.0,10497004.172640719,9.497004172640718,0.5252991480808427,-0.28575291838026606,655,0.4763358778625954
strategy2,2022,1000000.0,5992539.432276603,4.992539432276603,0.47970514401685294,-0.317323619624708,540,0.44074074074074077
strategy3_candidate,2022,1000000.0,5628665.209958116,4.628665209958116,0.45955826757408613,-0.28575766122541035,574,0.44947735191637633
strategy2,2023,1000000.0,4174239.2982085245,3.1742392982085246,0.4917303478999424,-0.3173271501255992,406,0.4458128078817734
strategy3_candidate,2023,1000000.0,3969018.734530176,2.969018734530176,0.47082995966064267,-0.2857510521508926,439,0.4533029612756264
strategy2,2024,1000000.0,3016556.236948172,2.016556236948172,0.5350509445398468,-0.31321416782979217,315,0.43174603174603177
strategy3_candidate,2024,1000000.0,2784448.61580895,1.7844486158089499,0.4880787853407438,-0.2857362361190585,347,0.43804034582132567
strategy2,2025,1000000.0,1504576.0874584403,0.5045760874584404,0.2962732436207858,-0.3073761244752854,157,0.42038216560509556
strategy3_candidate,2025,1000000.0,1506179.7161727494,0.5061797161727495,0.29715069732550337,-0.2839274610605712,165,0.43636363636363634
strategy2,2026,1000000.0,766673.3031173757,-0.2333266968826243,-0.37425731376933313,-0.3076149812535587,86,0.2441860465116279
strategy3_candidate,2026,1000000.0,819658.6220802645,-0.18034137791973548,-0.29594583035222566,-0.25107377423516086,89,0.2696629213483146
