final_nav,annualized_return,max_drawdown,sharpe,average_exposure,blend,weight_40d,period
1.738787876090803,0.09679001904891948,-0.27861871281661066,0.6081167974426568,0.7982864180236275,40日0_10日100,0.0,设计期2018-2023
1.168551160854098,0.16917639320791422,-0.15759587652400986,0.8038054101573666,0.8571255165289244,40日0_10日100,0.0,验证期2024
1.299785969884358,0.17120563703228786,-0.22141016140918457,0.975124835215533,0.8594966600974311,40日0_10日100,0.0,验证期2025-2026-08
2.6409864886250887,0.1186746401187706,-0.27861871281661066,0.7020606403554973,0.8167958325783491,40日0_10日100,0.0,全周期
1.80375571740674,0.1035299874471598,-0.2719245339926485,0.6456206881385909,0.8034931389427034,40日25_10日75,0.25,设计期2018-2023
1.131753065717155,0.13223419338654607,-0.17707748608206098,0.6601318600912369,0.8659846332644617,40日25_10日75,0.25,验证期2024
1.303073485052571,0.17299018687474899,-0.22133955706830166,0.9941966314595793,0.8475740477375884,40日25_10日75,0.25,验证期2025-2026-08
2.6601021128947004,0.11960667245755685,-0.2719245339926485,0.7096594909654277,0.8191389752272914,40日25_10日75,0.25,全周期
1.8692103833277198,0.11011897339659793,-0.2652031974729292,0.6801219870162739,0.8086998598617793,40日50_10日50,0.5,设计期2018-2023
1.0957833405803383,0.09612759361454493,-0.19629039946535487,0.5155608436842601,0.8748437499999989,40日50_10日50,0.5,验证期2024
1.3056442069724585,0.17438439659091998,-0.22148594156422818,1.00345822598951,0.8356514353777454,40日50_10日50,0.5,验证期2025-2026-08
2.6742852221802704,0.12029438632172229,-0.2652031974729292,0.7129427714003358,0.8214821178762339,40日50_10日50,0.5,全周期
1.935036065516883,0.11655424366173595,-0.25845509606757355,0.7110375881855342,0.8139065807808551,40日75_10日25,0.75,设计期2018-2023
1.060634117966757,0.06084855000948464,-0.21523405359279701,0.37242912216887947,0.8837028667355364,40日75_10日25,0.75,验证期2024
1.3074938312735118,0.17538685047473224,-0.22184973291057797,1.002442898610649,0.823728823017903,40日75_10日25,0.75,验证期2025-2026-08
2.6834549308077364,0.12073729412946088,-0.25845509606757355,0.7118526508191789,0.8238252605251762,40日75_10日25,0.75,全周期
2.0011117850601243,0.12283310397532787,-0.2516806318812437,0.737952141946035,0.8191133016999308,40日100_10日0,1.0,设计期2018-2023
1.026297261533222,0.026388749274174117,-0.2339079991937747,0.2328201703030952,0.8925619834710736,40日100_10日0,1.0,验证期2024
1.308619163248121,0.175996478906282,-0.22243119717588467,0.991604677447234,0.8118062106580602,40日100_10日0,1.0,验证期2025-2026-08
2.687557690468868,0.1209350289480331,-0.2688912234382762,0.7065673784138543,0.8261684031741185,40日100_10日0,1.0,全周期
