final_nav,total_return,annualized_return,max_drawdown,sharpe,gross_annualized_return,average_exposure,annual_turnover,period,gate
1.7593139227807144,0.7593139227807144,0.09894180194652935,-0.25168053279891534,0.5962329261250805,0.1289417933161625,0.8901660461186056,8.955452560479277,设计期2018-2023,G0_无门控
0.9547082064757005,-0.04529179352429946,-0.045443739793102456,-0.23390799919377503,-0.05596564511133968,-0.018758657281539803,0.9999999999999991,9.169033628408615,验证期2024,G0_无门控
1.5396013622189881,0.5396013622189881,0.2970455920262012,-0.22696967876249063,1.3341485398506752,0.3380051565837465,1.0000000000000004,10.336819917893092,验证期2025-2026-08,G0_无门控
2.539036840184712,1.5390368401847119,0.11360066723969986,-0.28123395314234967,0.6425950851966526,0.1449381670644445,0.923868662794866,9.227700240516006,全周期,G0_无门控
1.7787521608619041,0.7787521608619041,0.10096035427064987,-0.2516654869721334,0.633975968192382,0.12906501362531553,0.8231775903669588,8.382239650539207,设计期2018-2023,G1_趋势广度下限
0.9236242530847687,-0.0763757469152313,-0.07662771080305253,-0.20884233979246747,-0.2779614717064689,-0.056353850965893626,0.7541322314049576,7.224725274725262,验证期2024,G1_趋势广度下限
1.439922685029708,0.439922685029708,0.24576069917750276,-0.22696967876249063,1.1641474519649473,0.2842556771708631,0.9738769712870574,10.118564467676332,验证期2025-2026-08,G1_趋势广度下限
2.322718950073521,1.3227189500735208,0.1022085171256808,-0.2577167451558432,0.6231859552788093,0.13096915252328234,0.8441209175039689,8.56579455679453,全周期,G1_趋势广度下限
1.931825420703556,0.9318254207035559,0.11624462666771018,-0.23536269280879174,0.7161251283948888,0.14476707567290958,0.8226791880468591,8.390471916025046,设计期2018-2023,G2_市场普跌降仓
0.9344468171535184,-0.0655531828464816,-0.06577072627483993,-0.20884233979246714,-0.20546875565699269,-0.042408609304485645,0.8367768595041309,8.215616414835152,验证期2024,G2_市场普跌降仓
1.4618184217875496,0.4618184217875496,0.25714399606555305,-0.1703059240805207,1.3265703202041248,0.29170506628848725,0.8573573767983568,9.019251464512044,验证期2025-2026-08,G2_市场普跌降仓
2.590971384935564,1.590971384935564,0.11620748961280203,-0.25771674515584386,0.702310105690987,0.14501856868583185,0.830950808674601,8.474901309782192,全周期,G2_市场普跌降仓
1.7582654117707126,0.7582654117707126,0.09883239280311606,-0.2516632583285051,0.6275495537892337,0.12699049986213473,0.8228940949863908,8.414456935293583,设计期2018-2023,G3_残差系统下沉
0.870228975968911,-0.12977102403108898,-0.13018631254594704,-0.23733760142502158,-0.5384956875066197,-0.10890741245476843,0.8367768595041309,8.040015453296691,验证期2024,G3_残差系统下沉
1.6923197084710793,0.6923197084710793,0.3731296750481039,-0.16723051452973692,2.0559779250372454,0.4090541150931619,0.8128538115205396,8.590092037301483,验证期2025-2026-08,G3_残差系统下沉
2.5424188817902276,1.5424188817902276,0.11377185580576477,-0.27831370684281787,0.7014604306903723,0.1422235346217593,0.8225674512073968,8.389054289311336,全周期,G3_残差系统下沉
1.7339313679816017,0.7339313679816017,0.09627780884586845,-0.25167640902503874,0.618909095588597,0.12335924294760625,0.7889253321863825,8.115813838226298,设计期2018-2023,G4_残差离散不足
1.0975959256511403,0.09759592565114028,0.09794697978671496,-0.15200232355589338,0.5420433512280394,0.1237184319912552,0.7871900826446274,7.71872957690601,验证期2024,G4_残差离散不足
1.273213431151929,0.273213431151929,0.15671495066815977,-0.22316174828910162,0.9288066264571456,0.1813231329284637,0.6655419717968889,7.003980807311916,验证期2025-2026-08,G4_残差离散不足
2.3795919831937518,1.3795919831937518,0.10529176004247609,-0.25167640902503874,0.6595223311826508,0.1316598641529505,0.7650702300807353,7.841705595771647,全周期,G4_残差离散不足
1.7787521608619041,0.7787521608619041,0.10096035427064987,-0.2516654869721334,0.633975968192382,0.12906501362531553,0.8231775903669588,8.382239650539207,设计期2018-2023,G5_候选覆盖不足
0.9236242530847687,-0.0763757469152313,-0.07662771080305253,-0.20884233979246747,-0.2779614717064689,-0.056353850965893626,0.7541322314049576,7.224725274725262,验证期2024,G5_候选覆盖不足
1.439922685029708,0.439922685029708,0.24576069917750276,-0.22696967876249063,1.1641474519649473,0.2842556771708631,0.9738769712870574,10.118564467676332,验证期2025-2026-08,G5_候选覆盖不足
2.322718950073521,1.3227189500735208,0.1022085171256808,-0.2577167451558432,0.6231859552788093,0.13096915252328234,0.8441209175039689,8.56579455679453,全周期,G5_候选覆盖不足
1.6292775732508902,0.6292775732508902,0.08493873260214646,-0.251665594878141,0.5460856066425903,0.11283022585333269,0.8237012799580186,8.44092652678583,设计期2018-2023,G6_评分区分不足
