rank,source,variant,name_cn,design_cagr,design_sharpe,design_mdd,recent_cagr,recent_sharpe,recent_mdd,full_cagr,full_sharpe,full_mdd,eligible,candidate_id,n_design_cagr,n_design_sharpe,design_utility,n_recent_cagr,n_recent_sharpe,recent_utility,stability_penalty,raw_utility,constraint_penalty,loss
1,sharpe_frontier,fixed_80_19,固定日配比 进攻80%/防守20%,0.7115492317386074,2.1277081694190296,-0.2971350054278048,0.4562851954421143,1.7667430873985714,-0.2156261341843257,0.6459020067536463,2.047188325725009,-0.2971350054278048,True,sharpe_frontier:fixed_80_19,1.0,0.7661577709826628,0.9415394427456657,0.9970664511820352,0.44920950046427477,0.8601022135025951,0.016287445848614125,0.8763896593512093,0.0,-0.8763896593512093
2,sharpe_frontier,fixed_90_09,固定日配比 进攻90%/防守10%,0.7531512649700376,2.093693631328429,-0.32547431019365,0.4944138091924954,1.7577149496279498,-0.2335570921033831,0.6866130677880455,2.01849886994312,-0.32547431019365,True,sharpe_frontier:fixed_90_09,1.0,0.6757450410063996,0.9189362602515999,1.0,0.4315234953114947,0.8578808738278737,0.012211077284745242,0.8700919511126189,0.0,-0.8700919511126189
3,sharpe_frontier,dd_80_8_15,进攻80%核心+回撤8%/15%降仓,0.603623526096944,2.132477777817073,-0.2144579096011593,0.4526278665823704,1.969178965937885,-0.1889866287902634,0.5654909946763158,2.093822612624586,-0.2144579096011593,True,sharpe_frontier:dd_80_8_15,0.8176702895521137,0.7788356828518818,0.8079616378770558,0.9806831070916612,0.8457787688913058,0.9469570225415723,0.027799076932903313,0.8635597917428623,0.0,-0.8635597917428623
4,sharpe_frontier,baseline3_1,基准3-1强势延持,0.7949001038221106,2.059888900308113,-0.3527974081011958,0.5329092245068139,1.747464407713815,-0.2511695607222294,0.7275286439731601,1.9897519077214896,-0.3527974081011958,True,sharpe_frontier:baseline3_1,1.0,0.5858899911004111,0.8964724977751027,1.0,0.4114428162480766,0.8528607040620192,0.008722358742616709,0.8615830628046358,0.0,-0.8615830628046358
5,public_structures,tail_loss_brake,左尾风险刹车,0.5732758228816994,2.1591456992912814,-0.2492649219809848,0.4589046735399256,1.788375248167026,-0.2023019983405284,0.5445233869682953,2.069502697311296,-0.2492649219809848,True,public_structures:tail_loss_brake,0.7456785177041014,0.8497206549439198,0.771689052014056,1.0,0.49158662369135125,0.8728966559228378,0.020241520781756363,0.8121720935775687,0.0,-0.8121720935775687
6,public_structures,loss_cluster_brake,亏损簇刹车,0.6358044738245454,2.0821938045902164,-0.2458730335322162,0.4391891261575793,1.771991957298978,-0.2052570646592981,0.5857709272994125,2.012455154116008,-0.2458730335322162,True,public_structures:loss_cluster_brake,0.8940109414369163,0.6451777957042165,0.8318026550037414,0.920483022012085,0.45949196872776804,0.8052352586910058,0.0053134792625471276,0.810548737953553,0.0,-0.810548737953553
7,sharpe_frontier,dd_80_12_22,进攻80%核心+回撤12%/22%降仓,0.6411467101498385,2.1146106150644326,-0.2337049472008009,0.4343231012762656,1.7557601435648702,-0.2192594995888847,0.5884158510783193,2.03416245446147,-0.2337049472008009,True,sharpe_frontier:dd_80_12_22,0.906683961729782,0.7313436676114091,0.8628488882001888,0.8986852119052665,0.4276940555108733,0.7809374228066682,0.016382293078704115,0.7973197158853724,0.0,-0.7973197158853724
8,sharpe_frontier,fixed_70_29,固定日配比 进攻70%/防守30%,0.6701282974718779,2.160613998734166,-0.2677471628712791,0.418544028043353,1.7732774509989662,-0.197373271821262,0.6054262886527879,2.074519852588633,-0.2677471628712791,True,sharpe_frontier:fixed_70_29,0.975434990678603,0.853623484983835,0.944982114254911,0.8280013887884904,0.4620102342637505,0.7365036001573054,0.04169570281952111,0.7781993029768266,0.0,-0.7781993029768266
9,sharpe_frontier,dd_80_10_18,进攻80%核心+回撤10%/18%降仓,0.6129389252881667,2.0919774760948893,-0.2172815668507396,0.4137768339865721,1.7889022901287854,-0.214748519314205,0.5622244264229839,2.0237428547600325,-0.2172815668507396,True,sharpe_frontier:dd_80_10_18,0.8397685712076027,0.6711833950621242,0.7976222771712331,0.8066463005333706,0.4926190920794323,0.7281394984198861,0.013896555750269402,0.7420360541701555,0.0,-0.7420360541701555
10,public_structures,drawdown_hysteresis,回撤迟滞恢复,0.5362654818746788,2.069692470650033,-0.2171636557235918,0.4181404019304473,2.0177807177262856,-0.199129866056416,0.5065832429720394,2.05329800759973,-0.2171636557235918,True,public_structures:drawdown_hysteresis,0.657881427858563,0.6119484827890653,0.6463981915911885,0.8261933081522698,0.9409889721915823,0.8548922241620979,0.041698806514181876,0.7297958046195523,0.0,-0.7297958046195523
11,sharpe_frontier,dd_65_8_15,进攻65%核心+回撤8%/15%降仓,0.5655792762604066,2.1790964201260548,-0.1775491566580797,0.3819148741745173,1.8913504332585065,-0.1765267970815781,0.5189373313156835,2.113622249758572,-0.1775491566580797,True,sharpe_frontier:dd_65_8_15,0.7274205288063001,0.9027508954505409,0.7712531204673604,0.6639176942162682,0.6933136797474537,0.6712666905990646,0.019997285973659153,0.6912639765727239,0.0,-0.6912639765727239
12,public_structures,correlation_shock,相关性冲击降集中,0.6353980097229015,2.2070889262439315,-0.2637882050289118,0.380659017900508,1.799429528140713,-0.1528509552597726,0.5697916555148368,2.1165763496805297,-0.2637882050289118,True,public_structures:correlation_shock,0.8930467145673436,0.9771566948253047,0.914074209631834,0.658291969471737,0.5132418152205608,0.6220294309089429,0.05840895574457821,0.6804383866535212,0.0,-0.6804383866535212
13,sharpe_frontier,fixed_60_40,固定日配比 进攻60%/防守40%,0.6289217442331045,2.190328671067304,-0.2372776193337343,0.3812100011390329,1.7752584246715226,-0.1787951076300178,0.565215731447581,2.0984249314844488,-0.2372776193337343,True,sharpe_frontier:fixed_60_40,0.8776835147804677,0.9326069078612291,0.891414363050658,0.66076015002945,0.46589093607297233,0.6120428465403306,0.05587430330206549,0.6679171498423961,0.0,-0.6679171498423961
14,public_structures,downside_vol_target,下行波动目标,0.5113012117586107,2.190580551554981,-0.1974369785363047,0.3656187277196974,1.9863389932204127,-0.1314092428917411,0.4745640578084886,2.142382597704468,-0.1974369785363047,True,public_structures:downside_vol_target,0.5986604045804214,0.9332764216572997,0.6823144088496409,0.5909175936086518,0.8793950404471322,0.663036955318272,0.0038554907062737787,0.6668924460245458,0.0,-0.6668924460245458
15,sharpe_frontier,voltarget_80_26,进攻80%核心+目标波动26%,0.5096081695791661,1.9374506286876,-0.2817191334566101,0.4529678109637765,1.8597190922949456,-0.1821521631215348,0.4953386635233117,1.919607348927783,-0.2817191334566101,True,sharpe_frontier:voltarget_80_26,0.594644116907936,0.2604415501631861,0.5110934752217485,0.982205919500867,0.6313482918142607,0.8944915125792154,0.07667960747149338,0.6644526901647353,0.0,-0.6644526901647353
16,sharpe_frontier,voltarget_65_26,进攻65%核心+目标波动26%,0.4909363269384417,2.019458129554185,-0.2517207520520701,0.4143183099764955,1.8882403523586084,-0.165571999721792,0.4717360265000203,1.989315257497034,-0.2517207520520701,True,sharpe_frontier:voltarget_65_26,0.5503501871222454,0.4784225208919231,0.5323682705646648,0.8090718924885365,0.6872210714799823,0.7786091872363979,0.04924818333434662,0.6308646372333581,0.0,-0.6308646372333581
17,sharpe_frontier,dd_65_12_22,进攻65%核心+回撤12%/22%降仓,0.6062677561117642,2.156312596242796,-0.2157406011447079,0.3753030161852333,1.735719805714322,-0.1952070174587848,0.5470609322683226,2.0632495120837144,-0.2157406011447079,True,sharpe_frontier:dd_65_12_22,0.8239430147923216,0.8421900931519183,0.8285047843822207,0.6342992626588957,0.388435292796639,0.5728332701933315,0.05113430283777785,0.6239675730311093,0.0,-0.6239675730311093
18,public_structures,hybrid_downside_trend,下行风险与趋势联合,0.4794840901226862,2.176936484589619,-0.1685658643728041,0.3505847391002354,1.93417262763951,-0.1478301167808475,0.4470775989057798,2.121505328320316,-0.1685658643728041,True,public_structures:hybrid_downside_trend,0.5231828323428195,0.8970096542229888,0.6166395378128618,0.5235714461745212,0.7772018048201873,0.5869790358359377,0.005932100395384832,0.5929111362313225,0.0,-0.5929111362313225
19,sharpe_frontier,voltarget_65_22,进攻65%核心+目标波动22%,0.4434469660499587,1.9884243268128463,-0.2422568218726501,0.4066611302970042,1.940789738185145,-0.1474235678261808,0.4341160414623612,1.9775713265287576,-0.2422568218726501,True,sharpe_frontier:voltarget_65_22,0.43769443818325493,0.3959327684244444,0.4272540207435523,0.7747708453960115,0.7901646388154158,0.7786192937508625,0.07027305460146203,0.5678001299464763,0.0,-0.5678001299464763
20,sharpe_frontier,fixed_50_50,固定日配比 进攻50%/防守50%,0.5879618077650857,2.2137003456142885,-0.2056923643440773,0.3443018516408118,1.769396261644765,-0.1598882635488887,0.5252991163437533,2.1157377455420923,-0.2056923643440773,True,sharpe_frontier:fixed_50_50,0.780517070908253,0.9947302533049098,0.8340703665074172,0.49542666863979296,0.45440703450524794,0.4851717601061567,0.0697797212802521,0.5549514813864088,0.0,-0.5549514813864088
21,sharpe_frontier,voltarget_80_22,进攻80%核心+目标波动22%,0.4474846669562291,1.8987247894769408,-0.2566538756188959,0.4257534753131513,1.8879583772449984,-0.1623992622060718,0.4418085558524967,1.89654013172541,-0.2566538756188959,True,sharpe_frontier:voltarget_80_22,0.44727279870606096,0.1575058926413494,0.3748310721898831,0.8602967769945113,0.6866686858785473,0.8168897542155203,0.08841173640512745,0.551654545000138,0.0,-0.551654545000138
22,public_structures,conditional_vol_extremes,条件波动极端管理,0.4344627721188678,2.187564804324312,-0.1900349145705291,0.3283030222975869,2.03129741596058,-0.1063571563153676,0.4078788400183599,2.149971280185086,-0.1900349145705291,True,public_structures:conditional_vol_extremes,0.4163818520169156,0.9252603804187896,0.5436014841173841,0.4237584276297185,0.9674680092526047,0.55968582303544,0.003216867783611188,0.5500352196846064,0.0,-0.5500352196846064
23,sharpe_frontier,voltarget_50_26,进攻50%核心+目标波动26%,0.4593537111817041,2.0895461815511167,-0.2055699095596731,0.3542039282441303,1.8638753543234972,-0.1457063626657407,0.433011023952484,2.038172369387224,-0.2055699095596731,True,sharpe_frontier:voltarget_50_26,0.4754289170743576,0.6647208649377003,0.5227519040401933,0.5397839398677265,0.6394903553849417,0.5647105437470303,0.0083917279413674,0.5395353599229281,0.0,-0.5395353599229281
24,sharpe_frontier,dd_50_12_22,进攻50%核心+回撤12%/22%降仓,0.5565041314411867,2.1916384716119928,-0.2057612101888336,0.3399644071931997,1.781020578764232,-0.1533228414810694,0.501124410581733,2.100638887817949,-0.2057612101888336,True,sharpe_frontier:dd_50_12_22,0.7058921860951866,0.936088438101454,0.7634412490967534,0.4759966836471152,0.4771789214320784,0.47629224309335605,0.05742980120067947,0.5337220442940356,0.0,-0.5337220442940356
25,sharpe_frontier,voltarget_50_22,进攻50%核心+目标波动22%,0.4243854680898848,2.07235534023241,-0.205569909559673,0.3649751179576623,1.950908690111101,-0.1314155065616253,0.4095170920692621,2.044446973164767,-0.205569909559673,True,sharpe_frontier:voltarget_50_22,0.39247615584768564,0.6190265535796253,0.44911375528067055,0.5880344839415372,0.8099875347935381,0.6435227466545375,0.03888179827477339,0.5268773518302173,0.0,-0.5268773518302173
26,sharpe_frontier,dd_65_10_18,进攻65%核心+回撤10%/18%降仓,0.5788183653676109,2.1516431505613163,-0.2074402017919203,0.3521480859649255,1.671681364459457,-0.2087623356217254,0.520738719186238,2.0456796093273346,-0.2087623356217248,True,sharpe_frontier:dd_65_10_18,0.7588267105433939,0.8297784199310756,0.7765646378903144,0.5305746035604332,0.2629848144382918,0.4636771562798978,0.06257749632208331,0.5262546526019811,0.0,-0.5262546526019811
27,sharpe_frontier,voltarget_50_18,进攻50%核心+目标波动18%,0.3727680132990678,2.029828964194189,-0.2002804295276081,0.3578939019662428,2.045071064088846,-0.1155353916609466,0.3688314736332119,2.033599245765901,-0.2002804295276081,True,sharpe_frontier:voltarget_50_18,0.2700276132901417,0.5059888359022183,0.32901791894316085,0.5563135196490868,0.9944504078333825,0.6658477416951607,0.06736596455039998,0.4637498480439608,0.0,-0.4637498480439608
28,public_structures,dual_horizon_trend,双周期趋势敞口,0.4552242036946075,2.145305597341108,-0.1627615901851764,0.3073947229232991,1.9249562198370729,-0.1466955344247292,0.4179383519740451,2.0923753792802287,-0.1627615901851764,True,public_structures:dual_horizon_trend,0.46563277010576654,0.8129328144878192,0.5524577812012796,0.3300977599320655,0.7591469811095385,0.4373600652264338,0.023019543194969173,0.46037960842140296,0.0,-0.46037960842140296
29,sharpe_frontier,dd_50_10_18,进攻50%核心+回撤10%/18%降仓,0.5471502193592295,2.186861196488709,-0.1865117639745088,0.3195088857136023,1.7194682146921787,-0.1711090244854286,0.4887727816256297,2.0843047799811343,-0.1865117639745088,True,sharpe_frontier:dd_50_10_18,0.6837025429543389,0.9233901476059806,0.7436244441172494,0.38436427655432,0.3565986361282163,0.37742286644779405,0.07324031553389107,0.4506631819816851,0.0,-0.4506631819816851
30,sharpe_frontier,fixed_40_60,固定日配比 进攻40%/防守60%,0.5472796454340156,2.226183590378912,-0.1866799977759388,0.3078373545719515,1.750556785406196,-0.1406493824250066,0.4857041635846015,2.121826629102609,-0.1866799977759388,True,sharpe_frontier:fixed_40_60,0.6840095715416789,1.0,0.7630071786562591,0.33208056948604947,0.41750074416093647,0.35343561315477123,0.08191431310029758,0.4353499262550688,0.0,-0.4353499262550688
31,sharpe_frontier,voltarget_65_18,进攻65%核心+目标波动18%,0.3755431653926129,1.930439504312264,-0.2167010568316343,0.3711072507012578,1.9752045648814929,-0.1294228178830615,0.3741151175128974,1.9412357196031087,-0.2167010568316343,True,sharpe_frontier:voltarget_65_18,0.27661091598507753,0.24180555124740397,0.26790957480065913,0.6155039417340774,0.8575828393068036,0.676023666127259,0.08162281826531997,0.431155211331299,0.0,-0.431155211331299
32,sharpe_frontier,dd_50_8_15,进攻50%核心+回撤8%/15%降仓,0.5206909746046768,2.1973058545993958,-0.1751766941700603,0.3098605143618358,1.7312150313995918,-0.1711229751230177,0.4668088112771043,2.094890674911377,-0.1751766941700603,True,sharpe_frontier:dd_50_8_15,0.6209350940264871,0.9511526899324595,0.7034894930029801,0.3411435015489334,0.3796104981638314,0.3507602507026579,0.07054584846006444,0.4213060991627224,0.0,-0.4213060991627224
33,public_structures,ewma_vol_target,EWMA波动目标,0.3628396839353329,2.009779636128358,-0.1937017597114098,0.3456103919458548,1.993314376471878,-0.1187940836310291,0.3583451183899484,2.006318446809889,-0.1937017597114098,True,public_structures:ewma_vol_target,0.2464753194866726,0.4526964913231682,0.2980306124457965,0.5012883963913258,0.8930597260403755,0.5992312288035883,0.06024012327155836,0.4185108589889132,0.0,-0.4185108589889132
