symbol,exchange,raw_exists,qfq_exists,issues,raw_rows,raw_first,raw_last,qfq_rows,qfq_first,qfq_last,trade_days,suspended_days,st_days,issue_count
000069.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000070.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,281,0
000078.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,92,0
000088.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,16,0,0
000089.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000090.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,5,0,0
000096.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000099.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000100.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,0,0
000150.SZ,SZ,True,True,,1320,2018-01-02,2023-06-09,1320,2018-01-02,2023-06-09,1320,30,268,0
000151.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000153.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000155.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,0,0
000156.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,124,0,0
000157.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000158.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,9,0,0
000159.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000166.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000301.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,25,0,0
