strategy,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,sharpe,closed_trades,win_rate,mean_trade_return
baseline1-2,2020-01-02,2026-07-31,1000000.0,2958965.377374342,1.958965377374342,0.1793477951433029,-0.39538964418193145,0.7316629851602646,1608,0.39987562189054726,0.007696014219786339
baseline3-1,2020-01-02,2026-07-31,1000000.0,1542365.2879566436,0.5423652879566436,0.06810979906533565,-0.4215927987435085,0.3793961056166838,1528,0.38612565445026176,0.003723933299142895
baseline2-2,2020-01-02,2026-07-31,1000000.0,2157227.691662312,1.157227691662312,0.12401597860328217,-0.39109700364269906,0.6125901070424645,1399,0.4174410293066476,0.008693822560677793
