year,pool_a_mean,pool_a_min,pool_a_max,pool_b_mean,pool_b_min,pool_b_max,pool_c_mean,pool_c_min,pool_c_max
2018,2597.2098765432097,2442,2740,130.05349794238683,0,351,62.818930041152264,0,172
2019,2737.2090163934427,2708,2756,357.7049180327869,77,830,169.6639344262295,29,345
2020,2757.0041152263375,2716,2817,561.551440329218,190,985,287.0946502057613,98,484
2021,2907.2427983539096,2819,2976,573.0658436213992,394,846,269.02880658436214,183,401
2022,3011.3347107438017,2967,3057,750.1404958677685,442,1051,365.07851239669424,179,551
2023,3076.6528925619837,3047,3099,641.599173553719,487,810,356.94214876033055,264,469
2024,3078.7355371900826,3050,3109,523.9710743801653,12,1267,260.10743801652893,1,653
2025,3054.9794238683126,3018,3079,993.6172839506173,567,1420,545.6131687242798,293,806
2026,3043.284023668639,2994,3064,1167.473372781065,843,1502,632.6686390532544,425,828
