core,stable,trend,annualized_return,max_drawdown,sharpe
0.0,0.0,1.0,0.08588132892345524,-0.23719988247386758,0.5697530898941748
0.0,0.05,0.95,0.08557545504102904,-0.23055961486764565,0.5716404048802086
0.0,0.1,0.9,0.08525149444254554,-0.22387038609408672,0.5732851256813828
0.0,0.15000000000000002,0.85,0.08490947040660513,-0.21756469288237223,0.5746711553832345
0.0,0.2,0.8,0.08454940705227298,-0.21123543172332038,0.5757827361401008
0.0,0.25,0.75,0.08417132933671545,-0.20632313356923482,0.5766046254234802
0.0,0.30000000000000004,0.7,0.08377526305277705,-0.20462637966357433,0.5771222809198713
0.0,0.35000000000000003,0.65,0.08336123482650382,-0.20292977889607078,0.5773220509531385
0.0,0.4,0.6,0.08292927211459311,-0.2012333465202384,0.5771913667663329
0.0,0.45,0.55,0.08247940320179858,-0.1996227503751823,0.576718932532625
0.0,0.5,0.5,0.08201165719826231,-0.19830433514718104,0.5758949086088281
0.0,0.55,0.45,0.08152606403679896,-0.19698652762175595,0.5747110833304704
0.0,0.6000000000000001,0.4,0.08102265447011758,-0.19566933713436463,0.5731610286025672
0.0,0.65,0.35,0.0805014600679792,-0.19435277302860898,0.5712402346859015
0.0,0.7000000000000001,0.3,0.07996251321430514,-0.19303684465614468,0.5689462199255654
0.0,0.75,0.25,0.07940584710422272,-0.19172156137657748,0.5662786117157084
0.0,0.8,0.2,0.07883149574105608,-0.1904069325573725,0.5632391957277223
0.0,0.8500000000000001,0.15,0.0782394939332558,-0.19315887582504887,0.5598319313213196
0.0,0.9,0.1,0.0776298772912738,-0.19791115771116818,0.556062932069986
0.0,0.9500000000000001,0.05,0.0770026822243901,-0.20264445268295994,0.5519404114154817
0.0,1.0,0.0,0.07635794593746548,-0.20735876415825605,0.5474745945656131
0.05,0.0,0.95,0.08789982746692515,-0.23519988627973742,0.5824086210191899
0.05,0.05,0.9,0.08758841521741934,-0.22854369790761953,0.5843548123878455
0.05,0.1,0.85,0.08725888720957764,-0.221838446122402,0.5860493234541653
0.05,0.15000000000000002,0.8,0.08691126699804541,-0.21528660969622393,0.5874755826262409
0.05,0.2,0.75,0.08654557897895243,-0.20901373720652472,0.5886174005045253
0.05,0.25,0.7,0.08616184838752816,-0.20731832063820255,0.5894591545526642
0.05,0.30000000000000004,0.65,0.08576010129565392,-0.2056230394509213,0.589985982154195
0.05,0.35000000000000003,0.6,0.08534036460936267,-0.20392790885221146,0.5901839786787312
0.05,0.4,0.55,0.08490266606627639,-0.20223294407782255,0.590040396631029
0.05,0.45,0.5,0.08444703423297861,-0.20053816039153638,0.5895438414922473
0.05,0.5,0.45,0.0839734985023346,-0.19913826711584093,0.5886844595205324
0.05,0.55,0.4,0.08348208909074928,-0.1978214400307441,0.5874541125911499
0.05,0.6000000000000001,0.35,0.08297283703536351,-0.19650522817636684,0.5858465351526521
0.05,0.65,0.3,0.08244577419119925,-0.19518964088713275,0.5838574685746233
0.05,0.7000000000000001,0.25,0.08190093322823833,-0.1938746875055234,0.5814847685729865
0.05,0.75,0.2,0.08133834762845371,-0.19256037738197807,0.5787284820164038
0.05,0.8,0.15,0.08075805168276728,-0.1912467198747948,0.5755908902239163
