日期,总资产,现金,证券,数量,持仓,收盘价, 收益
,,,联明股份(603006.SH),70100,773203.00,11.03,-201527.33
,,,永兴股份(601033.SH),33200,485716.00,14.63,16408.12
,,,联德股份(605060.SH),21400,934110.00,43.65,161937.62
,,,东宏股份(603856.SH),25600,298752.00,11.67,-51491.92
,,,江南水务(601199.SH),31900,192676.00,6.04,15543.42
,,,物产环能(603071.SH),500,6335.00,12.67,797.29
,,,热威股份(603075.SH),39900,772863.00,19.37,-342508.13
2026-08-28,32101285.76,7466.76,,,,,
,,,明阳智能(601615.SH),179900,1906940.00,10.6,-110772.29
,,,联明股份(603006.SH),70100,766193.00,10.93,-208537.33
,,,金富科技(003018.SZ),29300,1315277.00,44.89,346152.55
,,,亚翔集成(603929.SH),7400,1218632.00,164.68,120912.38
,,,建业股份(603948.SH),9500,191330.00,20.14,-37194.54
,,,三人行(605168.SH),35900,1698429.00,47.31,397298.49
,,,四川成渝(601107.SH),66400,389104.00,5.86,26236.86
,,,华旺科技(605377.SH),26000,212680.00,8.18,-31761.07
,,,圣晖集成(603163.SH),13600,1103776.00,81.16,111418.22
,,,宏昌电子(603002.SH),89100,1574397.00,17.67,493806.70
,,,凤凰传媒(601928.SH),17200,145684.00,8.47,530.38
,,,长城科技(603897.SH),39300,1231662.00,31.34,261870.02
,,,物产环能(603071.SH),500,6335.00,12.67,797.29
,,,圣泉集团(605589.SH),34200,1366632.00,39.96,208698.17
,,,行动教育(605098.SH),10500,593775.00,56.55,18336.82
,,,舒华体育(605299.SH),70500,917910.00,13.02,105294.79
,,,永兴股份(601033.SH),33200,477748.00,14.39,8440.12
,,,南京医药(600713.SH),28800,152352.00,5.29,8020.71
,,,东宏股份(603856.SH),25600,294144.00,11.49,-56099.92
,,,奥海科技(002993.SZ),27400,1036542.00,37.83,92362.81
,,,环旭电子(601231.SH),64100,1730059.00,26.99,344883.58
,,,江南水务(601199.SH),31900,196823.00,6.17,19690.42
,,,中天科技(600522.SH),38700,1356048.00,35.04,264136.71
,,,热威股份(603075.SH),39900,771666.00,19.34,-343705.13
,,,渤海轮渡(603167.SH),186000,1514040.00,8.14,-166655.79
,,,海星股份(603115.SH),14000,1054060.00,75.29,101694.02
,,,江河集团(601886.SH),119900,1547909.00,12.91,529966.31
,,,恒盛能源(605580.SH),26300,472085.00,17.95,32918.97
,,,方盛制药(603998.SH),17400,182700.00,10.5,25216.53
,,,建研院(603183.SH),19500,93210.00,4.78,7735.12
,,,富安娜(002327.SZ),42900,272844.00,6.36,-16269.85
,,,四方股份(601126.SH),29500,1243130.00,42.14,104767.09
,,,轻纺城(600790.SH),4300,14749.00,3.43,-2879.65
,,,柳药集团(603368.SH),5300,84376.00,15.92,6074.27
,,,通达股份(002560.SZ),151300,927469.00,6.13,-5166.70
,,,中创物流(603967.SH),57300,672129.00,11.73,-101342.95
,,,镇洋发展(603213.SH),14600,204400.00,14,-11445.43
,,,宁波高发(603788.SH),32000,438720.00,13.71,-63548.02
,,,咸亨国际(605056.SH),38700,539478.00,13.94,16601.83
,,,中材科技(002080.SZ),21800,1142538.00,52.41,207351.45
,,,联德股份(605060.SH),21400,905434.00,42.31,133261.62
,,,中国国贸(600007.SH),6900,130410.00,18.9,-8716.97
2026-08-27,32352200.76,7466.76,,,,,
,,,明阳智能(601615.SH),179900,1951915.00,10.85,-65797.29
,,,富安娜(002327.SZ),42900,270270.00,6.3,-18843.85
,,,宏昌电子(603002.SH),89100,1506681.00,16.91,426090.70
,,,咸亨国际(605056.SH),38700,546057.00,14.11,23180.83
,,,行动教育(605098.SH),10500,587790.00,55.98,12351.82
,,,圣泉集团(605589.SH),34200,1372104.00,40.12,214170.17
,,,凤凰传媒(601928.SH),17200,145340.00,8.45,186.38
,,,中材科技(002080.SZ),21800,1144064.00,52.48,208877.45
,,,方盛制药(603998.SH),17400,179568.00,10.32,22084.53
,,,亚翔集成(603929.SH),7400,1243644.00,168.06,145924.38
,,,环旭电子(601231.SH),64100,1765955.00,27.55,380779.58
,,,四川成渝(601107.SH),66400,389104.00,5.86,26236.86
,,,恒盛能源(605580.SH),26300,483920.00,18.4,44753.97
,,,永兴股份(601033.SH),33200,475424.00,14.32,6116.12
,,,四方股份(601126.SH),29500,1274990.00,43.22,136627.09
,,,海星股份(603115.SH),14000,1088780.00,77.77,136414.02
,,,金富科技(003018.SZ),29300,1378565.00,47.05,409440.55
,,,宁波高发(603788.SH),32000,437120.00,13.66,-65148.02
,,,建研院(603183.SH),19500,91455.00,4.69,5980.12
,,,柳药集团(603368.SH),5300,84694.00,15.98,6392.27
,,,建业股份(603948.SH),9500,189050.00,19.9,-39474.54
,,,中创物流(603967.SH),57300,677286.00,11.82,-96185.95
,,,物产环能(603071.SH),500,6330.00,12.66,792.29
,,,舒华体育(605299.SH),70500,908745.00,12.89,96129.79
,,,江南水务(601199.SH),31900,198737.00,6.23,21604.42
,,,联德股份(605060.SH),21400,937320.00,43.8,165147.62
,,,江河集团(601886.SH),119900,1597068.00,13.32,579125.31
,,,南京医药(600713.SH),28800,152064.00,5.28,7732.71
,,,中天科技(600522.SH),38700,1396296.00,36.08,304384.71
,,,通达股份(002560.SZ),151300,932008.00,6.16,-627.70
,,,圣晖集成(603163.SH),13600,1091808.00,80.28,99450.22
,,,长城科技(603897.SH),39300,1197471.00,30.47,227679.02
,,,轻纺城(600790.SH),4300,14534.00,3.38,-3094.65
,,,渤海轮渡(603167.SH),186000,1510320.00,8.12,-170375.79
,,,镇洋发展(603213.SH),14600,203816.00,13.96,-12029.43
,,,热威股份(603075.SH),39900,776454.00,19.46,-338917.13
,,,奥海科技(002993.SZ),27400,1068874.00,39.01,124694.81
,,,三人行(605168.SH),35900,1672222.00,46.58,371091.49
