日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2025-11-03,09:31:00,603648.SH,畅联股份,卖出,10.888,-14400,-156789.79,47.04,156.79
2025-11-03,09:31:00,603095.SH,越剑智能,卖出,15.669,-30200,-473191.72,141.96,473.19
2025-11-03,09:31:00,603183.SH,建研院,买入,4.639,59800,277427.75,83.23,0.00
2025-11-03,09:31:00,605056.SH,咸亨国际,买入,16.473,3000,49418.64,14.83,0.00
2025-11-03,09:31:00,603600.SH,永艺股份,买入,11.503,57500,661420.20,198.43,0.00
2025-11-03,09:31:00,603889.SH,新澳股份,卖出,7.984,-70400,-562073.60,168.62,562.07
2025-11-03,09:31:00,603566.SH,普莱柯,买入,14.028,25300,354908.40,106.47,0.00
2025-11-03,09:31:00,603132.SH,金徽股份,卖出,13.742,-24000,-329819.04,98.95,329.82
2025-11-03,09:31:00,601886.SH,江河集团,买入,7.766,35900,278781.45,83.63,0.00
2025-11-03,09:31:00,601339.SH,百隆东方,卖出,5.329,-62900,-335214.23,100.56,335.21
2025-11-03,09:31:00,603217.SH,元利科技,卖出,25.948,-5300,-137524.40,41.26,137.52
2025-11-03,09:31:00,605507.SH,国邦医药,卖出,22.834,-15600,-356214.14,106.86,356.21
2025-11-03,09:31:00,605389.SH,长龄液压,卖出,67.864,-11700,-794008.80,238.20,794.01
2025-11-03,09:31:00,605368.SH,蓝天燃气,买入,9.539,24100,229890.86,68.97,0.00
2025-11-03,09:31:00,605338.SH,巴比食品,买入,25.070,20200,506414.81,151.92,0.00
2025-11-03,09:31:00,605365.SH,立达信,买入,18.407,55300,1017892.72,305.37,0.00
2025-11-03,09:31:00,603886.SH,元祖股份,卖出,12.275,-8700,-106795.98,32.04,106.80
2025-11-03,09:31:00,601326.SH,秦港股份,卖出,3.772,-55800,-210502.15,63.15,210.50
2025-11-03,09:31:00,600997.SH,开滦股份,卖出,6.527,-89700,-585464.72,175.64,585.46
2025-11-03,09:31:00,603689.SH,皖天然气,买入,8.888,47500,422167.65,126.65,0.00
2025-11-03,09:31:00,605089.SH,味知香,卖出,26.168,-4300,-112520.51,33.76,112.52
2025-11-03,09:31:00,605098.SH,行动教育,买入,41.062,11100,455787.76,136.74,0.00
2025-11-03,09:31:00,603170.SH,宝立食品,卖出,14.970,-40600,-607782.00,182.33,607.78
2025-11-03,09:31:00,603020.SH,爱普股份,卖出,11.497,-43600,-501267.46,150.38,501.27
2025-11-03,09:31:00,605268.SH,王力安防,卖出,10.379,-9400,-97564.48,29.27,97.56
2025-10-09,09:31:00,600997.SH,开滦股份,买入,6.804,89700,610281.13,183.08,0.00
2025-10-09,09:31:00,605077.SH,华康股份,买入,18.868,11000,207544.26,62.26,0.00
2025-10-09,09:31:00,605389.SH,长龄液压,买入,61.122,11700,715127.40,214.54,0.00
2025-10-09,09:31:00,605056.SH,咸亨国际,买入,16.333,53700,877060.62,263.12,0.00
2025-10-09,09:31:00,605155.SH,西大门,买入,16.533,34000,562122.00,168.64,0.00
2025-10-09,09:31:00,605098.SH,行动教育,买入,37.194,6700,249201.41,74.76,0.00
2025-10-09,09:31:00,605268.SH,王力安防,卖出,9.970,-21800,-217346.44,65.20,217.35
2025-10-09,09:31:00,601339.SH,百隆东方,买入,5.371,62900,337818.29,101.35,0.00
2025-10-09,09:31:00,603301.SH,振德医疗,卖出,46.906,-39400,-1848096.40,554.43,1848.10
2025-10-09,09:31:00,603788.SH,宁波高发,买入,17.966,38500,691685.61,207.51,0.00
2025-10-09,09:31:00,603566.SH,普莱柯,卖出,13.723,-20700,-284055.75,85.22,284.06
2025-10-09,09:31:00,605266.SH,健之佳,卖出,20.459,-7300,-149350.70,44.81,149.35
2025-10-09,09:31:00,605001.SH,威奥股份,买入,7.615,29600,225409.92,67.62,0.00
2025-10-09,09:31:00,603080.SH,新疆火炬,卖出,23.972,-6000,-143831.76,43.15,143.83
2025-10-09,09:31:00,603043.SH,广州酒家,卖出,15.968,-24600,-392812.80,117.84,392.81
2025-10-09,09:31:00,603886.SH,元祖股份,卖出,12.006,-17300,-207702.76,62.31,207.70
2025-10-09,09:31:00,605580.SH,恒盛能源,卖出,27.844,-30800,-857601.36,257.28,857.60
2025-10-09,09:31:00,605258.SH,协和电子,买入,33.878,11200,379429.34,113.83,0.00
2025-10-09,09:31:00,605089.SH,味知香,卖出,25.958,-10200,-264771.40,79.43,264.77
2025-10-09,09:31:00,603217.SH,元利科技,买入,22.976,10000,229758.60,68.93,0.00
2025-10-09,09:31:00,603132.SH,金徽股份,卖出,14.671,-3700,-54281.22,16.28,54.28
2025-10-09,09:31:00,605368.SH,蓝天燃气,买入,9.669,32300,312318.39,93.70,0.00
2025-10-09,09:31:00,603213.SH,镇洋发展,卖出,13.553,-2900,-39303.24,11.79,39.30
2025-10-09,09:31:00,603558.SH,健盛集团,买入,9.990,31300,312685.12,93.81,0.00
2025-10-09,09:31:00,603889.SH,新澳股份,买入,7.104,163800,1163664.68,349.10,0.00
2025-10-09,09:31:00,603095.SH,越剑智能,买入,15.792,30200,476903.90,143.07,0.00
2025-10-09,09:31:00,605365.SH,立达信,卖出,15.369,-11800,-181356.56,54.41,181.36
2025-10-09,09:31:00,605058.SH,澳弘电子,卖出,29.571,-19800,-585500.65,175.65,585.50
2025-10-09,09:31:00,603170.SH,宝立食品,买入,14.409,9600,138324.10,41.50,0.00
2025-10-09,09:31:00,605507.SH,国邦医药,买入,22.765,19800,450755.71,135.23,0.00
2025-10-09,09:31:00,605338.SH,巴比食品,买入,23.146,14000,324046.80,97.21,0.00
2025-10-09,09:31:00,601326.SH,秦港股份,卖出,3.393,-131300,-445527.16,133.66,445.53
2025-10-09,09:31:00,603648.SH,畅联股份,卖出,10.878,-15500,-168612.10,50.58,168.61
2025-10-09,09:31:00,603116.SH,红蜻蜓,卖出,5.758,-23100,-133020.43,39.91,133.02
