variant,name,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate,mean_trade_return
baseline2-1,基准2-1：温度进攻,2020-01-01,2026-07-31,1000000.0,17373021.174379505,16.373021174379506,0.5436058506698527,-0.3035264131749914,679,0.48600883652430044,0.05751838620690799
baseline2-2,基准2-2：升温防守,2020-01-01,2026-07-31,1000000.0,6557780.81202762,5.55778081202762,0.3310571203107102,-0.14553802082981804,316,0.5221518987341772,0.08378791340761192
