variant,name,start_year,start,end,initial_cash,final_equity,total_return,annualized_return,max_drawdown,closed_trades,win_rate,mean_trade_return
baseline2-1,基准2-1：温度进攻,2020,2020-01-01,2026-07-31,1000000.0,17373021.174379505,16.373021174379506,0.5436058506698527,-0.3035264131749914,679,0.48600883652430044,0.05751838620690799
baseline2-1,基准2-1：温度进攻,2021,2021-01-01,2026-07-31,1000000.0,9127095.490697078,8.127095490697078,0.4874730476275366,-0.3035294378158343,632,0.46835443037974683,0.050553852139982855
baseline2-1,基准2-1：温度进攻,2022,2022-01-01,2026-07-31,1000000.0,5107198.042917969,4.107198042917969,0.4288323178820381,-0.30352838274199634,549,0.4444444444444444,0.045215308866912426
baseline2-1,基准2-1：温度进攻,2023,2023-01-01,2026-07-31,1000000.0,3559126.1495445883,2.5591261495445883,0.42663466991417964,-0.30352042202649065,421,0.44655581947743467,0.04573414321375445
baseline2-1,基准2-1：温度进攻,2024,2024-01-01,2026-07-31,1000000.0,2496959.144004577,1.4969591440045766,0.4264468949893361,-0.303514890015979,329,0.42857142857142855,0.04677301456236643
baseline2-1,基准2-1：温度进攻,2025,2025-01-01,2026-07-31,1000000.0,1434545.7433338836,0.4345457433338835,0.25761501265537534,-0.30372885758834733,156,0.4230769230769231,0.027194419970026643
baseline2-1,基准2-1：温度进攻,2026,2026-01-01,2026-07-31,1000000.0,802472.5673018467,-0.19752743269815332,-0.3217844056161543,-0.2631550679526894,87,0.26436781609195403,-0.029821468259289878
baseline2-2,基准2-2：升温防守,2020,2020-01-01,2026-07-31,1000000.0,6557780.81202762,5.55778081202762,0.3310571203107102,-0.14553802082981804,316,0.5221518987341772,0.08378791340761192
baseline2-2,基准2-2：升温防守,2021,2021-01-01,2026-07-31,1000000.0,5693491.248652302,4.693491248652302,0.36661146946038903,-0.14555503356413724,303,0.5181518151815182,0.08250584868278012
baseline2-2,基准2-2：升温防守,2022,2022-01-01,2026-07-31,1000000.0,4271630.756029029,3.2716307560290296,0.37404643109518987,-0.14553340097662004,265,0.5169811320754717,0.08194299914667344
baseline2-2,基准2-2：升温防守,2023,2023-01-01,2026-07-31,1000000.0,3021323.1240827893,2.021323124082789,0.362699240353314,-0.13654397366245274,207,0.5120772946859904,0.08121339718411512
baseline2-2,基准2-2：升温防守,2024,2024-01-01,2026-07-31,1000000.0,2559157.5957034365,1.5591575957034367,0.4401350859980657,-0.1365392372007006,174,0.5114942528735632,0.08623345715158967
baseline2-2,基准2-2：升温防守,2025,2025-01-01,2026-07-31,1000000.0,1274858.0177196648,0.2748580177196649,0.16678592602893727,-0.10678894003664641,81,0.43209876543209874,0.03052822747086472
baseline2-2,基准2-2：升温防守,2026,2026-01-01,2026-07-31,1000000.0,995917.5147375435,-0.00408248526245647,-0.007192270859508354,-0.10677713170182601,42,0.30952380952380953,-0.003242040089257227
