rank,variant,name_cn,design_cagr,design_sharpe,design_mdd,design_vol,design_final,recent_cagr,recent_sharpe,recent_mdd,recent_vol,recent_final,full_cagr,full_sharpe,full_mdd,full_vol,full_final,eligible,robust_sharpe
1,conditional_vol_extremes,条件波动极端管理,0.43446277211886786,2.187564804324312,-0.19003491457052912,0.17866940214532837,6066108.426454817,0.3283030222975869,2.03129741596058,-0.10635715631536768,0.15079382507439293,1563515.9159089364,0.40787884001835994,2.149971280185086,-0.19003491457052912,0.1723697854103168,9484457.072391396,True,2.03129741596058
2,drawdown_hysteresis,回撤迟滞恢复,0.5362654818746788,2.069692470650033,-0.21716365572359186,0.22805345017039091,8544629.11778419,0.4181404019304473,2.0177807177262856,-0.19912986605641603,0.18867710336310176,1733189.9121238491,0.5065832429720394,2.05329800759973,-0.21716365572359186,0.21921933509202182,14809464.98978328,True,2.0177807177262856
3,ewma_vol_target,EWMA波动目标,0.36283968393533295,2.009779636128358,-0.1937017597114098,0.16700179691817815,4696385.552991377,0.34561039194585486,1.9933143764718781,-0.11879408363102917,0.1612339323682986,1595706.7792381484,0.3583451183899484,2.006318446809889,-0.1937017597114098,0.16558815051880907,7494054.264824433,True,1.9933143764718781
4,downside_vol_target,下行波动目标,0.5113012117586107,2.1905805515549814,-0.1974369785363047,0.20538948948003488,7873020.048668215,0.3656187277196974,1.9863389932204127,-0.13140924289174116,0.17027886692278357,1633218.6503031582,0.47456405780848865,2.1423825977044677,-0.1974369785363047,0.19751640073426557,12858363.177695611,True,1.9863389932204127
5,hybrid_downside_trend,下行风险与趋势联合,0.4794840901226862,2.176936484589619,-0.16856586437280419,0.19568555760241385,7078957.835622834,0.35058473910023547,1.93417262763951,-0.14783011678084756,0.1687912168003674,1605003.0328603946,0.4470775989057798,2.1215053283203154,-0.16856586437280419,0.18955611661224547,11361748.795665521,True,1.93417262763951
6,dual_horizon_trend,双周期趋势敞口,0.4552242036946075,2.1453055973411077,-0.16276159018517644,0.19005182634998347,6517663.730183775,0.30739472292329917,1.9249562198370727,-0.14669553442472927,0.15053990363771597,1524947.6826615166,0.41793835197404516,2.0923753792802287,-0.16276159018517644,0.18135173938935573,9939096.201710802,True,1.9249562198370727
7,core_trend_filter,组合净值趋势确认,0.40491462236407694,2.0569361979326946,-0.13677165141944814,0.17946749611352622,5466940.647859315,0.2902524489338949,1.889184407963731,-0.12605949096819058,0.14575186870317064,1493589.3417268277,0.37618150899161407,2.015947261160897,-0.13677165141944814,0.17196575635089678,8165364.283495841,True,1.889184407963731
8,correlation_shock,相关性冲击降集中,0.6353980097229015,2.2070889262439315,-0.26378820502891187,0.24506407404157593,11678477.757728092,0.38065901790050805,1.799429528140713,-0.15285095525977266,0.1970004508349878,1661625.1544473025,0.5697916555148368,2.1165763496805297,-0.26378820502891187,0.2344399907481365,19405252.407894313,True,1.799429528140713
9,tail_loss_brake,左尾风险刹车,0.5732758228816994,2.1591456992912814,-0.24926492198098482,0.2303944073601034,9623893.664404532,0.4589046735399256,1.788375248167026,-0.20230199834052842,0.2348400642902748,1812264.9929984643,0.5445233869682953,2.0695026973112958,-0.24926492198098482,0.23140284256642044,17441045.584340073,True,1.788375248167026
10,loss_cluster_brake,亏损簇刹车,0.6358044738245454,2.0821938045902164,-0.24587303353221623,0.2619083735083377,11692987.95470861,0.4391891261575793,1.771991957298978,-0.20525706465929816,0.2281527960324897,1773859.8381455317,0.5857709272994125,2.0124551541160076,-0.24587303353221623,0.25418671845449303,20741721.720777083,True,1.771991957298978
11,baseline3_1,基准3-1强势延持,0.794900103822122,2.059888900308115,-0.3527974081011951,0.31968642063541813,18592252.459604967,0.5329092245068228,1.7474644077138133,-0.2511695607222282,0.2757199536904876,1959078.7180401855,0.7275286439731703,1.98975190772149,-0.3527974081011951,0.30967214486544925,36423686.11404239,True,1.7474644077138133
12,minimum_variance,双源最小方差月配,0.49552118968048764,2.269283439260365,-0.1617977642813142,0.19232014679099385,7470757.838341925,0.23678230265853717,1.6431774736299156,-0.11539327260379817,0.14033408608844702,1397313.8986056142,0.4285585005840178,2.1355066081623852,-0.1617977642813142,0.1812688420207622,10438993.760632014,True,1.6431774736299156
13,sleeve_momentum,收益源风险动量月配,0.5560333091218139,2.097189672104971,-0.24226925320073134,0.23173205425741084,9108299.410171885,0.31701895376946343,1.54126896884791,-0.20453391656596442,0.19837771329799092,1542657.2482557648,0.49458694882384324,1.975136199099394,-0.24226925320073134,0.22418380677643068,14050984.10438536,True,1.54126896884791
14,baseline2_2,基准2-2升温防守,0.3879125984824561,2.029841553893667,-0.14553802082981648,0.17520378806111955,5144265.587465611,0.16673762173333917,1.3575776774894734,-0.10685016191595109,0.12359481353682313,1274774.9315288747,0.33105712031071644,1.8898604434272808,-0.14553802082981648,0.16436070478815626,6557780.812027822,True,1.3575776774894734
