final_equity,annualized_return,total_return,max_drawdown,sharpe,average_positions,average_invested_ratio,closed_trades,win_rate,round,route,family
1182992.317330916,0.03420440292900517,0.18299231733091603,-0.18944882633479343,0.43679437649162073,33.64356435643565,0.19482364582102576,1099,0.3848953594176524,1,trend_relative,trend
871297.5763453385,-0.02719654397340121,-0.12870242365466156,-0.16354308970480247,-0.37963332397306615,29.603960396039604,0.13298242395590062,2131,0.34819333646175504,1,trend_absolute,trend
1136144.5737734449,0.025874685684594834,0.1361445737734448,-0.1510748188295734,0.38656857377279796,42.023927392739274,0.2200285835659547,1710,0.3953216374269006,1,trend_smooth,trend
816414.2942776227,-0.039781535522845024,-0.1835857057223773,-0.19119123859792575,-0.6256320694980331,32.7029702970297,0.12148855535274918,2843,0.327119240239184,2,break_120,breakout
1005812.4954295786,0.001160600513766319,0.0058124954295786235,-0.18722752839881485,0.057234016477430226,40.27062706270627,0.19593957760410857,1821,0.357495881383855,2,break_250,breakout
832040.2581731357,-0.03613118600743248,-0.16795974182686435,-0.18498913482097346,-0.8093724355427248,24.70049504950495,0.0962152780266751,3417,0.3260169739537606,2,squeeze_break,breakout
859539.4234357484,-0.029838233227733713,-0.1404605765642516,-0.14585392022859422,-0.5367947797461503,28.52145214521452,0.12000546641112633,2131,0.41529798216799624,3,pullback_trend,reversal
857652.4602544043,-0.030264862620201782,-0.14234753974559566,-0.15195285448037676,-0.6721018858200577,34.242574257425744,0.1079596114717287,6187,0.3940520446096654,3,reversal_5,reversal
863080.4137284303,-0.02903965752692106,-0.13691958627156975,-0.1433296933912941,-0.842757533269863,25.97029702970297,0.08460374940871554,2185,0.4196796338672769,3,reversal_20,reversal
1119023.4427801338,0.022761866965371524,0.11902344278013377,-0.11181613239939514,0.352104771396926,49.994224422442244,0.3183045840865467,1553,0.40244687701223436,4,lowvol_strength,lowvol
838692.0489174031,-0.03459389748650721,-0.16130795108259688,-0.16510958232613393,-0.7180439552921357,32.14191419141914,0.1294284652472733,2326,0.3452278589853826,4,downside_quality,lowvol
1140228.7669482883,0.026611691425559858,0.14022876694828823,-0.14161541247871823,0.42248263242583567,37.57425742574257,0.24224708816799118,1910,0.4162303664921466,4,contraction,lowvol
863538.53725183,-0.028936531566807755,-0.13646146274817006,-0.155581631417962,-0.41421240212003274,29.58745874587459,0.14008256703916924,2175,0.3471264367816092,5,breadth_leader,breadth
866880.6481663678,-0.028185526392875748,-0.13311935183363222,-0.13614814515837348,-0.6194898589051079,34.53135313531353,0.11824088467360509,2753,0.41772611696331274,5,breadth_laggard,breadth
1099019.7667746511,0.019076338293068984,0.09901976677465107,-0.1304262891229584,0.2943892408922822,39.961221122112214,0.23488142599843942,1470,0.3816326530612245,5,dispersion_quality,breadth
831174.6825163845,-0.03633195042458881,-0.1688253174836155,-0.18642974011941138,-0.4917908762649749,30.692244224422442,0.13292443239041674,2087,0.34499281264973647,6,liquid_momentum,liquidity
1002551.4852631458,0.0005101262937428075,0.0025514852631458584,-0.1496402199232093,0.04381265041470109,38.74009900990099,0.23242855721861155,1136,0.3591549295774648,6,liquid_lowvol,liquidity
819098.4915569588,-0.039150533225194795,-0.1809015084430412,-0.18890688422074087,-0.8061572316755284,28.594059405940595,0.09917681543128165,3548,0.31651634723788047,6,turnover_expansion,liquidity
1044759.9186864486,0.008801932654965094,0.044759918686448685,-0.18439243986602605,0.15307480505147925,37.386963696369634,0.23442826411292755,1434,0.38284518828451886,7,quality_vote,ensemble
901105.0684632836,-0.020625276164786377,-0.09889493153671636,-0.1522473640392772,-0.2748252827416728,29.82013201320132,0.13346696459358579,2396,0.3597662771285476,7,multi_horizon,ensemble
1126941.358077514,0.02420613581004405,0.12694135807751405,-0.10690705701706305,0.3530046481885991,51.990924092409244,0.3391367429358672,1698,0.39870435806831567,7,stable_break,ensemble
791714.9130648556,-0.045667156409541554,-0.20828508693514436,-0.2150376840454088,-0.9812099282932006,25.948019801980198,0.08904806383172785,3823,0.3308919696573372,8,fast_rotation,rotation
1167188.2310781023,0.03142434354586876,0.16718823107810232,-0.17444161379254186,0.39837225273544946,42.56105610561056,0.19706411037599678,1317,0.35990888382687924,8,slow_rotation,rotation
892002.6151217764,-0.02261329688028546,-0.10799738487822363,-0.13886928359637896,-0.33173644099371274,34.57673267326733,0.1561382185917637,2182,0.34188817598533455,8,balanced_rotation,rotation
1006610.6248721932,0.0013195465238546866,0.006610624872193105,-0.11086232390118811,0.054060145243858826,50.21782178217822,0.31667457456533243,1525,0.3836065573770492,9,tail_safe,defensive
910854.0708585198,-0.01851378167729667,-0.08914592914148023,-0.10390890338606074,-0.3760860666491222,39.92904290429043,0.23900095014276088,2753,0.4235379585906284,9,crash_resistant,defensive
1218838.5341672925,0.040401593475252184,0.2188385341672925,-0.10780518607057232,0.5541252173538908,52.36056105610561,0.33657179195971487,1721,0.421266705403835,9,barbell,defensive
856022.4873386634,-0.030633993080684707,-0.14397751266133663,-0.16073970675210392,-0.7034948404174852,26.542904290429043,0.10510061798363646,1696,0.3867924528301887,10,trend_recovery,recovery
810074.8977216673,-0.041278417678067725,-0.1899251022783327,-0.21177991593641854,-0.9828169075921751,24.080858085808583,0.08513744203125365,4785,0.34231974921630093,10,confirmed_recovery,recovery
1053254.1461357893,0.01043812017759782,0.05325414613578938,-0.12495719805075856,0.18813141045083445,46.12953795379538,0.3004375101795005,1237,0.3831851253031528,10,defensive_growth,recovery
