variant,name_cn,mechanism,train_2020_2024_cagr,train_2020_2024_mdd,train_2020_2024_final,train_2020_2024_trades,recent_2025_202607_cagr,recent_2025_202607_mdd,recent_2025_202607_final,recent_2025_202607_trades,full_2020_202607_cagr,full_2020_202607_mdd,full_2020_202607_final,full_2020_202607_trades,mean_cagr,min_cagr,worst_mdd,eligible_mdd50,balanced_growth_score
baseline1-2,基准1-2 止损过滤,baseline,0.7288829050873342,-0.2576547017314177,15417508.342403872,510,0.2962732436207858,-0.3073761244752854,1504576.0874584403,157,0.611823794688104,-0.3173287060092631,23087990.500327975,672,0.5456599811320747,0.2962732436207858,0.3173287060092631,True,0.470843959878688
s01_time_to_target,到达30%时间模型排序,time_to_target_rank,0.7049168580594578,-0.2576547017314177,14378813.946934363,514,0.300019640054759,-0.2979619460629881,1511427.3254132674,156,0.5973394121318163,-0.3059305153164471,21757281.61006823,674,0.534091970082011,0.300019640054759,0.3059305153164471,True,0.4638702710738354
s02_expected_gain,未来22日收益幅度模型排序,expected_gain_rank,0.7347506491632967,-0.2622178264577628,15680739.829726562,514,0.33000948512220996,-0.28038160404111545,1566679.2112365735,156,0.627145157173516,-0.28772139959597687,24570075.012716737,673,0.5639684304863409,0.33000948512220996,0.28772139959597687,True,0.4937807468771016
s03_path_utility,收益风险时间联合排序,path_utility_rank,0.7229653844283035,-0.27422677781542004,15155635.399201483,516,0.3231082835611925,-0.29953441212937937,1553900.71743663,157,0.6174357689850125,-0.30476266382159856,23621798.318827644,677,0.5545031456581695,0.3231082835611925,0.30476266382159856,True,0.48508468702907637
s04_trend_confirmation,短中趋势共同确认入场,trend_confirmation,0.19276384059474094,-0.10111212094190569,2412738.9220403857,50,0.03501840237069476,-0.024931164998838518,1055679.8055623781,12,0.15276986731782705,-0.10111212094190569,2547059.2645598175,62,0.12685070342775426,0.03501840237069476,0.10111212094190569,True,0.09930101311063641
s05_signal_persistence,信号连续两日确认入场,signal_persistence,0.6941360605312517,-0.24379801728213268,13930217.611895705,505,0.2962732436207858,-0.3073761244752854,1504576.0874584403,157,0.5871514707618128,-0.31732841052727945,20860761.333758444,667,0.5258535916379501,0.2962732436207858,0.31732841052727945,True,0.4569794872328008
s06_gap_quality,次日跳空质量过滤,gap_quality_entry,0.7287379267413772,-0.2514131572652679,15411049.545593029,513,0.344925148989236,-0.29303319854253074,1594427.7147358134,154,0.6273280031224073,-0.3010584285965944,24588237.87864027,671,0.5669970262843401,0.344925148989236,0.3010584285965944,True,0.5003754630958088
s07_stagnant_recycle,横盘持仓提前回收资金,stagnant_recycle,0.6402045095778319,-0.24488179855995285,11850988.037061946,554,0.16500917160727036,-0.3412550426578941,1271803.19726448,173,0.5103418126253843,-0.3412648822490766,15054130.902714062,728,0.43851849793682884,0.16500917160727036,0.3412648822490766,True,0.35646570003796124
s08_signal_decay_exit,模型信号衰减提前退出,signal_decay_exit,0.3844290204082943,-0.24609176608463912,5080073.541773573,730,0.048921648361348824,-0.23719380029571935,1078090.0532286607,214,0.2957382531249846,-0.24609176608463912,5494768.11894552,946,0.24302964063154256,0.048921648361348824,0.24609176608463912,True,0.1847972429504844
s09_trend_adaptive_expiry,强趋势持仓自适应延期,trend_adaptive_expiry,0.7490821800755034,-0.24849297447024188,16338797.982390355,507,0.2882779540687912,-0.3185671151823948,1489992.6830204804,156,0.6241400244029267,-0.3270407638565874,24273188.25611403,666,0.5538333861824071,0.2882779540687912,0.3270407638565874,True,0.47416675654832224
s10_stop_quarantine,止损股票短期禁止重入,stop_reentry_quarantine,0.7111724358144864,-0.26004251939786305,14644362.639132073,475,0.35442408645933643,-0.28045567137881755,1612191.6151093007,145,0.6193516577833957,-0.2804965370284399,23806416.10128153,621,0.5616493933524062,0.35442408645933643,0.2804965370284399,True,0.4994818012844852
