final_nav,annualized_return,max_drawdown,sharpe,average_core_weight,strategy,period
1.935036065516883,0.11655424366173595,-0.25845509606757355,0.7110375881855342,1.0,静态_100,设计期2018-2023
1.060634117966757,0.06084855000948464,-0.21523405359279701,0.37242912216887947,1.0,静态_100,验证期2024
1.3074938312735118,0.17538685047473224,-0.22184973291057797,1.002442898610649,1.0,静态_100,验证期2025-2026-08
2.6834549308077364,0.12073729412946088,-0.25845509606757355,0.7118526508191789,1.0,静态_100,全周期
1.8496360104125582,0.10816893631343838,-0.24960443288943768,0.6862469733694847,0.9000000000000001,静态_90,设计期2018-2023
1.0778933220421656,0.07817100605395955,-0.19816908306813552,0.4487932190319976,0.9000000000000002,静态_90,验证期2024
1.277859424338381,0.15925713438964806,-0.2054701238078115,0.9718546999890894,0.9000000000000002,静态_90,验证期2025-2026-08
2.5476815011527756,0.1140378332973151,-0.24960443288943768,0.699607482095928,0.9000000000000004,静态_90,全周期
1.7665420547671182,0.09969456266049903,-0.24071622853765706,0.6573491479360558,0.7999999999999999,静态_80,设计期2018-2023
1.0951550338858747,0.09549693182680685,-0.1833572603458773,0.5293929756615148,0.8,静态_80,验证期2024
1.2484103423137616,0.14308038880468277,-0.18914743038368742,0.932890874020482,0.7999999999999999,静态_80,验证期2025-2026-08
2.4152213685607338,0.10719028057487368,-0.24071622853765706,0.6837563505741983,0.7999999999999999,静态_80,全周期
1.6857856591361142,0.09113420697212238,-0.2317915353148502,0.6239906921217013,0.7000000000000001,静态_70,设计期2018-2023
1.1124109915731273,0.11281801944120007,-0.1683079618469312,0.6135833011643105,0.7,静态_70,验证期2024
1.2191654116162154,0.1268650484539675,-0.17318905910327664,0.8835854171617643,0.7000000000000001,静态_70,验证期2025-2026-08
2.286284433598034,0.10019802012497725,-0.2317915353148502,0.6637350586444913,0.7000000000000001,静态_70,全周期
1.5313756193732495,0.07376792262020371,-0.2138369925135608,0.5430581251447453,0.5,静态_50,设计期2018-2023
1.1468720151057195,0.14741185823817649,-0.13844356013901116,0.7885030728718658,0.5,静态_50,验证期2024
1.1613596960598562,0.09435175761178072,-0.14202922299157628,0.7458864619935582,0.5,静态_50,验证期2025-2026-08
2.0396865603684398,0.08579313030006297,-0.2138369925135608,0.6092345392899433,0.5,静态_50,全周期
1.6294477878585252,0.0849576616821861,-0.22192412918401005,0.5850346136153338,0.5735072065888812,因子动量60,设计期2018-2023
1.0869968924865672,0.0873083241840451,-0.1506422124404745,0.5290102332857606,0.4057851239669423,因子动量60,验证期2024
1.0958601575192939,0.056723405226963175,-0.2002566048164245,0.4637244579812828,0.5900744416873449,因子动量60,验证期2025-2026-08
1.94099264167443,0.07959233652343012,-0.22192412918401005,0.5550862050692389,0.5573739295908658,因子动量60,全周期
1.7461808071412621,0.0975674596724172,-0.24852835792746752,0.6487080014918587,0.6064516129032257,因子动量120,设计期2018-2023
1.1726706125654611,0.1733122280712025,-0.10860269019047308,0.9438479182902141,0.30661157024793395,因子动量120,验证期2024
1.1093406560290273,0.06453920257604273,-0.1891474303836871,0.5166083675166852,0.5900744416873448,因子动量120,验证期2025-2026-08
2.2715912223062817,0.09937920476251416,-0.24852835792746752,0.6642658514486834,0.5687916270218839,因子动量120,全周期
1.4708728223725118,0.06656334666216002,-0.20580196696845288,0.5057080499929439,0.4926231598080571,双袖套逆波动,设计期2018-2023
1.1300839859254996,0.1305586741185889,-0.14085551101252658,0.7205477409199033,0.4617384078441684,双袖套逆波动,验证期2024
1.1285264836998443,0.07559811081724721,-0.14173612579901695,0.6297393288756156,0.42675439453726305,双袖套逆波动,验证期2025-2026-08
1.875847805475879,0.07534474025331495,-0.20580196696845288,0.5544484068155726,0.4764389436427902,双袖套逆波动,全周期
