samples,positives,base_rate,roc_auc,pr_auc,threshold,signals,correct,precision,recall,pool,fit_samples,fit_positives
608676,143852,0.23633591598814477,0.5470097949869177,0.292630045250447,0.5105569356633873,304338,76208,0.25040579881579034,0.5297667046686872,pool_a,835965,117381
103063,24278,0.23556465462872223,0.5861748200644893,0.3479613544601611,0.48630405071767796,51532,14186,0.27528525964449274,0.5843150177115084,pool_b,616218,88614
52813,13644,0.2583454831196864,0.5731965862263158,0.35582869778447074,0.4887193494315324,26407,7760,0.29386147612375507,0.5687481676927587,pool_c,328232,49999
