date,return,equity
2020-01-02,0.0,1000000.0
2020-01-03,0.0,1000000.0
2020-01-06,0.0,1000000.0
2020-01-07,0.0,1000000.0
2020-01-08,0.0,1000000.0
2020-01-09,0.0,1000000.0
2020-01-10,0.0,1000000.0
2020-01-13,0.0,1000000.0
2020-01-14,0.0,1000000.0
2020-01-15,0.0,1000000.0
2020-01-16,0.0,1000000.0
2020-01-17,0.0,1000000.0
2020-01-20,0.0,1000000.0
2020-01-21,0.0,1000000.0
2020-01-22,0.0,1000000.0
2020-01-23,0.0,1000000.0
2020-02-03,0.0,1000000.0
2020-02-04,0.014947666872235366,1014947.6668722355
2020-02-05,0.018672695813303997,1033899.4759221631
2020-02-06,0.006134231972739046,1040241.655143963
2020-02-07,0.016124979394059744,1057015.530398002
2020-02-10,0.01367172691809305,1071466.7580777868
2020-02-11,-0.009124508444576995,1061690.1505956224
2020-02-12,0.006260938684968734,1068337.3275309368
2020-02-13,0.0027466522592302016,1071271.6786652196
2020-02-14,-0.0042383894152466005,1066731.2121215116
2020-02-17,0.015736483582211476,1083517.8103276943
2020-02-18,0.0006239872882138378,1084193.9116678922
2020-02-19,0.00021807849065089786,1084430.3510397216
2020-02-20,-0.0003096730856512064,1084094.5321467414
2020-02-21,-0.0008144892201387922,1083211.5488366964
2020-02-24,-0.000744365803082375,1082405.2432022386
2020-02-25,0.0008945350791782075,1083373.4926621695
2020-02-26,-0.0012796649040315029,1081987.1376256517
2020-02-27,-0.0007885889279246125,1081133.8945487633
2020-02-28,-0.003036052968630464,1077851.5147787316
2020-03-02,0.00561125260933763,1083899.6119035122
2020-03-03,3.622614359789413e-05,1083938.8774064989
2020-03-04,-0.0006529142233964041,1083231.1582961478
2020-03-05,0.001881894813305437,1085269.6853945563
2020-03-06,0.00011283344993162636,1085392.1401172655
2020-03-09,0.001151845091850623,1086642.3437265928
2020-03-10,0.004050574611036528,1091043.8696153688
2020-03-11,-0.0005409459687921725,1090453.673832325
2020-03-12,0.0,1090453.673832325
2020-03-13,0.0,1090453.673832325
2020-03-16,0.0,1090453.673832325
2020-03-17,0.0,1090453.673832325
2020-03-18,-0.001359808600331136,1088970.865548385
2020-03-19,-0.000401175822313693,1088533.996765923
2020-03-20,0.0028616279121408406,1091648.9760343824
2020-03-23,-0.008435969852345404,1082439.8581832126
2020-03-24,0.0037033118956161237,1086448.4705863118
2020-03-25,0.0065674430090317815,1093583.658999137
2020-03-26,-0.005449221115979452,1087624.4798324287
2020-03-27,-0.0020937474933836464,1085347.268804037
2020-03-30,-0.007902384131429963,1076770.4377699492
2020-03-31,-0.004287461091851186,1072153.8264131548
2020-04-01,0.00887450835639858,1081668.664505003
2020-04-02,0.018503927288686772,1101683.7828234544
2020-04-03,-0.004053252856087708,1097218.37988422
2020-04-07,0.012235087958481161,1110642.9432717655
2020-04-08,-0.0004935134342358705,1110094.8260586218
2020-04-09,-0.00053282311038505,1109503.3418805785
2020-04-10,-0.012026648413277885,1096159.735274424
2020-04-13,-0.016019315951719626,1078600.0061415099
2020-04-14,0.017707898937147193,1097699.7460438698
2020-04-15,0.010027071696433465,1108706.4600986086
