date,return,equity
2020-01-02,0.0,1000000.0
2020-01-03,0.0,1000000.0
2020-01-06,0.0,1000000.0
2020-01-07,0.0,1000000.0
2020-01-08,0.0,1000000.0
2020-01-09,0.0,1000000.0
2020-01-10,0.0,1000000.0
2020-01-13,0.0,1000000.0
2020-01-14,0.0,1000000.0
2020-01-15,0.0,1000000.0
2020-01-16,0.0,1000000.0
2020-01-17,0.0,1000000.0
2020-01-20,0.0,1000000.0
2020-01-21,0.0,1000000.0
2020-01-22,0.0,1000000.0
2020-01-23,0.0,1000000.0
2020-02-03,0.0,1000000.0
2020-02-04,0.014947666872235366,1014947.6668722355
2020-02-05,0.018672695813303997,1033899.4759221631
2020-02-06,0.006134231972739046,1040241.655143963
2020-02-07,0.017978742453434948,1058943.8919511314
2020-02-10,0.01596115830935796,1075845.863051291
2020-02-11,-0.010802631247552652,1064223.8969135429
2020-02-12,0.007524986451424769,1072232.1673191
2020-02-13,0.0032959827110762415,1075766.2260048438
2020-02-14,-0.005086067298295921,1070294.8065821491
2020-02-17,0.01888378029865377,1090506.0185644364
2020-02-18,0.0007487847458566054,1091322.5728364023
2020-02-19,0.0002616941887810775,1091608.1656117993
2020-02-20,-0.0003716077027814477,1091202.5156090388
2020-02-21,-0.0009773870641665507,1090135.9883858964
2020-02-24,-0.0008932389636988501,1089162.2364453399
2020-02-25,0.001073442095013849,1090331.3890382398
2020-02-26,-0.0015355978848378036,1088657.0784634603
2020-02-27,-0.000946306713509535,1087626.8749614009
2020-02-28,-0.0036432635623565575,1083664.3635984142
2020-03-02,0.006733503131205156,1090961.2209838796
2020-03-03,4.347137231747298e-05,1091008.646565301
2020-03-04,-0.0007427881352851828,1090198.2582871388
2020-03-05,0.002028172944579021,1092409.3688988239
2020-03-06,0.00011283344993162636,1092532.6292166545
2020-03-09,0.001151845091850623,1093791.0575633042
2020-03-10,0.004050574611036528,1098221.5398508487
2020-03-11,-0.0005409459687921725,1097627.4613360257
2020-03-12,0.0,1097627.4613360257
2020-03-13,0.0,1097627.4613360257
2020-03-16,0.0,1097627.4613360257
2020-03-17,0.0,1097627.4613360257
2020-03-18,-0.001359808600331136,1096134.8980741415
2020-03-19,-0.000401175822313693,1095695.1552550397
2020-03-20,0.0028616279121408406,1098830.627094515
2020-03-23,-0.008435969852345404,1089560.925051512
2020-03-24,0.0037033118956161237,1093595.908986254
2020-03-25,0.0065674430090317815,1100778.0377934312
2020-03-26,-0.005449221115979452,1094779.654865881
2020-03-27,-0.0020937474933836464,1092487.462707698
2020-03-30,-0.007902384131429963,1083854.2071186106
2020-03-31,-0.004287461091851186,1079207.2243763504
2020-04-01,0.00887450835639858,1088784.6579073642
2020-04-02,0.018503927288686772,1108931.4500503195
2020-04-03,-0.004053252856087708,1104436.6704831976
2020-04-07,0.012235087958481161,1117949.5502911317
2020-04-08,-0.0004935134342358705,1117397.8271692651
2020-04-09,-0.00053282311038505,1116802.4517834552
2020-04-10,-0.012026648413277885,1103371.0613487689
2020-04-13,-0.016019315951719626,1085695.8117050386
2020-04-14,0.017707898937147193,1104921.2034151952
2020-04-15,0.010027071696433465,1116000.3275407488
