date,attack,defense
2020-01-02,0.0,0.0
2020-01-03,0.0,0.0
2020-01-06,0.0,0.0
2020-01-07,0.0,0.0
2020-01-08,0.0,0.0
2020-01-09,0.0,0.0
2020-01-10,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.05979066748894146,0.0
2020-02-05,0.07469078325321599,0.0
2020-02-06,0.024536927890956184,0.0
2020-02-07,0.0369574849068699,0.0
2020-02-10,0.03192231661871592,0.0
2020-02-11,-0.021605262495105304,0.0
2020-02-12,0.015656950768173417,0.0
2020-02-13,0.006805843117873023,0.0
2020-02-14,-0.010424365555083637,0.0
2020-02-17,0.03941384141686166,0.0
2020-02-18,0.0016632162237935066,0.0
2020-02-19,0.0005639037571487648,0.0
2020-02-20,-0.000793870177609457,0.0
2020-02-21,-0.0020914565160236043,0.0
2020-02-24,-0.0019129011857177414,0.0
2020-02-25,0.0023151129726135533,0.0
2020-02-26,-0.003292505623050057,0.0
2020-02-27,-0.0020320724594367068,0.0
2020-02-28,-0.007870182731310349,0.0
2020-03-02,0.014740313581742992,0.0
2020-03-03,0.00010760252327024489,0.0
2020-03-04,-0.0013277633733574934,0.0
2020-03-05,0.004056345889158042,0.0
2020-03-06,0.00022566689986325272,0.0
2020-03-09,0.002303690183701246,0.0
2020-03-10,0.008101149222073056,0.0
2020-03-11,-0.001081891937584345,0.0
2020-03-12,0.0,0.0
2020-03-13,0.0,0.0
2020-03-16,0.0,0.0
2020-03-17,0.0,0.0
2020-03-18,-0.002719617200662272,0.0
2020-03-19,-0.000802351644627386,0.0
2020-03-20,0.005723255824281681,0.0
2020-03-23,-0.016871939704690808,0.0
2020-03-24,0.0074066237912322475,0.0
2020-03-25,0.013134886018063563,0.0
2020-03-26,-0.010898442231958905,0.0
2020-03-27,-0.004187494986767293,0.0
2020-03-30,-0.015804768262859925,0.0
