start,end,total_return,annualized_return,max_drawdown,sharpe,average_exposure,turnover,positive_day_share,period
2018-01-02,2018-12-28,-0.11812467126386283,-0.11973983701747615,-0.23184197979250887,-0.5895544234357746,0.5061728395061729,5.586728395061729,0.26337448559670784,2018
2019-01-02,2019-12-31,0.26452132512999027,0.26636217901303816,-0.18995863734441276,1.259603979646131,0.9979508196721313,9.45,0.5532786885245902,2019
2020-01-02,2020-12-31,0.06783262999040929,0.06807332654737497,-0.12202338694304771,0.4296279533036761,1.0,8.873830894223758,0.48148148148148145,2020
2021-01-04,2021-12-31,0.12897606203201928,0.13058959223890199,-0.10767853881932332,0.9582266982631226,1.0,8.383079840575629,0.5349794238683128,2021
2022-01-04,2022-12-30,-0.029705553750987934,-0.03013216694329235,-0.28206777290981766,-0.019043399824441757,1.0,9.910269556620143,0.5289256198347108,2022
2023-01-03,2023-12-29,0.022815544048645275,0.023152093218197223,-0.13756380024252834,0.2441978857008073,1.0,9.720914708851904,0.5206611570247934,2023
2024-01-02,2024-12-31,0.14962990250453068,0.1501805304474748,-0.20412485228500266,0.6432726617414681,1.0,10.361392781211382,0.5371900826446281,2024
2025-01-02,2025-12-31,0.38794298635110125,0.3907660974176417,-0.07436417619332292,2.419638363686227,1.0,9.597455855785086,0.6213991769547325,2025
2026-01-05,2026-08-31,0.009620437293351047,0.014802052169732738,-0.20693676097165659,0.17786517929690454,1.0,6.673636660721434,0.51875,2026
2018-01-02,2023-12-29,0.4115675429391408,0.05925766498179552,-0.28206777290981777,0.40951812270984084,0.9172958133150309,51.92482339533316,0.48318462594371997,2018-2023
2024-01-02,2024-12-31,0.14962990250453068,0.1501805304474748,-0.20412485228500266,0.6432726617414681,1.0,10.361392781211382,0.5371900826446281,2024
2025-01-02,2026-08-31,0.4127532734503534,0.23153962465869848,-0.20693676097165692,1.304772365143546,1.0,16.27109251650652,0.5831265508684863,2025-2026-08-31
