name,symbol,market,industry,ipo_date,region,connect
呈和科技,688625.SH,科创板,化工原料,2021-06-07,广东,沪股通
翔宇医疗,688626.SH,科创板,医疗保健,2021-03-31,河南,沪股通
精智达,688627.SH,科创板,专用机械,2023-07-18,深圳,沪股通
优利德,688628.SH,科创板,电器仪表,2021-02-01,广东,沪股通
华丰科技,688629.SH,科创板,元器件,2023-06-27,四川,沪股通
芯碁微装,688630.SH,科创板,专用机械,2021-04-01,安徽,沪股通
莱斯信息,688631.SH,科创板,软件服务,2023-06-28,江苏,沪股通
星球石墨,688633.SH,科创板,专用机械,2021-03-24,江苏,N
长进光子,688635.SH,科创板,通信设备,2026-05-27,湖北,N
智明达,688636.SH,科创板,元器件,2021-04-08,四川,沪股通
誉辰智能,688638.SH,科创板,专用机械,2023-07-12,深圳,N
华恒生物,688639.SH,科创板,化学制药,2021-04-22,安徽,沪股通
逸飞激光,688646.SH,科创板,专用机械,2023-07-28,湖北,N
中邮科技,688648.SH,科创板,机床制造,2023-11-13,上海,沪股通
盛邦安全,688651.SH,科创板,软件服务,2023-07-26,北京,N
京仪装备,688652.SH,科创板,半导体,2023-11-29,北京,沪股通
康希通信,688653.SH,科创板,半导体,2023-11-17,上海,沪股通
迅捷兴,688655.SH,科创板,元器件,2021-05-11,深圳,N
浩欧博,688656.SH,科创板,医疗保健,2021-01-13,江苏,沪股通
浩辰软件,688657.SH,科创板,软件服务,2023-10-10,江苏,N
悦康药业,688658.SH,科创板,化学制药,2020-12-24,北京,沪股通
元琛科技,688659.SH,科创板,环境保护,2021-03-31,安徽,N
电气风电,688660.SH,科创板,电气设备,2021-05-19,上海,沪股通
和林微纳,688661.SH,科创板,元器件,2021-03-29,江苏,沪股通
富信科技,688662.SH,科创板,元器件,2021-04-01,广东,沪股通
新风光,688663.SH,科创板,电气设备,2021-04-13,山东,沪股通
四方光电,688665.SH,科创板,电器仪表,2021-02-09,湖北,沪股通
菱电电控,688667.SH,科创板,汽车配件,2021-03-12,湖北,沪股通
鼎通科技,688668.SH,科创板,通信设备,2020-12-21,广东,沪股通
聚石化学,688669.SH,科创板,化工原料,2021-01-25,广东,N
金迪克,688670.SH,科创板,生物制药,2021-08-02,江苏,N
碧兴物联,688671.SH,科创板,环境保护,2023-08-09,深圳,N
金盘科技,688676.SH,科创板,电气设备,2021-03-09,海南,沪股通
