name,selection_score,eligible_dd35,dev_annual,dev_dd,dev_sharpe,val_annual,val_dd,val_sharpe,holdout_annual,holdout_dd,holdout_sharpe,full_annual,full_dd,full_sharpe,final_equity,avg_holdings,parameters
regime_ma100,0.343497851561871,True,0.31107194031745,-0.3354394137716967,1.3150939139545754,0.341699060278029,-0.20197044095955152,1.046197772783453,0.17308745839670214,-0.161763096565114,0.9284429315309117,0.2738244882541341,-0.3354394137716967,1.1331875257496165,50503397.283778146,20.440886699507388,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 100, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""regime_ma100""}"
bull_mom_175,0.33780565519979944,True,0.2800138600713873,-0.3354235807365643,1.2006175306263005,0.36308205816857986,-0.20770037089281257,1.0918584163827716,0.20366334063270375,-0.15208579377219866,1.085591784072209,0.26651859764708563,-0.3354235807365643,1.1082550818059678,48596563.481452346,20.341133004926107,"{""bull"": [0.25, 0.175, 0.575], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bull_mom_175""}"
bull_mom_225,0.3339239926074744,True,0.28380686466086935,-0.3398822450611817,1.2072850969191968,0.3549969988579915,-0.203322224112516,1.071182632637406,0.18057882981193418,-0.1653858038758278,0.9868046924592423,0.26086748072289434,-0.3398822450611817,1.0860710958471478,47163951.83935214,20.31527093596059,"{""bull"": [0.25, 0.225, 0.525], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bull_mom_225""}"
cap165,0.32751884877055193,True,0.28175249542832437,-0.3357586867042279,1.2049866563245202,0.3420238204500561,-0.2022936043746022,1.0467118379027975,0.17649735669690636,-0.16175440007123776,0.9662119886335712,0.25774277871361995,-0.3357586867042279,1.0792869334535389,46387349.49888852,20.251847290640395,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.65, ""name"": ""cap165""}"
v2_reference,0.3265550072350968,True,0.28163703778096405,-0.3354394137716967,1.2024580597831886,0.3401578248342936,-0.20265970267406608,1.042451600021759,0.18001977599367214,-0.16122830545991795,0.9815388213788638,0.2583530766702169,-0.3354394137716967,1.0800133654545236,46538169.98466215,20.27894088669951,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""v2_reference""}"
regime_ma110,0.3265550072350968,True,0.28163703778096405,-0.3354394137716967,1.2024580597831886,0.3401578248342936,-0.20265970267406608,1.042451600021759,0.17368245813027872,-0.16120054303500986,0.9282071098976099,0.25664354825924685,-0.3354394137716967,1.06999941200292,46116749.68730099,20.264778325123153,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 110, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""regime_ma110""}"
bear_balanced_shift,0.32574830835089563,True,0.2763923516673019,-0.33390062092793527,1.1872152201764885,0.34294987617582184,-0.20906995082055013,1.0481777201523983,0.17653960700381743,-0.16118569830364116,0.9547015810530469,0.2546392138996947,-0.33390062092793527,1.066851510626745,45626793.770903364,20.238916256157637,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.475, 0.275, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_balanced_shift""}"
cap135,0.32565272093828673,True,0.2806695535428947,-0.3352679705320373,1.1956678483208545,0.33942142467798275,-0.20379915870784426,1.0404138728040264,0.18424055383253934,-0.16168679792856677,0.999883207602739,0.25881052338990074,-0.3352679705320373,1.0794591399255073,46651490.24686092,20.30849753694581,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.35, ""name"": ""cap135""}"
exposure99,0.3246884201264464,True,0.2801623326085507,-0.33369849767320137,1.2028284202949275,0.3367728597414785,-0.20194925697759047,1.0383954306692507,0.18092567772929158,-0.1604048126420189,0.9896889877365774,0.2573021104490696,-0.33369849767320137,1.081032205256786,46278707.5616817,20.238916256157637,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.99, ""cap"": 1.5, ""name"": ""exposure99""}"
exposure98,0.32355004903245027,True,0.27976632353226205,-0.3324972603786923,1.2079750034063255,0.33398340115337666,-0.20046174855625987,1.035963222367531,0.18006543272070008,-0.1592317573877029,0.9927502628821149,0.2564944612893747,-0.3324972603786923,1.0839595070099934,46080152.253669105,20.22536945812808,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.98, ""cap"": 1.5, ""name"": ""exposure98""}"
