日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2022-09-01,09:31:00,688663.SH,新风光,买入,35.912,14256,511956.91,153.59,0.00
2022-09-01,09:31:00,688155.SH,先惠技术,卖出,78.443,-6136,-481325.02,144.40,481.33
2022-08-31,09:31:00,688617.SH,惠泰医疗,买入,185.871,2801,520624.67,156.19,0.00
2022-08-30,09:31:00,688155.SH,先惠技术,买入,86.072,6136,528136.56,158.44,0.00
2022-08-30,09:31:00,688395.SH,正弦电气,买入,23.918,22074,527960.19,158.39,0.00
2022-08-30,09:31:00,688667.SH,菱电电控,买入,125.280,4215,528055.45,158.42,0.00
2022-08-29,09:31:00,688395.SH,正弦电气,卖出,22.555,-21884,-493589.24,148.08,493.59
2022-08-29,09:31:00,688378.SH,奥来德,买入,31.563,16739,528333.06,158.50,0.00
2022-08-26,09:31:00,688091.SH,上海谊众,买入,106.723,4989,532441.15,159.73,0.00
2022-08-25,09:31:00,688091.SH,上海谊众,卖出,107.664,-4600,-495255.50,148.58,495.26
2022-08-25,09:31:00,688180.SH,君实生物,卖出,54.780,-8984,-492145.50,147.64,492.15
2022-08-25,09:31:00,688395.SH,正弦电气,买入,24.339,21884,532625.48,159.79,0.00
2022-08-22,09:31:00,688091.SH,上海谊众,买入,118.206,4600,543747.32,163.12,0.00
2022-08-08,09:31:00,688180.SH,君实生物,买入,60.521,8984,543718.87,163.12,0.00
2022-08-08,09:31:00,688139.SH,海尔生物,买入,73.086,7441,543832.03,163.15,0.00
2022-07-08,09:31:00,688793.SH,倍轻松,卖出,49.700,-9629,-478565.15,143.57,478.57
2022-06-30,09:31:00,688276.SH,百克生物,卖出,65.529,-5577,-365453.45,109.64,365.45
2022-06-29,09:31:00,688276.SH,百克生物,卖出,59.710,-5578,-333064.28,99.92,333.06
2022-06-27,09:31:00,688321.SH,微芯生物,卖出,25.659,-22912,-587889.38,176.37,587.89
2022-06-20,09:31:00,688076.SH,ST诺泰,卖出,25.838,-12837,-331685.23,99.51,331.69
2022-06-16,09:31:00,688068.SH,热景生物,卖出,84.630,-5586,-472745.41,141.82,472.75
2022-06-15,09:31:00,688002.SH,睿创微纳,卖出,39.122,-8809,-344622.17,103.39,344.62
2022-06-15,09:31:00,688162.SH,巨一科技,卖出,56.886,-10370,-589907.82,176.97,589.91
2022-06-15,09:31:00,688793.SH,倍轻松,买入,54.499,9629,524768.75,157.43,0.00
2022-06-13,09:31:00,688699.SH,明微电子,卖出,101.896,-5082,-517834.46,155.35,517.83
2022-06-13,09:31:00,688158.SH,优刻得,卖出,14.960,-34875,-521730.70,156.52,521.73
2022-06-10,09:31:00,688608.SH,恒玄科技,卖出,162.684,-1978,-321788.91,96.54,321.79
2022-06-08,09:31:00,688276.SH,百克生物,买入,47.896,11155,534275.42,160.28,0.00
2022-06-06,09:31:00,689009.SH,九号公司,卖出,51.786,-408,-21128.78,6.34,21.13
2022-06-06,09:31:00,688608.SH,恒玄科技,卖出,159.620,-1978,-315728.60,94.72,315.73
2022-06-02,09:31:00,688339.SH,亿华通,卖出,88.553,-4147,-367227.38,110.17,367.23
2022-06-02,09:31:00,688180.SH,君实生物,卖出,72.155,-5611,-404863.95,121.46,404.86
2022-06-02,09:31:00,688575.SH,亚辉龙,卖出,21.207,-23005,-487878.54,146.36,487.88
2022-06-01,09:31:00,689009.SH,九号公司,卖出,45.609,-409,-18653.92,5.60,18.65
2022-05-31,09:31:00,688180.SH,君实生物,买入,82.735,5611,464226.87,139.27,0.00
2022-05-30,09:31:00,688608.SH,恒玄科技,买入,120.531,3956,476818.97,143.05,0.00
2022-05-30,09:31:00,688023.SH,安恒信息,卖出,116.796,-3533,-412640.06,123.79,412.64
2022-05-27,09:31:00,688608.SH,恒玄科技,卖出,121.407,-1825,-221567.23,66.47,221.57
2022-05-27,09:31:00,688068.SH,热景生物,买入,127.755,3774,482147.37,144.64,0.00
2022-05-27,09:31:00,688300.SH,联瑞新材,卖出,69.361,-3546,-245954.11,73.79,245.95
2022-05-26,09:31:00,688321.SH,微芯生物,买入,20.972,22912,480507.26,144.15,0.00
2022-05-26,09:31:00,688518.SH,联赢激光,卖出,24.681,-9199,-227036.29,68.11,227.04
2022-05-26,09:31:00,688368.SH,晶丰明源,卖出,144.710,-207,-29954.97,8.99,29.95
2022-05-25,09:31:00,688766.SH,普冉股份,卖出,154.690,-1498,-231725.62,69.52,231.73
2022-05-24,09:31:00,688368.SH,晶丰明源,卖出,158.682,-208,-33005.86,9.90,33.01
2022-05-20,09:31:00,688766.SH,普冉股份,卖出,222.434,-1071,-238227.07,71.47,238.23
2022-05-20,09:31:00,688518.SH,联赢激光,卖出,27.126,-9199,-249528.76,74.86,249.53
2022-05-19,09:31:00,688575.SH,亚辉龙,买入,29.439,16432,483737.70,145.12,0.00
2022-05-19,09:31:00,688076.SH,ST诺泰,买入,24.599,12837,315778.65,94.73,0.00
2022-05-18,09:31:00,688608.SH,恒玄科技,卖出,133.063,-1825,-242840.60,72.85,242.84
2022-05-18,09:31:00,688772.SH,珠海冠宇,卖出,26.816,-9744,-261297.64,78.39,261.30
2022-05-18,09:31:00,688711.SH,宏微科技,卖出,82.934,-3577,-296654.20,89.00,296.65
2022-05-16,09:31:00,688162.SH,巨一科技,买入,46.002,10370,477038.87,143.11,0.00
2022-05-16,09:31:00,688002.SH,睿创微纳,买入,38.166,8809,336205.88,100.86,0.00
2022-05-13,09:31:00,688533.SH,上声电子,卖出,46.277,-6485,-300108.03,90.03,300.11
2022-05-13,09:31:00,688408.SH,中信博,卖出,69.860,-3932,-274689.52,82.41,274.69
2022-05-13,09:31:00,689009.SH,九号公司,买入,35.671,817,29143.37,8.74,0.00
2022-05-13,09:31:00,688300.SH,联瑞新材,卖出,67.595,-3547,-239757.83,71.93,239.76
2022-05-13,09:31:00,688158.SH,优刻得,买入,13.617,34875,474899.15,142.47,0.00
2022-05-12,09:31:00,688699.SH,明微电子,买入,92.374,5082,469446.60,140.83,0.00
2022-05-12,09:31:00,688772.SH,珠海冠宇,卖出,25.369,-9744,-247197.10,74.16,247.20
2022-05-12,09:31:00,688390.SH,固德威,卖出,218.163,-1181,-257650.27,77.30,257.65
2022-05-12,09:31:00,688339.SH,亿华通,买入,110.390,2962,326976.19,98.09,0.00
2022-05-11,09:31:00,688390.SH,固德威,卖出,212.424,-1182,-251085.52,75.33,251.09
2022-05-11,09:31:00,688408.SH,中信博,卖出,65.698,-3932,-258325.87,77.50,258.33
2022-05-11,09:31:00,688533.SH,上声电子,卖出,44.451,-6485,-288264.22,86.48,288.26
2022-04-28,09:31:00,688408.SH,中信博,买入,51.102,7864,401866.13,120.56,0.00
2022-04-28,09:31:00,688711.SH,宏微科技,买入,60.731,3577,217235.57,65.17,0.00
2022-04-28,09:31:00,688023.SH,安恒信息,买入,113.757,3533,401903.69,120.57,0.00
2022-04-27,09:31:00,688711.SH,宏微科技,卖出,55.090,-2285,-125879.74,37.76,125.88
2022-04-27,09:31:00,688300.SH,联瑞新材,买入,54.108,7093,383788.04,115.14,0.00
2022-04-27,09:31:00,688608.SH,恒玄科技,买入,105.210,3650,384016.50,115.20,0.00
2022-04-27,09:31:00,688390.SH,固德威,买入,162.444,2363,383855.74,115.16,0.00
2022-04-27,09:31:00,688772.SH,珠海冠宇,买入,19.699,19488,383900.35,115.17,0.00
2022-04-27,09:31:00,688766.SH,普冉股份,买入,179.188,2141,383640.78,115.09,0.00
2022-04-27,09:31:00,688408.SH,中信博,卖出,47.904,-7744,-370968.58,111.29,370.97
2022-04-27,09:31:00,688083.SH,中望软件,卖出,181.905,-746,-135701.47,40.71,135.70
2022-04-26,09:31:00,688800.SH,瑞可达,卖出,76.477,-5301,-405403.20,121.62,405.40
2022-04-26,09:31:00,688006.SH,杭可科技,卖出,40.738,-9584,-390436.44,117.13,390.44
2022-04-26,09:31:00,688772.SH,珠海冠宇,卖出,20.509,-19306,-395944.82,118.78,395.94
2022-04-26,09:31:00,688518.SH,联赢激光,买入,21.353,18398,392845.50,117.85,0.00
2022-04-26,09:31:00,688390.SH,固德威,卖出,167.963,-2156,-362129.09,108.64,362.13
2022-04-26,09:31:00,688608.SH,恒玄科技,卖出,111.287,-3246,-361237.54,108.37,361.24
2022-04-26,09:31:00,688208.SH,道通科技,卖出,28.523,-13926,-397209.07,119.16,397.21
2022-04-26,09:31:00,688368.SH,晶丰明源,买入,127.504,415,52914.37,15.87,0.00
2022-04-25,09:31:00,688006.SH,杭可科技,买入,44.679,9584,428205.26,128.46,0.00
