日期,总资产,现金,证券,数量,持仓,收盘价, 收益
,,,华恒生物(688639.SH),154441,2568353.83,16.63,145791.63
,,,佳华科技(688051.SH),104540,2477598.00,23.7,67646.39
,,,科兴制药(688136.SH),134334,2693396.70,20.05,272514.68
2026-06-26,24218834.14,12096698.77,,,,,
,,,腾景科技(688195.SH),13022,2442927.20,187.6,-34465.03
,,,博瑞医药(688166.SH),862,29618.32,34.36,-1917.06
,,,复洁科技(688335.SH),95371,2385228.71,25.01,-362083.57
,,,奥浦迈(688293.SH),54438,2049590.70,37.65,91316.01
,,,迪哲医药(688192.SH),1234,45028.66,36.49,-2775.17
,,,新相微(688593.SH),79810,2826072.10,35.41,442262.50
,,,悦康药业(688658.SH),189464,2343669.68,12.37,-254160.69
2026-06-25,25176538.00,24.86,,,,,
,,,安达智能(688125.SH),15760,2553120.00,162,-245029.05
,,,复洁科技(688335.SH),95371,2645591.54,27.74,-101720.74
,,,博瑞医药(688166.SH),862,31437.14,36.47,-98.24
,,,腾景科技(688195.SH),13022,2657790.20,204.1,180397.97
,,,新相微(688593.SH),79810,2921844.10,36.61,538034.50
,,,卓越新能(688196.SH),63082,2328987.44,36.92,-167924.35
,,,航天环宇(688523.SH),47572,2374318.52,49.91,-179499.63
,,,奥浦迈(688293.SH),54438,2162821.74,39.73,204547.05
,,,迪哲医药(688192.SH),1234,48187.70,39.05,383.87
,,,悦康药业(688658.SH),189464,2487662.32,13.13,-110168.05
,,,佳华科技(688051.SH),92358,2316338.64,25.08,-212686.84
,,,精进电动(688280.SH),464634,2648413.80,5.7,-150460.85
2026-06-24,25848648.68,19.25,,,,,
,,,迪哲医药(688192.SH),1234,49125.54,39.81,1321.71
,,,悦康药业(688658.SH),189464,2523660.48,13.32,-74169.89
,,,卓越新能(688196.SH),63082,2409101.58,38.19,-119351.21
,,,安达智能(688125.SH),15760,2718915.20,172.52,-79233.85
,,,航天环宇(688523.SH),47572,2423793.40,50.95,-130024.75
,,,新相微(688593.SH),79810,2855601.80,35.78,471792.20
,,,精进电动(688280.SH),464634,2783157.66,5.99,-15716.99
,,,腾景科技(688195.SH),13022,2706101.82,207.81,228709.59
,,,复洁科技(688335.SH),95371,2799138.85,29.35,51826.57
,,,佳华科技(688051.SH),92358,2397613.68,25.96,-131411.80
,,,奥浦迈(688293.SH),54438,2182419.42,40.09,224144.73
2026-06-23,25716622.05,19.25,,,,,
,,,新相微(688593.SH),79810,2379934.20,29.82,-3875.40
,,,卓越新能(688196.SH),63082,2458305.54,38.97,-70147.25
,,,精进电动(688280.SH),464634,2857499.10,6.15,58624.45
,,,航天环宇(688523.SH),47572,2396677.36,50.38,-157140.79
,,,佳华科技(688051.SH),92358,2505672.54,27.13,-23352.94
,,,复洁科技(688335.SH),95371,2985112.30,31.3,237800.02
,,,迪哲医药(688192.SH),1234,47422.62,38.43,-381.21
,,,悦康药业(688658.SH),189464,2595656.80,13.7,-2173.57
,,,腾景科技(688195.SH),13022,2588773.60,198.8,111381.37
,,,安达智能(688125.SH),15760,2711508.00,172.05,-86641.05
,,,奥浦迈(688293.SH),54438,2190040.74,40.23,231766.05
2026-06-22,25860541.19,19.25,,,,,
,,,悦康药业(688658.SH),189464,2478189.12,13.08,-119641.25
,,,迪哲医药(688192.SH),1234,46386.06,37.59,-1417.77
,,,腾景科技(688195.SH),13022,2704669.40,207.7,227277.17
,,,航天环宇(688523.SH),47572,2513704.48,52.84,-40113.67
,,,奥浦迈(688293.SH),54438,2083886.64,38.28,125611.95
,,,新相微(688593.SH),79810,2428618.30,30.43,44808.70
,,,佳华科技(688051.SH),92358,2472423.66,26.77,-56601.82
,,,复洁科技(688335.SH),95371,2975575.20,31.2,228262.92
,,,安达智能(688125.SH),15760,2819464.00,178.9,21314.95
,,,卓越新能(688196.SH),63082,2447581.60,38.8,-80871.19
,,,精进电动(688280.SH),464634,2890023.48,6.22,91148.83
2026-06-18,26635185.45,19.25,,,,,
,,,腾景科技(688195.SH),13022,2767695.88,212.54,290303.65
,,,复洁科技(688335.SH),95371,3250243.68,34.08,502931.40
,,,悦康药业(688658.SH),189464,2497135.52,13.18,-100694.85
,,,新相微(688593.SH),79810,2646499.60,33.16,262690.00
,,,航天环宇(688523.SH),47572,2577450.96,54.18,23632.81
,,,安达智能(688125.SH),15760,3003068.00,190.55,204918.95
,,,佳华科技(688051.SH),92358,2436404.04,26.38,-92621.44
,,,精进电动(688280.SH),464634,2876084.46,6.19,77209.81
,,,卓越新能(688196.SH),63082,2460198.00,39,-68254.79
,,,奥浦迈(688293.SH),54438,2073543.42,38.09,115268.73
,,,迪哲医药(688192.SH),1234,46842.64,37.96,-961.19
2026-06-17,26751366.37,19.25,,,,,
,,,奥浦迈(688293.SH),54438,2041969.38,37.51,83694.69
,,,佳华科技(688051.SH),92358,2472423.66,26.77,-56601.82
,,,迪哲医药(688192.SH),1234,45164.40,36.6,-2639.43
,,,精进电动(688280.SH),464634,2950425.90,6.35,151551.25
,,,复洁科技(688335.SH),95371,3177761.72,33.32,430449.44
,,,悦康药业(688658.SH),189464,2523660.48,13.32,-74169.89
,,,卓越新能(688196.SH),63082,2486692.44,39.42,-41760.35
,,,新相微(688593.SH),79810,2601007.90,32.59,217198.30
,,,腾景科技(688195.SH),13022,2745298.04,210.82,267905.81
,,,航天环宇(688523.SH),47572,2530830.40,53.2,-22987.75
,,,安达智能(688125.SH),15760,3176112.80,201.53,377963.75
2026-06-16,26651035.31,19.25,,,,,
,,,奥浦迈(688293.SH),54438,2003318.40,36.8,45043.71
,,,卓越新能(688196.SH),63082,2542835.42,40.31,14382.63
,,,佳华科技(688051.SH),92358,2558316.60,27.7,29291.12
,,,航天环宇(688523.SH),47572,2503714.36,52.63,-50103.79
,,,悦康药业(688658.SH),189464,2510398.00,13.25,-87432.37
,,,迪哲医药(688192.SH),1234,45596.30,36.95,-2207.53
,,,复洁科技(688335.SH),95371,2994649.40,31.4,247337.12
,,,腾景科技(688195.SH),13022,2782020.08,213.64,304627.85
,,,新相微(688593.SH),79810,2517207.40,31.54,133397.80
,,,精进电动(688280.SH),464634,3089816.10,6.65,290941.45
,,,安达智能(688125.SH),15760,3103144.00,196.9,304994.95
2026-06-15,25963451.27,19.25,,,,,
,,,悦康药业(688658.SH),189464,2538817.60,13.4,-59012.77
,,,新相微(688593.SH),79810,2442186.00,30.6,58376.40
,,,佳华科技(688051.SH),92358,2503825.38,27.11,-25200.10
,,,迪哲医药(688192.SH),1234,46805.62,37.93,-998.21
,,,精进电动(688280.SH),464634,3071230.74,6.61,272356.09
,,,航天环宇(688523.SH),47572,2561276.48,53.84,7458.33
,,,安达智能(688125.SH),15760,2796612.00,177.45,-1537.05
,,,卓越新能(688196.SH),63082,2554821.00,40.5,26368.21
,,,复洁科技(688335.SH),95371,2777203.52,29.12,29891.24
,,,奥浦迈(688293.SH),54438,1955957.34,35.93,-2317.35
,,,腾景科技(688195.SH),13022,2714696.34,208.47,237304.11
2026-06-12,25135630.80,5105301.34,,,,,
,,,奥浦迈(688293.SH),54438,1947791.64,35.78,-10483.05
,,,悦康药业(688658.SH),189464,2561553.28,13.52,-36277.09
,,,复洁科技(688335.SH),95371,2723795.76,28.56,-23516.52
,,,精进电动(688280.SH),464634,2834267.40,6.1,35392.75
,,,航天环宇(688523.SH),47572,2537966.20,53.35,-15851.95
,,,安达智能(688125.SH),15760,2716078.40,172.34,-82070.65
,,,腾景科技(688195.SH),13022,2473398.68,189.94,-3993.55
,,,新相微(688593.SH),79810,2235478.10,28.01,-148331.50
2026-06-11,25347730.98,4937636.34,,,,,
,,,复洁科技(688335.SH),95371,2768620.13,29.03,21307.85
,,,安达智能(688125.SH),15760,2781640.00,176.5,-16509.05
,,,腾景科技(688195.SH),13022,2491108.60,191.3,13716.37
,,,悦康药业(688658.SH),189464,2525555.12,13.33,-72275.25
,,,奥浦迈(688293.SH),54438,1878655.38,34.51,-79619.31
,,,精进电动(688280.SH),464634,2801743.02,6.03,2868.37
,,,品茗科技(688109.SH),33578,2616061.98,77.91,-188449.28
,,,迪威尔(688377.SH),2829,70979.61,25.09,-6032.80
,,,佳华科技(688051.SH),92724,2475730.80,26.7,-160900.99
2026-06-10,25857666.93,2458504.72,,,,,
,,,复洁科技(688335.SH),95371,2865898.55,30.05,99512.07
,,,品茗科技(688109.SH),33578,2703029.00,80.5,-101482.26
,,,佳华科技(688051.SH),92724,2536928.64,27.36,-99703.15
,,,悦康药业(688658.SH),189464,2595656.80,13.7,-2173.57
,,,安达智能(688125.SH),15760,2793932.80,177.28,-4216.25
,,,精进电动(688280.SH),464634,2936486.88,6.32,137612.23
,,,上海谊众(688091.SH),57590,2394592.20,41.58,-146351.88
,,,奥浦迈(688293.SH),54438,1920572.64,35.28,-37702.05
,,,迪威尔(688377.SH),2829,72818.46,25.74,-4193.95
,,,航亚科技(688510.SH),102677,2579246.24,25.12,-210731.12
2026-06-09,25903193.62,6.99,,,,,
,,,复洁科技(688335.SH),95371,2703767.85,28.35,-62618.63
,,,精进电动(688280.SH),464634,2806389.36,6.04,7514.71
,,,上海谊众(688091.SH),57590,2371556.20,41.18,-169387.88
,,,佳华科技(688051.SH),92724,2604617.16,28.09,-32014.63
,,,迪威尔(688377.SH),2829,72365.82,25.58,-4646.59
,,,国光电气(688776.SH),41008,2505998.88,61.11,-187026.63
,,,奥浦迈(688293.SH),54438,1949969.16,35.82,-8305.53
,,,安达智能(688125.SH),15760,2838376.00,180.1,40226.95
,,,航亚科技(688510.SH),102677,2686030.32,26.16,-103947.04
,,,品茗科技(688109.SH),33578,2783616.20,82.9,-20895.06
,,,悦康药业(688658.SH),189464,2580499.68,13.62,-17330.69
2026-06-08,26024201.25,4594913.47,,,,,
,,,航亚科技(688510.SH),102677,2704512.18,26.34,-85465.18
,,,迪威尔(688377.SH),2829,80909.40,28.6,3896.99
,,,悦康药业(688658.SH),189464,2576710.40,13.6,-21119.97
,,,复洁科技(688335.SH),95371,2672295.42,28.02,-94091.06
,,,品茗科技(688109.SH),33578,2947476.84,87.78,142965.58
,,,国光电气(688776.SH),41008,2474012.64,60.33,-219012.87
,,,安达智能(688125.SH),15760,2866428.80,181.88,68279.75
,,,上海谊众(688091.SH),57590,2388833.20,41.48,-152110.88
,,,精进电动(688280.SH),464634,2718108.90,5.85,-80765.75
2026-06-05,26733124.61,2597830.99,,,,,
,,,品茗科技(688109.SH),33578,2913227.28,86.76,108716.02
,,,佳华科技(688051.SH),73854,2271010.50,30.75,-112559.35
,,,上海谊众(688091.SH),57590,2452182.20,42.58,-88761.88
,,,耐科装备(688419.SH),55163,2581628.40,46.8,-127577.09
,,,迪威尔(688377.SH),2829,82097.58,29.02,5085.17
,,,国光电气(688776.SH),41008,2651167.20,64.65,-41858.31
,,,航亚科技(688510.SH),102677,2827724.58,27.54,37747.22
,,,精进电动(688280.SH),464634,2634474.78,5.67,-164399.87
,,,复洁科技(688335.SH),95371,2756221.90,28.9,-10164.58
,,,安达智能(688125.SH),15760,2965559.20,188.17,167410.15
2026-06-04,26604041.68,8.59,,,,,
,,,卓越新能(688196.SH),62504,2598291.28,41.57,-213968.31
,,,复洁科技(688335.SH),95371,2854454.03,29.93,88067.55
,,,耐科装备(688419.SH),55163,2670992.46,48.42,-38213.03
,,,安达智能(688125.SH),15760,2846256.00,180.6,48106.95
,,,精进电动(688280.SH),464634,2597304.06,5.59,-201570.59
,,,国光电气(688776.SH),41008,2647066.40,64.55,-45959.11
,,,航亚科技(688510.SH),102677,2671655.54,26.02,-118321.82
,,,上海谊众(688091.SH),57590,2464852.00,42.8,-76092.08
,,,迪威尔(688377.SH),2829,81475.20,28.8,4462.79
,,,佳华科技(688051.SH),73854,2243684.52,30.38,-139885.33
,,,品茗科技(688109.SH),33578,2928001.60,87.2,123490.34
2026-06-03,26536406.09,2540952.67,,,,,
,,,精进电动(688280.SH),464634,2639121.12,5.68,-159753.53
,,,安达智能(688125.SH),15760,2847832.00,180.7,49682.95
,,,国光电气(688776.SH),41008,2625332.16,64.02,-67693.35
,,,耐科装备(688419.SH),55163,2698573.96,48.92,-10631.53
,,,佳华科技(688051.SH),73854,2397300.84,32.46,13730.99
,,,复洁科技(688335.SH),95371,2782925.78,29.18,16539.30
,,,迪威尔(688377.SH),2829,89651.01,31.69,12638.60
,,,品茗科技(688109.SH),33578,2655348.24,79.08,-149163.02
,,,航亚科技(688510.SH),102677,2639825.67,25.71,-150151.69
,,,卓越新能(688196.SH),62504,2619542.64,41.91,-192716.95
2026-06-02,26407088.16,12.18,,,,,
,,,迪威尔(688377.SH),2829,84813.42,29.98,7801.01
,,,耐科装备(688419.SH),55163,2647272.37,47.99,-61933.12
,,,安达智能(688125.SH),15760,2847516.80,180.68,49367.75
,,,国光电气(688776.SH),41008,2597446.72,63.34,-95578.79
,,,航亚科技(688510.SH),102677,2637772.13,25.69,-152205.23
,,,复洁科技(688335.SH),95371,2674202.84,28.04,-92183.64
,,,热景生物(688068.SH),31454,2547774.00,81,-279510.24
,,,卓越新能(688196.SH),62504,2687046.96,42.99,-125212.63
,,,品茗科技(688109.SH),33578,2706386.80,80.6,-98124.46
,,,佳华科技(688051.SH),73854,2300552.10,31.15,-83017.75
,,,精进电动(688280.SH),464634,2676291.84,5.76,-122582.81
2026-06-01,27124641.06,5092787.53,,,,,
,,,卓越新能(688196.SH),62504,2723299.28,43.57,-88960.31
,,,精进电动(688280.SH),464634,2732047.92,5.88,-66826.73
,,,航亚科技(688510.SH),102677,2688083.86,26.18,-101893.50
,,,品茗科技(688109.SH),33578,2740972.14,81.63,-63539.12
,,,迪威尔(688377.SH),2829,82267.32,29.08,5254.91
,,,安达智能(688125.SH),15760,2937191.20,186.37,139042.15
,,,国光电气(688776.SH),41008,2640915.20,64.4,-52110.31
,,,热景生物(688068.SH),31454,2699382.28,85.82,-127901.96
,,,复洁科技(688335.SH),95371,2787694.33,29.23,21307.85
2026-05-29,26692687.77,2761664.17,,,,,
