name,selection_score,eligible_dd35,dev_annual,dev_dd,dev_sharpe,val_annual,val_dd,val_sharpe,holdout_annual,holdout_dd,holdout_sharpe,full_annual,full_dd,full_sharpe,final_equity,avg_holdings,max_holdings,parameters
full_exposure,0.28857933615181575,True,0.23415390511048462,-0.3456404586186428,1.0611355069810597,0.3430047671931469,-0.18515319149803777,1.0674241124185093,0.15102393295577188,-0.16005315556259625,0.8610439009315817,0.2227007187447405,-0.3456404586186428,0.9787390817254247,38396008.248431966,20.076354679802957,22,"{""name"": ""full_exposure"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5}"
baseline,0.2850760413941773,True,0.22622826623618209,-0.3376294917864864,1.0634629887450024,0.3439238165521725,-0.176381883755114,1.0985368833745393,0.14752694059620963,-0.15322472882649918,0.8748774994037831,0.2174185780296478,-0.3376294917864864,0.9894945497290536,37299653.30264586,20.044950738916256,21,"{""name"": ""baseline"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
bull_quality,0.28456762905559774,True,0.22510973050642868,-0.33759466830445184,1.0453818078291972,0.3440255276047668,-0.17424230844428923,1.1010378143957806,0.14149340106568054,-0.15919555228381987,0.8512864541410287,0.21363338014846134,-0.33759466830445184,0.9728176591895702,36530481.0292435,20.04064039408867,21,"{""name"": ""bull_quality"", ""bull"": [0.15, 0.2, 0.65], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
bear_deep_reversal,0.2799539192779332,True,0.26851564590781174,-0.316296877002057,1.1673620388080652,0.2913921926480547,-0.1980660171564389,0.9665821674418759,0.18447448765419439,-0.1549859998359867,0.9889080868509934,0.24479219512622818,-0.316296877002057,1.0503326830197603,43283492.188459516,20.092980295566502,22,"{""name"": ""bear_deep_reversal"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.3, 0.15], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
concentrated_15,0.2781236340185642,True,0.20353160491672906,-0.3477713891453672,0.9562007823598302,0.35271566312039937,-0.20271924638420535,1.0920025953576968,0.19047175967103658,-0.14609959619254775,1.0383510165263221,0.21772251685984978,-0.3477713891453672,0.9657775339392991,37362008.202558376,15.330665024630543,19,"{""name"": ""concentrated_15"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 15, ""buffer"": 30, ""exposure"": 0.95, ""cap"": 1.5}"
diversified_25,0.2716195052373219,True,0.23906201770033375,-0.31964405212986746,1.1413983165211643,0.3041769927743101,-0.19450413294489477,1.0127429416724933,0.1526272581991457,-0.15050099504247172,0.9143121129081588,0.22121498510513793,-0.31964405212986746,1.0240075649920837,38084896.51789458,24.92241379310345,26,"{""name"": ""diversified_25"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 25, ""buffer"": 50, ""exposure"": 0.95, ""cap"": 1.5}"
wide_buffer,0.2684937347106995,True,0.21754436448066028,-0.33056420208439496,1.0312414615131043,0.3194431049407387,-0.18228775738551561,1.047757086766363,0.19290169828859094,-0.15024333343510543,1.108736638393589,0.22100189388790414,-0.33056420208439496,1.00731722459079,38040451.657903366,20.04433497536946,21,"{""name"": ""wide_buffer"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 60, ""exposure"": 0.95, ""cap"": 1.5}"
bear_quality,0.24776216742235957,True,0.21792051524152667,-0.28299072107978784,1.0658355173439944,0.27760381960319247,-0.17482909865548324,0.9609604239471946,0.1195119113865144,-0.17073162207509707,0.7502616921056982,0.19710935154180698,-0.28299072107978784,0.9408201971106266,33328627.15321517,20.041871921182267,22,"{""name"": ""bear_quality"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.3, 0.15, 0.55], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
fast_regime_ma80,0.2399922675083037,True,0.1754813803210904,-0.33759198441777283,0.8629949543462685,0.30450315469551703,-0.18440678366346896,1.0575524251070416,0.22732348677746694,-0.15321771144603658,1.2254107847122513,0.2021043870807564,-0.33759198441777283,0.9423031015478955,34270284.40879914,19.959975369458128,21,"{""name"": ""fast_regime_ma80"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 80, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
slow_regime_ma160,0.1852277478551554,True,0.03169130987225954,-0.34083809604002335,0.25501207866149744,0.33876418583805123,-0.279973449864116,1.0792845676151908,0.23758093227083932,-0.13555901299333484,1.1281589852069422,0.11688904541202283,-0.34083809604002335,0.5779106651866805,20953176.6467646,19.879926108374384,21,"{""name"": ""slow_regime_ma160"", ""bull"": [0.25, 0.2, 0.55], ""bear"": [0.4, 0.25, 0.35], ""ma"": 160, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
bull_balanced,0.29380230923741624,False,0.22928075267862869,-0.35986984573378644,1.0527650579628165,0.3583238657962038,-0.18141185804297855,1.122336746740516,0.15016494284381476,-0.1792409201221612,0.8904371366891245,0.22103453247243787,-0.35986984573378644,0.9894228925546673,38047256.29010145,20.07881773399015,22,"{""name"": ""bull_balanced"", ""bull"": [0.3, 0.35, 0.35], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
bull_momentum,0.2502146940152389,False,0.18833583224747952,-0.38866426584786373,0.8842613004392852,0.31209355578299824,-0.17743721514519828,1.0205055608576852,0.09011666629600468,-0.1710246328943461,0.5969536741270741,0.17223276924391695,-0.38866426584786373,0.8076721101961046,28959624.8514306,19.945197044334975,21,"{""name"": ""bull_momentum"", ""bull"": [0.15, 0.45, 0.4], ""bear"": [0.4, 0.25, 0.35], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.95, ""cap"": 1.5}"
